,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.131993006993007,0.37349627245001693,0.2754624407850214,0.6966783216783217,0.22066172016959418,0.8431652806652806,0.9451450189155107,0.7915248468345814,0.7126068376068376,0.9463869463869464,0.5293151969981238
1,0.131993006993007,0.0,0.2535770196963629,0.29178885630498536,0.7447552447552448,0.30454870827097025,0.8324771052043779,0.9422842433274624,0.7591603890879837,0.6499081726354453,0.9573002754820936,0.4154404353960895
2,0.37349627245001693,0.2535770196963629,0.0,0.38248478819744985,0.8152552293521457,0.5485795553088904,0.8496249553518276,0.9175272622228642,0.7750575026314763,0.543563387175722,0.9295154185022027,0.34071129257548083
3,0.2754624407850214,0.29178885630498536,0.38248478819744985,0.0,0.45296638845025944,0.25372341653774216,0.8369263691844337,0.9349550502379693,0.806295902213687,0.6746497230368198,0.9579667644183774,0.4800085830770331
4,0.6966783216783217,0.7447552447552448,0.8152552293521457,0.45296638845025944,0.0,0.5845493089587578,0.993006993006993,0.993006993006993,0.986013986013986,0.9721736596736597,0.993006993006993,0.9135681391778953
5,0.22066172016959418,0.30454870827097025,0.5485795553088904,0.25372341653774216,0.5845493089587578,0.0,0.984251968503937,0.9921259842519685,0.9665528534596892,0.9171041119860017,0.9921259842519685,0.7093816016900326
6,0.8431652806652806,0.8324771052043779,0.8496249553518276,0.8369263691844337,0.993006993006993,0.984251968503937,0.0,0.9131590607000443,0.4866060751016503,0.6133633633633634,0.9561834561834562,0.6715557020435069
7,0.9451450189155107,0.9422842433274624,0.9175272622228642,0.9349550502379693,0.993006993006993,0.9921259842519685,0.9131590607000443,0.0,0.9052662120992311,0.9047131147540983,0.49528067560854444,0.9062375049980008
8,0.7915248468345814,0.7591603890879837,0.7750575026314763,0.806295902213687,0.986013986013986,0.9665528534596892,0.4866060751016503,0.9052662120992311,0.0,0.3653515240904621,0.9342987396084741,0.4608784804662206
9,0.7126068376068376,0.6499081726354453,0.543563387175722,0.6746497230368198,0.9721736596736597,0.9171041119860017,0.6133633633633634,0.9047131147540983,0.3653515240904621,0.0,0.928030303030303,0.2981029810298103
10,0.9463869463869464,0.9573002754820936,0.9295154185022027,0.9579667644183774,0.993006993006993,0.9921259842519685,0.9561834561834562,0.49528067560854444,0.9342987396084741,0.928030303030303,0.0,0.9148189209164819
11,0.5293151969981238,0.4154404353960895,0.34071129257548083,0.4800085830770331,0.9135681391778953,0.7093816016900326,0.6715557020435069,0.9062375049980008,0.4608784804662206,0.2981029810298103,0.9148189209164819,0.0
