Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	4042.52673	469.60249	110.12095	74.90062	0.23036	0.13498	0.65263	4.3802	8.0	13.70871	5.27487	158.32949	16.25441	23.26606	1098.0	200.99005	6194.18316	307.27663	0.65433	0.53803	19.0	2868.74495	5.36074	2.94586	2.41488	16.5681	29.99644
2	1178.76496	152.23487	43.0572	37.42483	0.63916	0.0194	0.86992	4.33763	5.0	13.59697	4.18864	50.79806	21.98785	28.19509	878.0	193.68015	1355.03253	135.20037	0.8881	0.81037	10.0	905.37434	3.36542	1.73981	1.62561	11.76385	21.09202
3	3445.32751	365.10805	114.63593	54.43502	0.32479	0.39943	0.6549	4.07034	7.0	18.03622	3.88498	134.59144	18.17299	23.92857	1109.0	206.48002	5260.86396	283.96949	0.77777	0.5369	15.0	2413.90818	5.69983	3.34869	2.35115	16.46864	30.79675
4	275.44251	68.59318	20.70957	18.01367	0.73566	0.0192	0.94884	3.4509	3.0	10.60821	1.35453	23.02783	6.2517	11.87822	938.0	212.36054	290.29432	64.8299	0.94514	0.82355	5.0	149.39751	3.81578	2.19596	1.61983	9.32456	19.87824
5	1003.18135	144.32981	49.96464	27.43773	0.60517	0.28796	0.86386	3.90564	4.0	16.94527	4.45433	50.71841	24.41366	25.93513	902.0	194.88715	1161.27499	131.78692	0.9131	0.72585	9.0	733.99224	3.35384	2.0007	1.35314	11.92063	21.67348
6	3139.98596	332.70425	102.33508	46.87265	0.35647	0.42664	0.70256	4.53006	8.0	18.03778	2.77419	113.43373	20.0152	29.06199	1102.0	199.45426	4469.32094	260.87805	0.78411	0.57978	17.0	2506.6343	4.17431	2.27199	1.91067	13.50781	24.27211
7	802.29104	124.47384	38.53344	27.69362	0.65071	0.10164	0.9096	4.29975	5.0	16.42616	1.56292	42.0679	23.13128	24.62883	1014.0	209.35616	882.02182	112.44266	0.90334	0.79741	8.0	599.34883	4.04442	2.04055	2.00387	11.55016	18.84285
8	6324.52736	664.46379	146.0755	85.35016	0.18001	0.24107	0.58618	4.09399	12.0	22.62274	3.17795	187.74769	19.38026	25.74607	898.0	183.31939	10789.35368	409.66717	0.61654	0.47356	31.0	5240.05188	3.92474	1.95435	1.97038	13.82751	21.77319
9	4200.9135	410.32941	130.53341	48.64857	0.31354	0.57166	0.75156	4.70043	9.0	25.76627	3.09112	146.1977	18.51389	31.53856	1092.0	216.01852	5589.55803	314.10662	0.7655	0.53506	22.0	3531.89795	3.63327	1.93145	1.77064	13.19219	22.68785
10	5123.19156	522.61625	131.56515	66.54026	0.23571	0.3512	0.70388	5.20295	14.0	16.67211	3.61705	158.07974	16.30243	28.07701	994.0	232.57257	7278.46322	337.24343	0.6453	0.56606	25.0	4101.73857	4.39774	2.41281	1.98493	13.99621	24.45647
11	1623.43997	182.82599	57.14087	39.16543	0.61034	0.13013	0.90304	4.46215	6.0	11.4991	5.57443	61.94386	22.36675	27.6845	1084.0	207.32824	1797.75335	161.01376	0.88069	0.7869	13.0	1364.02178	2.6549	1.53234	1.12256	11.16626	20.11463
12	1131.47366	187.14474	74.54539	23.66474	0.40597	0.66732	0.76119	3.82424	6.0	10.39025	2.91746	69.17393	10.91812	15.93876	1120.0	167.52015	1486.45153	165.04222	0.8819	0.52199	10.0	802.77958	3.79695	2.12326	1.6737	14.17252	22.26328
13	317.84834	84.49439	34.15498	13.02544	0.55947	0.5566	0.86195	3.1684	4.0	5.4143	2.26624	32.83442	9.37755	10.47975	790.0	100.81667	368.75489	78.12658	0.92464	0.65438	5.0	130.73504	4.33661	2.32847	2.00814	9.2799	21.26379
14	1935.9143	209.78414	67.89146	41.5957	0.55278	0.20625	0.85927	3.68042	5.0	13.72752	7.68959	62.44875	21.83624	30.0667	1099.0	179.0	2252.98096	182.09032	0.86799	0.73371	14.0	1654.70694	2.37937	1.55048	0.82889	12.1826	24.04648
15	329.37804	81.81061	29.53196	15.89175	0.61842	0.30349	0.83981	4.44854	3.0	10.24506	3.23004	28.7302	12.8882	12.8882	1086.0	168.98817	392.20512	74.72796	0.91343	0.7412	5.0	140.31055	4.98989	2.64415	2.34574	9.36074	20.32236
16	2278.97164	222.08602	66.32532	47.17969	0.58064	0.1076	0.85093	4.16387	7.0	17.53286	4.15291	71.54894	23.5333	33.134	1197.0	106.72863	2678.21182	190.13011	0.85611	0.79222	12.0	1873.18493	3.95177	2.09505	1.85672	13.94582	23.04889
17	4053.27476	417.9203	135.54917	46.75903	0.29163	0.61986	0.70253	4.48524	11.0	14.37158	2.92693	155.06115	19.58089	25.38682	1017.0	219.18942	5769.53855	308.11357	0.73725	0.53653	20.0	3171.35064	4.6579	2.27972	2.37818	13.90137	24.03885
18	270.65475	78.16685	24.7079	17.20885	0.55665	0.12021	0.82613	4.80113	3.0	12.07001	1.56292	29.65494	11.07804	11.07804	991.0	244.79379	327.61927	70.96467	0.90786	0.67537	5.0	139.822	4.28556	2.04625	2.23931	9.90337	16.78525
19	376.37621	78.64033	24.72598	19.91649	0.76479	0.04537	0.95488	4.00331	4.0	8.85369	3.28214	28.0514	16.25441	16.25441	1043.0	220.62865	394.1593	73.4924	0.93454	0.87568	5.0	174.11797	4.41719	2.72043	1.69676	10.56005	25.25214
20	1871.817	258.43472	93.40977	29.93397	0.35219	0.66217	0.73661	4.4742	7.0	8.29794	2.32206	103.98192	15.00407	18.58763	871.0	169.15673	2541.12568	213.20204	0.82497	0.51748	13.0	1455.18456	3.92732	1.87057	2.05675	13.74713	21.43029
21	2556.36833	309.0995	93.00261	43.51717	0.33623	0.41058	0.69785	5.15997	9.0	16.91523	3.05639	107.18742	20.00543	27.46481	968.0	228.69412	3663.21924	237.79608	0.76932	0.5681	15.0	1918.52204	4.98659	2.51343	2.47316	13.02936	24.10767
