Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	2408.04562	281.19979	78.58651	47.40758	0.38269	0.2175	0.7551	4.13375	8.0	13.57348	3.08678	91.30843	18.75509	23.34153	965.0	222.24761	3189.03603	215.86156	0.76764	0.64942	12.0	1626.07812	6.5231	2.8748	3.6483	14.79813	25.32551
2	2374.53133	234.34886	70.61307	45.43875	0.54333	0.17168	0.84511	4.56678	5.0	29.04647	3.25088	78.28332	31.56333	38.02759	917.0	213.05164	2809.72854	199.26789	0.8503	0.75147	14.0	1915.19993	3.90081	1.97082	1.92999	12.19238	23.03829
3	2398.66553	273.03577	90.43069	40.41371	0.40433	0.44496	0.74872	4.80942	7.0	17.56111	2.6793	102.70397	20.64007	25.38682	950.0	212.85441	3203.69242	226.11045	0.82813	0.58957	14.0	1891.94511	4.07298	1.95732	2.11566	13.83074	22.38804
4	640.28902	112.42552	40.33387	21.7946	0.63658	0.30031	0.90038	3.67854	4.0	8.69184	2.26624	41.28723	15.62924	16.44565	831.0	140.66983	711.12826	103.65632	0.922	0.74885	6.0	400.02186	4.33664	2.63142	1.70522	12.47814	27.03517
5	439.10558	96.99779	32.36173	18.8609	0.58648	0.24295	0.88204	4.79639	4.0	10.51142	1.09405	37.83959	13.14344	14.25606	981.0	223.32711	497.82887	88.07411	0.908	0.71135	7.0	282.7707	3.56009	2.12563	1.43446	9.56131	19.84353
6	5759.4745	527.52336	123.44348	83.11056	0.26008	0.14152	0.67553	4.2381	11.0	17.01789	4.4046	159.53159	20.6306	29.56861	1044.0	215.76144	8525.91782	346.50009	0.65684	0.60282	23.0	4606.70021	4.5598	2.54256	2.01725	16.19146	29.00089
7	572.96732	139.9276	37.79058	27.48884	0.36773	0.09483	0.66636	5.31746	5.0	10.03014	2.06306	56.38016	11.86176	13.05393	1041.0	190.24984	859.84181	111.45129	0.79649	0.57965	7.0	324.19945	4.87091	2.69456	2.17635	10.16011	21.29002
8	6367.91029	679.01502	129.2894	96.2259	0.17356	0.0824	0.60908	4.22869	13.0	15.62746	3.60675	173.97556	17.50475	22.73074	1179.0	149.00671	10454.99246	386.5364	0.56926	0.53558	28.0	5028.51125	4.8467	2.48028	2.36642	16.36369	26.08716
9	4410.69536	437.74801	122.61515	64.11741	0.28925	0.32552	0.6698	4.26661	8.0	23.50131	4.29804	160.85777	18.98294	29.64122	1046.0	219.73848	6585.11805	310.60998	0.70956	0.57449	20.0	3490.95775	4.40478	2.35043	2.05435	15.69924	29.1382
10	4930.99737	478.61382	103.71617	85.02754	0.2705	0.03846	0.6823	4.52665	7.0	25.74117	3.30447	156.8478	19.8682	28.3816	1101.0	206.18923	7227.06813	325.29528	0.67966	0.58558	20.0	3929.08624	4.65724	2.52897	2.12827	16.84019	31.79427
11	5676.81243	530.95259	145.30356	76.15243	0.25305	0.3238	0.67793	4.65789	12.0	19.38867	4.29804	185.70367	21.83624	27.48615	1129.0	188.03723	8373.68673	375.50094	0.70722	0.50593	22.0	4275.4657	5.4526	2.82354	2.62907	16.63858	30.95284
12	2763.02349	301.64189	84.72046	52.39506	0.3816	0.19952	0.75547	4.13819	7.0	18.47139	3.39378	117.32882	19.0856	25.84455	1088.0	203.80383	3657.35669	237.33107	0.7868	0.61643	12.0	2045.44642	5.93549	3.33746	2.59804	16.70964	31.50177
13	850.75485	150.9033	48.40644	26.73205	0.46948	0.28366	0.74617	4.38473	5.0	12.82011	2.50068	49.6772	15.66671	16.36226	1216.0	58.66004	1140.16978	128.52697	0.85172	0.64718	8.0	545.60871	4.98532	2.86642	2.1189	12.00613	20.55221
14	288.43784	72.96937	27.33282	14.22171	0.68074	0.32936	0.95441	3.2939	3.0	7.70429	3.95941	22.04565	11.87822	11.87822	1200.0	70.69653	302.21485	69.63292	0.95428	0.74754	5.0	138.06324	4.37954	2.84494	1.53461	9.38657	21.55489
15	3521.05222	331.69447	109.58635	49.00672	0.40217	0.44447	0.79345	3.47836	7.0	21.70931	4.15291	127.05418	26.58258	33.134	973.0	205.54805	4437.66313	269.78666	0.81336	0.60791	19.0	3005.04942	2.81679	1.80795	1.01574	12.58605	25.61453
16	1076.65874	150.24671	54.19666	27.40946	0.59935	0.35123	0.86329	3.79192	4.0	10.6455	4.61063	53.73699	16.25441	21.95227	883.0	174.93142	1247.16146	135.69136	0.90312	0.73482	8.0	680.34983	4.62492	2.7207	1.90422	13.33433	26.45324
