Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	1202.70373	144.30379	42.15831	37.39532	0.72579	0.01424	0.93854	4.07863	3.0	20.28914	4.27199	44.00624	14.43316	26.10785	1025.0	211.97877	1281.45743	130.80132	0.90643	0.88337	10.0	918.76052	3.19131	1.93533	1.25597	11.15045	22.60818
2	744.154	116.92198	33.73373	31.03843	0.68404	0.0069	0.896	3.77841	3.0	16.70208	3.75102	39.48756	19.01379	19.01379	785.0	99.23205	830.52902	106.3658	0.90972	0.82655	7.0	502.22579	3.98713	2.27416	1.71296	12.42348	25.42772
3	1030.63766	148.01038	44.28449	34.46689	0.5912	0.06028	0.87776	4.08951	3.0	19.69845	4.37619	50.90151	22.36675	22.36675	948.0	216.69795	1174.17262	131.28818	0.88702	0.75139	10.0	824.37334	2.85762	1.75123	1.10639	11.93167	24.7801
4	4002.56363	432.38806	90.51605	69.97972	0.26903	0.0634	0.6882	4.83599	10.0	21.48245	2.25061	131.92987	18.75509	29.46268	969.0	219.35815	5815.95047	286.0437	0.66154	0.61473	21.0	3297.0048	4.34249	2.23207	2.11041	13.24487	20.96881
5	4022.2032	400.97026	92.2322	72.69893	0.31438	0.05456	0.70168	4.50158	9.0	18.83348	4.02887	118.78829	22.98721	30.00815	1117.0	189.35681	5732.2136	282.40255	0.7043	0.63378	20.0	3177.40862	3.9659	2.16994	1.79596	14.16957	26.09558
6	3416.01472	380.71889	85.38305	70.4547	0.29616	0.03604	0.70705	4.93017	12.0	12.85951	3.41238	129.49741	18.84863	24.60502	1160.0	161.02174	4831.33389	260.02937	0.683	0.63487	18.0	2661.40582	4.6226	2.49335	2.12925	13.83925	23.39259
7	1573.80364	217.17891	66.79784	34.06733	0.4193	0.34477	0.78182	5.33244	6.0	13.48838	3.02165	76.17488	15.62924	21.88094	1003.0	216.19436	2013.00693	172.47318	0.79415	0.66484	11.0	1073.43433	5.10501	2.40644	2.69857	13.7912	26.35432
8	1816.90437	244.34619	69.00219	39.79041	0.38241	0.2509	0.77087	4.80622	6.0	17.22523	3.33424	85.6911	21.38409	23.20719	1142.0	166.29191	2356.94366	194.80178	0.79724	0.60167	15.0	1460.46086	3.43284	1.67168	1.76115	10.4803	18.04059
9	3076.2795	333.83655	74.37845	61.87404	0.34687	0.03313	0.76286	5.29225	10.0	18.71784	2.65697	104.42779	21.22817	32.006	1201.0	108.36051	4032.56039	238.77822	0.71525	0.67803	18.0	2503.21447	3.91896	2.02033	1.89863	12.45411	20.30734
10	1668.28853	277.50621	83.49071	44.38186	0.27223	0.31289	0.57819	4.84317	7.0	11.17807	3.03654	109.10736	9.23052	17.16657	985.0	215.60612	2885.35553	210.00759	0.75677	0.47535	14.0	1230.35546	4.2056	2.16001	2.04559	13.48944	21.71794
11	2436.28361	254.05853	66.11394	52.70713	0.47432	0.04965	0.79705	4.47389	5.0	27.9515	3.62598	85.95006	31.03891	34.39002	1164.0	142.52368	3056.63993	208.5395	0.82083	0.70398	15.0	2000.79327	3.58948	2.0916	1.49788	11.43693	21.00764
12	4620.37952	507.09427	132.38717	61.234	0.22579	0.41929	0.65784	4.26532	11.0	12.23475	4.66036	163.82273	18.30157	22.59277	1120.0	194.11337	7023.53967	333.19418	0.65707	0.52299	26.0	3876.32322	3.18587	1.94607	1.2398	13.23004	25.07333
13	861.50287	138.87877	45.02712	29.18429	0.5613	0.16675	0.8623	3.48412	4.0	11.86672	4.68877	49.6956	16.87958	18.47162	1131.0	158.47082	999.07756	123.69118	0.89064	0.7076	9.0	650.15766	2.80361	1.68776	1.11585	12.33325	25.31505
14	1133.13471	170.90873	58.21897	28.28137	0.48749	0.38211	0.82523	4.95416	5.0	15.14472	2.12558	61.85881	12.31442	18.12992	1128.0	163.38911	1373.10875	147.37839	0.86232	0.65558	9.0	751.57991	4.54886	2.19858	2.35028	13.74406	25.02392
15	3048.72548	371.62409	123.30488	43.04604	0.27741	0.61267	0.66403	4.82983	9.0	13.0121	2.77853	145.23773	17.33649	20.6306	1170.0	144.68587	4591.26215	282.94303	0.76137	0.47855	17.0	2281.41437	4.9545	2.75761	2.1969	14.60206	25.24232
16	1593.63863	206.8414	57.04856	42.97494	0.46809	0.07614	0.79853	4.85079	5.0	13.59989	2.50068	69.44589	19.38026	23.13128	1059.0	209.45167	1995.71239	171.53242	0.82929	0.68062	10.0	1173.00011	4.62985	2.6645	1.96535	14.39258	29.76835
17	877.13636	145.85751	38.77642	32.11258	0.51811	0.03473	0.77595	4.85436	5.0	18.10968	1.68796	49.73083	23.35827	24.66847	1165.0	128.79053	1130.39885	126.63027	0.86818	0.68739	7.0	563.97806	6.18694	2.69433	3.4926	12.48083	19.44608
18	309.64076	76.53728	25.25016	16.72022	0.66424	0.15237	0.88495	5.26883	3.0	10.04715	2.70907	24.54632	7.31742	12.50339	988.0	207.10867	349.89699	69.90424	0.91334	0.79627	6.0	188.57894	3.15528	1.77595	1.37933	9.06814	20.22184
19	3993.47667	395.74899	130.646	46.08138	0.32042	0.60639	0.77435	4.41618	9.0	13.72359	6.73794	139.52616	20.00543	25.2014	1196.0	124.03225	5157.19439	297.38421	0.75145	0.56745	16.0	2817.54528	5.75932	3.37282	2.3865	17.29552	34.38629
20	3572.15418	470.23305	100.19156	75.81157	0.20301	0.07389	0.58811	4.76058	8.0	19.33964	3.12585	152.74897	13.76794	19.25888	1080.0	212.70872	6074.00072	295.25483	0.62789	0.51493	21.0	2605.32069	4.76576	2.50853	2.25723	14.36035	22.75874
21	2378.34199	265.58356	78.21741	45.15955	0.42372	0.24999	0.77754	5.90997	6.0	14.80933	3.28214	95.34062	23.5416	27.6845	1077.0	217.27402	3058.78953	210.6268	0.79307	0.67369	14.0	1784.95343	4.58154	2.60894	1.9726	13.12157	24.15728
22	1248.92023	191.60978	64.28367	32.08628	0.42747	0.36133	0.77382	4.73924	6.0	9.29837	3.80312	80.93569	13.97922	18.1407	1096.0	188.26843	1613.96216	167.12363	0.87221	0.56191	13.0	982.07614	3.20417	1.71779	1.48638	10.73881	16.7538
23	3130.50816	380.3971	122.47279	39.04947	0.27186	0.66495	0.7211	5.94928	13.0	14.51898	2.81326	139.97742	19.38026	22.12076	950.0	221.06108	4341.32176	275.28808	0.72369	0.5191	20.0	2457.87736	4.48808	2.0497	2.43838	12.03978	19.68414
24	364.6511	84.20402	26.53187	19.49479	0.64628	0.08928	0.89176	4.81279	4.0	9.85063	2.50068	31.28451	14.39249	16.50495	967.0	180.56024	408.91341	76.95957	0.91397	0.77368	7.0	237.72672	2.53694	1.66126	0.87568	9.23552	19.35681
25	2129.47641	255.61226	87.79567	35.96591	0.40956	0.50779	0.76691	4.0607	6.0	17.98881	3.23004	95.42566	19.7696	25.63958	1003.0	224.82438	2776.7028	212.92512	0.833	0.59024	9.0	1453.62121	6.47334	3.31161	3.16173	19.81774	34.21149
26	1130.20344	172.392	56.73464	30.38407	0.47789	0.30717	0.77877	4.41784	5.0	11.44289	1.93803	68.48592	16.44565	19.73993	1069.0	218.20403	1451.27618	148.095	0.85906	0.64757	9.0	790.46821	4.43563	2.48546	1.95017	13.57063	23.77537
