Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	895.79883	125.79464	44.75399	26.07636	0.71137	0.24315	0.9435	3.33031	0.0	NaN	3.90731	40.16637	14.25606	22.15607	935.0	208.31947	949.44124	116.496	0.92608	0.82947	7.0	635.40356	3.97397	2.31756	1.65641	14.0982	30.97278
2	1344.96847	181.99169	55.87871	35.18882	0.51029	0.1867	0.79788	4.25201	4.0	26.04872	1.87551	65.60983	25.28655	25.38682	907.0	202.29681	1685.68079	158.68174	0.87192	0.67122	11.0	1062.00235	3.46809	1.84925	1.61884	12.23919	19.76231
3	3120.24868	328.92944	99.19776	51.49	0.3624	0.33122	0.74327	4.57446	8.0	16.36061	4.02453	115.58279	19.54093	29.38298	1014.0	219.60419	4197.98223	252.50071	0.76764	0.615	14.0	2258.84352	5.39821	2.77306	2.62515	15.95168	30.7911
4	2234.61162	276.39455	91.793	37.37337	0.36758	0.51209	0.77334	4.30319	9.0	11.65408	4.61931	93.97381	15.37714	20.28673	1021.0	219.2966	2889.55703	220.87273	0.79912	0.57561	12.0	1591.48903	5.00116	2.43195	2.56921	16.14844	30.49339
5	793.20407	114.80053	41.52399	24.65812	0.75632	0.22906	0.967	2.80501	0.0	NaN	6.40799	29.45343	17.06381	21.83624	783.0	81.38182	820.26955	108.37548	0.94403	0.84866	9.0	666.3774	2.17218	1.34132	0.83085	10.82565	21.63075
6	758.8104	115.56438	35.01834	30.08501	0.71399	0.02271	0.92255	3.10395	3.0	12.63107	5.52233	35.62928	21.33835	21.33835	948.0	212.42646	822.51686	107.21865	0.92778	0.82947	7.0	480.43661	3.54247	2.24173	1.30074	12.04335	27.36567
7	1583.76999	202.33192	70.0769	32.44779	0.48615	0.41849	0.79557	4.63118	7.0	12.21017	3.34912	81.57387	21.25577	23.25766	1138.0	170.35551	1990.72921	174.53337	0.86261	0.65335	13.0	1263.57663	3.48053	1.75893	1.7216	11.58442	18.86432
8	269.18911	69.93238	22.63372	16.68776	0.69169	0.08742	0.9021	4.62381	3.0	7.53906	3.75102	21.54995	7.55395	12.02538	1016.0	176.62389	298.40419	65.12973	0.93132	0.79746	4.0	96.43908	5.63095	2.85415	2.77679	9.98141	22.70918
9	1699.36009	213.95881	75.9397	31.08866	0.46648	0.50825	0.79634	4.24152	4.0	25.90948	2.96956	71.85771	25.66244	26.1826	973.0	239.70816	2133.97104	182.268	0.85188	0.6428	15.0	1464.36923	2.53599	1.43194	1.10948	10.28242	18.30202
10	980.02425	137.31966	45.61648	28.0997	0.6531	0.20236	0.90728	4.81876	4.0	13.72882	2.18809	48.85591	20.96883	24.77124	1098.0	170.80398	1080.17628	124.95635	0.90997	0.78873	9.0	742.49295	3.77974	1.82919	1.95054	11.54273	19.83323
11	427.86901	90.02667	30.11503	18.8866	0.6634	0.18959	0.89973	4.96883	4.0	9.00213	2.50068	28.12725	11.86176	12.31442	1020.0	200.23736	475.55115	82.64842	0.91804	0.78714	7.0	284.92031	3.44525	2.08663	1.35862	9.05545	16.24418
12	648.4966	116.41709	42.3088	20.83571	0.60129	0.37164	0.87954	4.49802	4.0	13.11706	2.73512	43.96181	16.21831	16.50495	996.0	221.97973	737.31435	106.17157	0.91199	0.72294	6.0	358.20228	5.4132	3.1798	2.23339	12.90407	24.14363
13	3219.71675	354.08792	101.81469	52.38184	0.3227	0.33804	0.73012	4.72003	8.0	16.725	5.04043	109.96007	15.00407	23.76467	1065.0	213.67967	4409.81598	257.38146	0.72689	0.61076	18.0	2574.44455	3.93513	2.19252	1.74261	14.13554	24.94425
14	2985.01902	314.23414	89.04119	56.17441	0.37988	0.18542	0.7251	4.17767	7.0	13.21688	2.76861	117.38087	20.56419	24.38162	1143.0	166.14151	4116.68809	243.83539	0.77597	0.6309	16.0	2526.07845	3.70039	1.91913	1.78125	13.80862	21.62009
15	708.00156	127.30393	43.09854	24.39845	0.54898	0.26482	0.8303	4.40014	4.0	7.88261	4.0636	46.70843	11.49361	13.88102	1087.0	177.23995	852.70903	111.61355	0.87675	0.71418	9.0	494.70217	3.14008	1.89234	1.24773	10.73075	20.22406
16	795.84222	117.10509	37.79539	28.15711	0.72926	0.08189	0.93278	3.87406	3.0	18.22185	2.70907	40.19778	11.27041	20.18049	1006.0	190.52559	853.19758	109.41522	0.93433	0.83537	9.0	620.55174	2.52694	1.46144	1.0655	10.3805	20.30346
17	1312.33356	181.16501	59.72948	31.80076	0.50246	0.31168	0.81563	4.43839	5.0	12.53602	5.81408	65.5654	19.38026	20.6306	965.0	210.93838	1608.97899	157.47544	0.86924	0.66501	10.0	927.84748	4.43501	2.54976	1.88525	12.18407	24.80169
18	3535.70861	316.29276	87.1977	60.1109	0.44413	0.12654	0.82019	4.98014	9.0	16.25491	2.91746	111.50078	23.75645	34.976	1165.0	152.07893	4310.83646	253.44819	0.80131	0.69168	14.0	2792.5317	5.77549	2.67651	3.09898	15.96223	26.50087
19	2291.38072	252.9729	71.57709	46.17801	0.44994	0.16992	0.80147	5.08713	6.0	20.36588	3.12585	83.86002	18.39742	30.02117	1052.0	213.80365	2858.97402	202.32597	0.79979	0.7034	14.0	1875.43224	3.92525	2.08279	1.84246	13.49326	22.81816
20	2736.64198	306.2142	103.57455	41.19735	0.36676	0.52824	0.74814	4.30824	7.0	12.23261	4.28688	110.16158	18.39742	24.56527	1167.0	152.42375	3657.94294	243.24594	0.79437	0.58121	13.0	1900.15269	5.45626	3.15007	2.30619	14.67769	29.07453
21	3494.86613	378.58443	93.97621	71.30636	0.30642	0.0725	0.692	4.62896	10.0	11.73901	4.72003	122.12867	17.54935	24.73176	1000.0	227.03304	5050.39813	277.35742	0.73262	0.5709	20.0	2776.89821	3.71574	2.06279	1.65611	12.45887	24.05885
22	3792.19552	403.38971	112.57857	57.68792	0.29285	0.34113	0.69055	4.73615	10.0	16.45184	3.84479	123.57131	17.00646	23.80575	1157.0	157.9367	5491.55561	286.3517	0.70986	0.58117	17.0	2906.0699	5.23413	2.47585	2.75827	14.58093	25.52676
23	712.10535	131.38975	48.27037	21.68645	0.51836	0.44104	0.81539	4.40435	4.0	13.78476	2.26624	52.92871	16.21831	16.61117	1062.0	180.37738	873.32569	114.93683	0.87478	0.67739	8.0	455.91158	3.66687	2.03886	1.62801	10.94033	22.63502
24	4895.33348	479.61822	100.71085	86.00457	0.26742	0.02451	0.7011	4.73956	10.0	11.48097	5.3452	130.57608	17.79264	28.51213	1106.0	200.85816	6982.40406	313.23186	0.65309	0.62699	25.0	4080.14481	3.57165	1.86295	1.7087	12.6384	23.43039
25	2535.94709	269.78965	67.37674	60.85136	0.43782	0.01031	0.78449	4.03227	8.0	13.62386	3.12585	84.92344	20.96883	25.2014	997.0	227.06387	3232.61437	215.09683	0.79728	0.68878	13.0	2090.97895	3.93027	1.99406	1.93621	14.84899	26.7485
26	518.25011	110.04512	38.87368	18.73071	0.53778	0.38833	0.88488	4.77228	3.0	17.93888	1.56292	42.96123	13.26185	13.26185	1089.0	181.60121	585.66952	99.60359	0.90512	0.65645	8.0	337.29249	3.36225	1.8719	1.49035	9.25744	16.88333
