Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	767.89736	150.38539	45.69776	25.88923	0.42668	0.26425	0.75786	5.77392	4.0	17.45303	3.36029	53.62053	19.57091	20.28673	865.0	198.50945	1013.24541	122.9451	0.81753	0.6384	8.0	489.32816	5.06046	2.53156	2.5289	10.65562	21.33648
2	375.69225	86.73612	26.94594	19.81129	0.62754	0.08894	0.86211	4.77863	4.0	7.1881	2.42253	30.13223	9.29382	14.3789	762.0	134.22369	435.78346	79.43862	0.91587	0.74813	7.0	227.17411	3.12148	1.91783	1.21767	8.2898	16.34034
3	3439.17183	418.7784	97.31481	64.09253	0.24643	0.15597	0.64987	5.2312	11.0	11.96235	3.15427	115.81414	15.22388	22.51479	963.0	206.46307	5292.13093	275.29651	0.65738	0.57025	24.0	2715.53678	3.3832	1.89006	1.49314	10.92066	19.9821
4	2232.65743	248.43201	73.5924	42.26369	0.45459	0.25399	0.80489	5.06702	9.0	6.10766	4.51511	83.04254	15.05608	28.19509	995.0	212.68992	2773.86923	200.6019	0.80747	0.69721	16.0	1868.59259	2.93195	1.6415	1.29045	11.90588	21.08036
5	2795.6584	332.49735	86.09544	51.86489	0.31777	0.21852	0.74429	5.33175	10.0	9.8953	3.81354	95.88613	16.30243	23.34153	924.0	201.96782	3756.14079	233.03183	0.70085	0.64694	20.0	2181.65318	3.27958	2.10975	1.16983	10.78234	20.25533
6	820.46496	126.89328	42.70248	26.18975	0.64031	0.20551	0.88445	4.46506	4.0	11.0686	4.0636	43.88597	16.83321	17.79264	1110.0	175.18562	927.65206	115.1161	0.90719	0.77803	9.0	648.88744	3.04392	1.72636	1.31756	11.01068	19.23025
7	2248.97488	270.05399	89.7046	38.22308	0.38752	0.4798	0.76258	4.96785	7.0	15.49351	3.79567	95.94357	20.64007	23.19877	1011.0	213.36354	2949.1597	217.85993	0.80673	0.59544	13.0	1652.85046	4.56337	2.10027	2.4631	14.77777	26.59126
8	1317.60987	184.03729	57.2101	34.62553	0.48886	0.21511	0.79319	5.17786	6.0	9.37358	4.79297	65.72629	15.00407	23.13128	1103.0	176.71446	1661.15575	156.00661	0.84769	0.68032	12.0	1040.70172	3.41174	1.87914	1.53259	11.4202	21.12064
9	926.28413	156.90905	56.55072	24.29251	0.47278	0.47394	0.85313	5.51411	4.0	11.43482	2.10995	60.91724	11.87822	16.23035	977.0	203.821	1085.74571	138.07244	0.87995	0.61058	11.0	673.41247	3.03299	1.79966	1.23332	10.0084	19.69303
10	1132.54846	178.34793	53.98826	35.26159	0.44744	0.16156	0.77646	4.84549	5.0	13.84627	3.00081	68.11971	12.07403	18.20522	1210.0	58.83876	1458.60438	149.20299	0.83658	0.63931	9.0	754.99974	4.72567	2.39801	2.32766	13.98801	24.39841
11	365.7259	81.01534	25.81902	19.5607	0.70021	0.07326	0.9258	4.41546	4.0	8.21971	3.20399	29.82885	15.10791	17.00646	1084.0	189.42809	395.03869	76.06433	0.93889	0.79433	5.0	210.07499	4.29105	1.97194	2.3191	11.22729	21.529
12	3700.83732	412.64698	104.19281	59.05784	0.27312	0.26387	0.71758	4.91353	10.0	17.0685	3.53221	121.74944	21.98785	25.70048	1106.0	193.46059	5157.38981	280.37735	0.67946	0.59159	16.0	2533.9929	6.4127	3.79664	2.61606	14.76671	27.40645
13	3729.95469	434.52253	93.75978	66.95877	0.24825	0.10529	0.70414	5.15058	12.0	13.70092	3.23004	124.37578	15.67918	26.25713	1139.0	168.7187	5297.21181	275.1442	0.63321	0.61915	23.0	3016.3837	3.66464	2.03971	1.6299	11.70071	20.79153
14	666.3774	123.035	43.24793	22.5144	0.55319	0.32896	0.85981	4.42546	4.0	15.22471	2.57883	45.70785	16.87958	16.87958	1138.0	165.03939	775.03014	111.36445	0.90514	0.67521	8.0	489.13274	3.19647	1.69589	1.50059	11.4378	20.68785
15	1117.98977	174.26211	57.13659	27.48605	0.46264	0.38956	0.80278	5.49555	6.0	14.3056	1.77131	63.8822	17.33649	19.17753	960.0	226.20566	1392.65061	147.17518	0.84456	0.6486	10.0	795.25597	4.83276	2.39271	2.44005	11.85989	17.71225
16	3036.3164	365.96076	102.87472	49.39	0.2849	0.39108	0.71995	4.67413	8.0	19.95073	3.00863	125.27673	19.17753	20.95951	1215.0	82.80097	4217.42638	262.27335	0.71667	0.55469	17.0	2303.20354	4.56993	2.46528	2.10464	13.47803	25.22113
17	391.32573	79.29692	28.18335	18.28969	0.78205	0.16591	0.98355	2.8672	0.0	NaN	4.53248	21.6258	10.91812	15.62924	996.0	191.191	397.87226	76.08388	0.95948	0.8495	6.0	254.63043	2.98886	1.91165	1.0772	10.26319	23.30557
18	726.2732	119.89075	42.11404	24.206	0.63495	0.25336	0.93827	3.55822	4.0	10.30935	3.28214	39.55421	12.50339	19.7696	1221.0	41.89272	774.05305	111.58144	0.93069	0.73304	8.0	535.83778	2.89294	1.81321	1.07972	11.53648	24.14898
19	1067.57178	166.54555	63.90348	24.09478	0.48366	0.56409	0.85379	4.20196	4.0	17.4128	5.00136	61.39453	21.1544	22.75652	1176.0	133.53277	1250.38587	147.96724	0.88845	0.61274	12.0	819.781	2.67346	1.58386	1.0896	10.32923	19.48729
20	1020.96444	135.69009	42.39155	31.81128	0.69683	0.07811	0.92314	3.74119	5.0	14.98567	2.75075	46.89535	24.38162	27.51457	965.0	224.92665	1105.97153	124.76512	0.91949	0.8242	10.0	819.68329	2.81476	1.43304	1.38172	10.37747	17.60964
21	3492.91194	406.74848	129.22244	49.19317	0.26531	0.55778	0.63908	5.64209	12.0	14.55485	3.43843	145.86671	17.60494	23.34153	1052.0	212.56293	5465.56493	296.31385	0.72849	0.49991	20.0	2759.50596	4.50802	2.12551	2.38251	14.55407	22.74766
22	3614.3646	426.66729	105.14526	59.15505	0.2495	0.26952	0.65892	4.6002	9.0	18.98228	3.57736	132.05935	20.00543	25.84455	1132.0	179.58285	5485.30221	286.85691	0.67232	0.55196	21.0	2781.09971	4.04187	2.25657	1.7853	13.05014	22.4113
23	659.63546	124.57571	43.40832	22.36975	0.53413	0.33677	0.79903	4.96571	6.0	9.44572	2.34439	47.98099	12.51901	14.39249	1024.0	185.54784	825.54585	110.73198	0.88887	0.67603	9.0	457.27951	3.1274	1.70769	1.41971	9.68854	16.18532
24	925.99101	150.96613	53.39546	24.99532	0.51057	0.41025	0.83132	4.13428	5.0	12.71024	1.93803	60.22004	13.81045	19.01379	1147.0	164.481	1113.88598	134.01444	0.88771	0.64791	10.0	695.59248	3.25235	1.66656	1.58579	11.20149	19.68726
25	3676.11687	406.31404	92.44068	66.11126	0.27982	0.10447	0.7077	5.09454	11.0	15.86506	3.15427	124.2371	19.39034	24.15616	1022.0	227.46208	5194.42163	266.75946	0.65654	0.64917	22.0	3036.02327	3.62851	1.89285	1.73566	12.67932	22.30332
26	365.33506	80.74338	28.37347	17.82069	0.70419	0.18855	0.95019	4.06972	3.0	10.49661	3.12585	27.82386	13.26185	13.26185	816.0	131.63586	384.48608	76.45485	0.94689	0.7854	5.0	184.37744	4.47231	2.78452	1.68779	10.71285	23.81435
27	839.81141	132.74735	41.39414	27.50059	0.59888	0.15021	0.86696	5.3421	4.0	13.46202	1.79736	47.18572	19.9761	20.89414	1029.0	212.96948	968.68997	117.33951	0.88393	0.76648	10.0	639.99589	3.36026	1.94377	1.41649	9.47634	15.76172
28	455.91158	93.85354	27.39309	24.63457	0.65041	0.01118	0.90321	4.28953	4.0	7.60565	2.65697	31.13282	12.50339	15.0301	1146.0	152.21367	504.76623	86.49252	0.92157	0.76583	5.0	198.05674	5.39871	3.0284	2.3703	11.39712	26.30676
29	337.78104	84.0079	31.69012	14.85865	0.60146	0.40903	0.87608	4.67065	3.0	11.08909	2.60487	26.57352	11.87822	11.87822	1156.0	137.33172	385.56088	78.56935	0.93526	0.6876	5.0	146.85707	5.11346	3.07641	2.03705	10.33676	18.75731
30	1885.30088	250.81241	80.18127	38.41126	0.37661	0.39273	0.74487	5.51405	7.0	16.5787	2.05413	92.36265	16.25441	22.20013	960.0	211.04739	2531.06162	200.06564	0.79767	0.5919	17.0	1548.20381	2.99622	1.44959	1.54663	10.60199	18.37148
31	266.55096	70.6334	24.77111	14.94198	0.67138	0.21756	0.91024	4.70936	3.0	11.08603	1.25034	25.39903	12.02538	12.02538	822.0	166.12345	292.83476	66.10752	0.93592	0.76646	5.0	115.5901	4.31568	2.35233	1.96335	8.63168	18.0817
32	1394.50708	189.46231	58.96075	33.28062	0.48819	0.26703	0.8176	6.45411	6.0	13.42888	2.96956	63.07392	15.12084	23.13128	854.0	182.82505	1705.61348	156.00618	0.82342	0.72002	14.0	1139.19269	3.1832	1.70517	1.47803	9.61721	15.39127
