Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	1734.63315	203.45659	52.82783	48.43743	0.52659	0.00749	0.85734	4.60789	5.0	21.85702	3.75102	65.42672	26.53107	27.76204	965.0	213.18537	2023.26641	172.55073	0.8481	0.73212	10.0	1234.55696	5.2685	3.0937	2.1748	14.33213	26.19988
2	2801.42325	318.44563	90.36845	50.60299	0.34715	0.27309	0.71756	4.42583	8.0	15.31119	2.96956	113.0637	18.22667	23.26606	992.0	218.86982	3904.07266	235.70025	0.74016	0.63368	17.0	2141.00611	3.91313	2.33426	1.58193	12.6845	25.20782
3	784.89878	128.5987	34.18484	33.07908	0.59642	0.00108	0.84442	4.74833	5.0	11.00007	4.0636	39.15277	16.83321	17.50475	785.0	115.32996	929.50854	113.24253	0.88059	0.76914	10.0	585.66952	2.8001	1.66301	1.13708	9.54875	18.83702
4	1436.03353	178.01313	50.73948	38.1323	0.56947	0.07735	0.85408	4.81992	6.0	18.20894	1.82341	63.64546	26.52371	28.35405	1046.0	209.99048	1681.38158	152.9864	0.85941	0.77103	10.0	1105.6784	4.54841	2.11189	2.43652	12.75406	20.18754
5	433.43844	92.75489	35.16029	16.10808	0.63309	0.42647	0.93076	4.1038	3.0	14.62252	1.04195	38.21882	6.87687	13.65391	1002.0	183.30303	465.68251	86.28178	0.93021	0.73164	8.0	325.8605	2.44555	1.45033	0.99522	9.23927	18.23079
6	3109.69608	361.46429	77.39575	65.54082	0.29909	0.02714	0.72967	4.95466	8.0	16.13728	4.29804	106.93228	16.40996	28.32647	1170.0	139.51702	4261.7864	247.40007	0.68444	0.63845	15.0	2290.98988	5.23738	3.11784	2.11954	15.54985	31.18902
7	3463.79457	414.92012	115.28929	56.06119	0.25283	0.38134	0.64726	4.54002	10.0	11.69128	3.81354	132.61406	15.9755	21.88094	1011.0	223.76774	5351.44047	284.37916	0.68538	0.53823	20.0	2606.59091	4.29632	2.33038	1.9719	14.00015	26.2526
8	3754.87056	419.38516	107.24509	61.41582	0.26827	0.25612	0.68784	4.76842	9.0	19.42536	4.27199	131.89464	18.80712	25.38682	1015.0	222.49719	5458.9207	286.61207	0.68341	0.5744	18.0	2869.2335	4.95384	2.63975	2.31408	14.68088	26.44801
9	3280.10109	384.22936	119.85472	51.89609	0.2792	0.46818	0.64886	4.67847	8.0	15.96873	4.33711	144.59416	18.73424	21.74656	1178.0	138.14485	5055.18589	282.70515	0.73577	0.51574	20.0	2633.36326	3.788	2.06757	1.72043	13.78108	24.2846
10	2514.64646	305.16537	82.23775	52.45698	0.33933	0.17774	0.6981	4.54382	7.0	15.84889	4.55481	92.27221	16.02436	25.02241	1212.0	95.8697	3602.15093	227.66236	0.74603	0.60968	16.0	1933.66698	3.86041	2.36716	1.49457	12.53716	23.56175
