Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	3205.35348	351.3229	78.96655	69.84515	0.32634	0.01492	0.72465	4.49809	9.0	12.54825	4.68877	102.35616	14.82061	26.10785	941.0	209.13871	4423.29986	248.05949	0.70607	0.6546	19.0	2740.35494	2.87846	1.66437	1.21409	12.53812	23.01236
2	602.08469	111.66167	34.84939	24.30056	0.60682	0.1195	0.87145	4.5828	4.0	13.42965	3.67287	36.02692	19.12652	19.85837	861.0	206.93477	690.90244	99.98504	0.89543	0.75683	8.0	440.57122	2.92454	1.51916	1.40538	10.12156	19.00645
3	2868.84266	353.76614	85.96397	62.34736	0.28806	0.09647	0.67125	4.11565	7.0	18.02801	2.85792	119.46709	15.62924	22.38422	1025.0	213.8925	4273.90235	246.94096	0.69803	0.59119	16.0	2217.21936	4.33171	2.35458	1.97714	14.45926	24.55173
4	1072.65266	158.41835	39.99356	38.05954	0.5371	0.00245	0.84	4.44536	5.0	16.15128	2.87578	53.02677	17.41521	23.56649	958.0	197.69927	1276.9628	133.95757	0.84559	0.75116	7.0	673.7056	6.1238	3.58965	2.53415	14.9722	29.65262
5	3419.04371	378.66027	91.82865	58.60561	0.29965	0.17737	0.74435	4.97473	10.0	16.62292	4.00109	114.75229	19.13673	26.8823	1130.0	182.93715	4593.31404	259.77254	0.68603	0.63669	12.0	2189.46992	8.76113	4.27895	4.48218	18.44006	34.97902
6	3364.61963	388.37262	113.53213	56.66051	0.28032	0.36143	0.6386	4.60048	7.0	18.5364	5.44791	136.10073	18.12992	22.93615	1192.0	117.88554	5268.77841	278.47864	0.71704	0.54521	19.0	2553.14392	4.47136	2.35452	2.12165	14.32857	24.16662
7	1778.89546	203.91167	52.08598	46.89352	0.53762	0.01095	0.83845	4.36138	5.0	21.53402	2.43816	68.70045	19.54093	32.006	1124.0	185.14049	2121.65967	173.74056	0.85204	0.74056	12.0	1470.13408	3.29815	1.77718	1.52591	11.91191	18.45209
8	393.37763	105.11961	35.41225	18.04676	0.44735	0.34535	0.77053	4.93375	5.0	6.85618	2.31313	43.00184	10.47975	11.47659	1066.0	196.76636	510.53108	90.62645	0.86213	0.60188	7.0	234.4046	3.77631	2.04036	1.73595	9.52554	19.5456
9	2387.42896	265.8479	69.41967	50.26101	0.4245	0.09745	0.79473	4.41299	7.0	17.17508	4.77808	78.17605	21.83624	30.0732	1151.0	166.34302	3004.07233	208.53011	0.7844	0.68993	13.0	1743.72011	5.11486	3.00559	2.10928	13.08659	25.0824
10	870.29671	139.51695	38.29732	31.81912	0.56185	0.03357	0.84926	5.60999	5.0	12.30664	3.56347	47.53893	16.02436	21.36581	972.0	224.42148	1024.7751	119.64949	0.8576	0.76393	11.0	670.96974	2.9301	1.62623	1.30387	8.83007	16.93256
