Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	1788.66639	232.5308	84.1202	30.05232	0.4157	0.5985	0.7858	4.79414	6.0	18.41733	1.77131	94.9652	18.80712	22.41039	985.0	226.4023	2276.23578	197.39514	0.8489	0.57685	14.0	1395.28876	3.64244	2.12025	1.52219	11.78784	22.65505
2	754.12035	123.84328	39.39788	26.33493	0.61788	0.1462	0.86983	4.64615	4.0	14.0234	2.26624	44.35024	18.51389	19.38026	923.0	221.62581	866.97459	111.15983	0.89758	0.76693	8.0	503.3983	3.85907	2.07263	1.78644	10.77322	20.28219
3	1520.74749	204.3277	65.77207	36.15154	0.45773	0.28726	0.76504	4.58127	7.0	11.51736	3.75102	74.40663	18.12992	20.41158	903.0	195.83667	1987.79793	168.58706	0.82508	0.67239	9.0	964.39076	6.11849	3.24824	2.87025	15.17467	26.56046
4	1701.80282	232.5308	75.61656	34.39505	0.39551	0.43183	0.77727	5.12691	5.0	14.77146	4.00109	84.00251	14.43316	25.00679	1107.0	201.38769	2189.46992	193.6734	0.83289	0.57014	10.0	1112.12722	6.14954	3.46027	2.68927	15.09583	28.86584
5	1243.74164	197.86148	60.43468	32.0032	0.39922	0.31583	0.75031	5.47659	6.0	12.49483	1.9797	70.79429	14.25606	16.92583	989.0	231.40657	1657.63822	157.95759	0.79832	0.62641	11.0	905.37434	3.8382	2.16969	1.67163	11.93203	21.48562
6	1980.95828	272.7692	88.19356	38.47996	0.33458	0.46261	0.67474	4.64214	9.0	10.72679	3.05639	96.79247	14.04894	18.65061	1101.0	201.19145	2935.87124	210.60569	0.7721	0.56124	14.0	1370.4706	4.62962	2.58323	2.04638	13.27109	24.05877
7	2771.71962	347.84924	79.86024	56.59002	0.28786	0.10985	0.71399	5.18255	11.0	12.96133	1.96076	122.90172	16.87958	21.38409	1165.0	158.22768	3881.99036	232.88738	0.66951	0.6422	16.0	2155.46709	4.77233	2.36574	2.40658	13.70375	22.07633
8	407.54548	93.79609	28.47859	21.06643	0.58213	0.08565	0.88182	4.82466	5.0	10.12299	1.68796	32.04836	11.49361	14.82061	1008.0	221.7228	462.16497	85.56631	0.91226	0.69949	8.0	300.45609	2.74146	1.60084	1.14062	8.68841	15.12266
9	2433.93858	306.0679	67.76716	58.5954	0.3265	0.02085	0.69919	5.1505	8.0	18.36004	3.12585	85.77615	16.25441	23.56649	1035.0	217.52931	3481.08912	222.1142	0.7257	0.61996	13.0	1711.0852	5.98164	2.97413	3.00751	13.53736	24.32391
10	2851.3527	367.55129	90.38373	55.97751	0.26523	0.1985	0.66807	4.82982	10.0	11.84075	4.62626	126.5899	15.62924	20.04447	1123.0	186.08063	4268.03979	247.21253	0.67259	0.5863	17.0	1937.28223	5.07828	2.83078	2.27707	13.96611	27.03743
