Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	4997.04885	494.95709	122.24651	70.24382	0.25632	0.25358	0.69007	4.47875	10.0	15.51002	4.9701	159.8702	1052.0	209.85948	21.0	2.70287	2.53077	0.90912	7241.33369	324.62786	0.65587	0.59587
2	2053.16545	272.23289	85.99142	44.51109	0.34814	0.33336	0.66027	4.22155	8.0	9.08535	3.75102	107.18742	1039.0	228.18414	13.0	2.0347	2.16402	0.92871	3109.59837	221.46249	0.8135	0.52606
3	2943.49256	359.05787	82.57989	59.50315	0.28691	0.10016	0.68286	4.72038	8.0	20.52179	1.95366	107.28548	980.0	230.59271	15.0	2.38345	2.7305	0.92017	4310.54334	249.28417	0.69427	0.59523
4	1019.59651	162.15635	54.21005	29.68451	0.48727	0.29014	0.76818	3.58903	5.0	11.37701	4.18864	52.66056	1163.0	156.77691	7.0	3.38758	1.82542	0.78103	1327.28309	140.50823	0.8665	0.64899
5	783.0423	147.12086	56.5646	20.20894	0.45462	0.59847	0.85675	4.42976	5.0	8.08322	4.43871	57.75998	948.0	211.47577	8.0	2.37988	1.05678	0.80809	913.97276	130.58107	0.88758	0.57708
6	553.03462	113.9034	43.95736	17.41946	0.53566	0.53079	0.87386	4.17341	4.0	7.60795	4.14175	41.31864	1069.0	187.09089	8.0	1.85613	0.88512	0.82668	632.86312	103.88844	0.91208	0.64391
7	4827.52322	536.383	130.08359	67.89935	0.21086	0.32692	0.65672	4.31681	12.0	12.70443	4.32409	155.9989	1102.0	190.30765	21.0	3.02417	3.01491	0.88032	7350.96352	343.11557	0.63968	0.51529
8	3717.35019	416.34055	120.56437	48.46317	0.26949	0.52099	0.69321	4.56581	12.0	14.99876	3.38634	156.75355	1098.0	203.7204	17.0	3.48112	3.05869	0.87972	5362.48162	309.21832	0.74271	0.48855
9	713.57099	127.60731	48.34094	20.3747	0.55068	0.48763	0.86487	3.85461	3.0	18.61462	3.12585	46.94898	1096.0	169.94999	8.0	2.28116	0.88523	0.82733	825.0573	116.18675	0.9105	0.66425
10	494.0182	103.78041	37.54505	18.41591	0.5764	0.37471	0.8529	4.09272	4.0	8.85924	2.73512	32.06137	1151.0	141.80621	7.0	1.95148	0.75563	0.86946	579.22071	94.15133	0.90722	0.70033
11	5593.07556	565.71076	137.12225	75.97064	0.21962	0.28119	0.6427	4.46152	14.0	16.14774	3.41611	191.25816	1016.0	217.67866	23.0	2.68651	3.13712	0.92195	8702.47852	362.67453	0.6411	0.53435
12	1333.24335	186.48815	54.49108	39.66949	0.48174	0.09437	0.78982	3.96264	4.0	17.78783	4.76692	62.55982	930.0	205.30709	9.0	2.47597	1.80253	0.87549	1688.02581	157.66848	0.84546	0.67395
13	4929.92257	513.72519	112.61516	84.40399	0.23474	0.07875	0.65364	4.34223	12.0	12.14847	4.55853	156.28546	1217.0	75.99342	25.0	2.21629	2.08761	0.90326	7542.27833	331.02487	0.64436	0.56536
14	1856.86748	243.23453	63.16882	44.0229	0.3944	0.11984	0.73992	5.15267	8.0	18.47936	1.79736	84.15039	1203.0	96.77293	11.0	2.705	2.65598	0.91949	2509.56558	194.43041	0.79935	0.61725
15	3507.07979	412.92433	109.86517	59.62875	0.25847	0.29693	0.63296	4.52006	10.0	10.00776	4.87632	137.79853	1049.0	215.67105	22.0	1.96433	1.95001	0.92129	5540.80109	291.20852	0.70523	0.51969
16	628.75932	114.09952	40.82195	20.56246	0.60691	0.35432	0.89004	4.79811	5.0	10.3061	3.56347	40.76012	883.0	189.08199	6.0	2.34431	1.10816	0.80466	706.43822	103.68582	0.90873	0.73495
17	4887.2236	473.42396	116.90155	75.58413	0.27401	0.16842	0.69041	4.08999	10.0	17.59285	4.90758	144.02801	946.0	200.97761	20.0	2.5898	2.451	0.90783	7078.74542	317.03322	0.66966	0.61103
18	649.18057	123.3698	35.48298	27.00068	0.53599	0.07107	0.83709	4.71311	5.0	8.69767	2.62571	43.02406	784.0	124.8439	7.0	2.79045	1.35867	0.82797	775.51869	105.0109	0.85119	0.73979
19	794.86513	130.87184	44.66928	26.26686	0.58319	0.23632	0.83702	3.40462	3.0	17.84823	4.0636	41.9124	810.0	112.33432	7.0	2.54552	0.99236	0.81291	949.63666	118.31147	0.90403	0.71359
