Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	3081.75122	348.87204	96.07805	53.62166	0.31818	0.27562	0.74132	4.79078	8.0	23.00399	3.43843	112.57721	1061.0	213.60243	16.0	2.95594	2.58213	0.88171	4157.13974	258.61594	0.74129	0.57902
2	1507.84987	198.92871	57.84119	38.73246	0.47882	0.14503	0.78295	4.87824	6.0	12.43162	3.28214	75.30916	952.0	232.41342	11.0	2.20336	1.60039	0.88414	1925.85024	164.38576	0.82636	0.7012
3	4712.61709	493.14441	105.78793	85.47601	0.24351	0.04411	0.64667	4.42094	12.0	15.55734	2.78722	164.38506	1089.0	214.80922	24.0	1.88882	2.43616	0.92569	7287.55019	318.65448	0.64617	0.58322
4	6125.59123	595.50439	120.19324	97.74358	0.21706	0.04156	0.63825	4.08195	11.0	20.19653	3.3816	193.53893	1038.0	214.6206	26.0	2.61763	2.23854	0.90386	9597.49567	365.44706	0.61368	0.57638
5	6356.77143	649.33944	161.01779	73.48466	0.18945	0.42935	0.62235	4.17281	12.0	18.88449	3.72497	213.85313	1024.0	216.9977	32.0	1.95479	2.04068	0.92445	10214.13905	390.73039	0.60174	0.52323
6	4239.50868	425.43535	114.31285	61.85132	0.29435	0.2993	0.7139	4.20671	8.0	15.70374	5.47024	139.1117	1158.0	162.11416	21.0	2.06041	2.04464	0.91507	5938.47793	296.42343	0.69675	0.60632
7	3360.22272	365.35399	116.71019	48.50789	0.31634	0.49759	0.69279	4.41458	8.0	18.30411	4.96228	143.25496	1089.0	210.44952	19.0	2.1092	1.81688	0.9153	4850.28949	283.92552	0.77712	0.5238
8	1527.88027	194.58394	67.74824	31.22372	0.50709	0.42199	0.85276	3.91402	6.0	17.52887	2.65697	71.18811	1110.0	202.70668	14.0	1.42928	0.97002	0.9269	1791.69537	169.05848	0.86882	0.67178
9	2077.00652	245.28013	79.75579	36.65836	0.43383	0.42402	0.79561	4.37706	7.0	11.86005	2.99188	89.70489	1177.0	140.26404	12.0	2.52708	2.03375	0.8798	2610.59699	199.86989	0.81486	0.65336
10	1095.51664	162.69266	58.19706	27.06617	0.52011	0.41517	0.83003	4.18238	5.0	10.75965	1.87551	63.7121	1043.0	193.14761	11.0	1.69702	1.16126	0.90394	1319.85718	144.34314	0.88721	0.66075
11	562.21929	123.27555	50.35334	15.60004	0.4649	0.68037	0.84817	4.08185	0.0	NaN	3.28214	47.54274	1041.0	203.82836	7.0	2.84888	1.42512	0.7341	662.85987	111.79668	0.90688	0.56527
12	3677.68022	397.99611	85.26645	71.14367	0.29176	0.03209	0.71075	4.51622	8.0	22.17119	3.00863	122.96836	1122.0	190.86645	22.0	1.81929	1.88533	0.92811	5174.39123	267.0369	0.67095	0.6481
13	1626.56666	192.00742	60.23132	36.99214	0.55443	0.2045	0.84563	4.35791	6.0	15.64876	2.44858	67.64623	1091.0	208.13697	7.0	3.29923	2.89564	0.87643	1923.50522	162.44011	0.84601	0.77463
14	804.73377	121.6774	44.00281	24.8735	0.68303	0.26594	0.93241	2.68923	3.0	15.18538	4.58458	35.63849	1009.0	221.44299	10.0	1.22013	0.50741	0.92266	863.06622	113.42514	0.93218	0.78604
15	321.46359	74.26414	26.31293	16.04422	0.73246	0.20972	0.95751	3.49597	3.0	11.02806	2.0839	24.6758	863.0	197.48164	4.0	3.08195	1.24405	0.62128	335.72914	69.89667	0.94119	0.82685
16	4177.65869	429.78551	95.40929	76.61192	0.28421	0.04664	0.68915	4.35491	8.0	23.8206	3.16492	129.12581	1055.0	216.85248	17.0	3.06059	2.80525	0.90362	6062.08019	296.08891	0.68892	0.59882
17	714.74351	129.93027	47.2526	20.24481	0.53203	0.47585	0.85887	4.32278	5.0	10.77222	2.87578	42.10852	933.0	206.40736	7.0	2.69831	1.20922	0.81463	832.19008	116.98847	0.90039	0.65626
18	283.25925	75.17968	29.82271	12.39441	0.62979	0.49763	0.92976	3.53062	3.0	11.87643	1.25034	29.59211	1114.0	163.63679	5.0	2.67348	0.51431	0.72646	304.65759	71.2593	0.94785	0.70099
