Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	4416.55792	461.42323	124.57789	56.40468	0.26067	0.43528	0.70099	4.8367	13.0	14.81123	3.22203	142.9776	921.0	203.82345	22.0	2.71327	2.23001	0.89494	6300.49087	307.78942	0.66704	0.58585
2	3836.06699	442.24671	112.38469	66.25191	0.24647	0.23446	0.66193	4.71539	10.0	14.53878	5.12639	143.06265	1110.0	202.08662	19.0	2.94536	2.36736	0.877	5795.2361	290.62213	0.65715	0.57074
3	2485.23596	287.58477	78.26029	50.84377	0.37761	0.16516	0.74111	4.47012	7.0	20.35379	2.85792	101.51647	1146.0	178.78479	14.0	2.05872	2.54351	0.92998	3353.38306	218.48895	0.75974	0.65421
4	4643.43891	469.70213	122.83398	67.61782	0.26449	0.2861	0.6973	4.47377	9.0	14.31939	5.03609	156.98871	1111.0	192.82635	26.0	1.98848	1.78348	0.92242	6659.1817	309.49327	0.65891	0.60918
5	944.16493	152.21647	50.97701	26.47249	0.51208	0.33086	0.85513	5.88321	6.0	10.60081	1.9797	53.53548	953.0	223.95535	9.0	2.17925	1.31061	0.86629	1104.11505	130.22205	0.85551	0.69966
6	1721.05155	223.55088	66.23354	38.66656	0.43276	0.2417	0.78683	5.03027	5.0	15.45363	4.12612	73.97758	955.0	218.26131	11.0	2.77749	1.91655	0.85438	2187.32032	180.09157	0.8056	0.66683
7	557.33383	109.40693	41.86776	18.36346	0.58511	0.45877	0.88065	4.44486	3.0	13.59104	4.0636	34.78959	1052.0	185.66367	10.0	1.38635	0.65746	0.88657	632.86312	100.1679	0.91555	0.69802
8	1667.79999	231.94243	65.21669	40.53419	0.38958	0.19597	0.73113	5.04952	6.0	17.64111	2.55278	82.84642	1139.0	170.06469	13.0	2.04319	1.72458	0.91921	2281.12124	182.33491	0.78612	0.6304
9	3582.80449	444.00733	118.32584	57.52769	0.22838	0.38148	0.64659	4.85514	11.0	13.52326	3.63735	145.23392	1102.0	197.83832	21.0	2.15229	2.70414	0.91437	5541.09422	296.55021	0.66789	0.51196
10	2798.19884	305.13934	91.37013	46.17142	0.37765	0.35186	0.75508	4.89907	10.0	10.86193	4.68877	105.90186	1080.0	213.7171	15.0	2.64028	2.14658	0.90094	3705.8205	234.82035	0.76955	0.6377
11	564.27119	101.07059	30.15156	25.27842	0.69414	0.03044	0.93689	4.24755	0.0	NaN	3.43843	29.98054	1057.0	174.51647	7.0	1.89697	0.64542	0.84139	602.28011	93.10309	0.92117	0.81803
12	1303.2466	167.25196	50.11925	35.84552	0.58546	0.10444	0.85352	4.33093	6.0	11.96708	3.38634	62.31007	888.0	196.51717	10.0	2.06215	1.23456	0.92203	1526.90318	145.79828	0.87173	0.77043
13	286.77679	85.45436	25.94942	17.40177	0.4935	0.14409	0.76772	5.28317	3.0	12.63414	1.77131	28.95393	969.0	227.34555	4.0	3.34379	1.77517	0.72164	373.54264	74.39672	0.8706	0.6511
