Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	3218.44653	330.82336	99.31843	48.70417	0.36954	0.37489	0.75861	4.89024	9.0	14.88352	4.1678	109.38853	1001.0	229.86518	17.0	2.637	2.02387	0.89399	4242.53766	254.32828	0.76877	0.62527
2	3757.11788	440.81865	88.20156	79.17382	0.24297	0.01157	0.63493	3.95521	10.0	14.11986	4.56374	126.2275	1099.0	201.25109	17.0	3.12809	2.89769	0.86362	5917.37272	285.94584	0.64867	0.57743
3	4302.8243	525.75511	129.07424	67.92988	0.19561	0.32058	0.59789	5.08436	12.0	14.08457	3.59473	167.35922	1094.0	216.37005	25.0	2.365	2.67099	0.9071	7196.68054	337.59002	0.64211	0.47444
4	2807.09039	337.99822	83.46491	57.82553	0.30877	0.12345	0.69437	4.37463	7.0	19.09579	4.55481	111.96887	1231.0	40.0	14.0	2.85667	2.98583	0.87821	4042.62444	236.46829	0.69961	0.63084
5	628.85703	128.47303	34.35618	28.9211	0.47878	0.02908	0.77124	4.65247	4.0	16.58096	2.26624	45.4619	1111.0	182.03571	5.0	4.08727	2.97036	0.69919	815.38408	112.40114	0.8749	0.62549
6	1419.52066	214.53955	82.84834	24.83679	0.38756	0.69736	0.76572	4.96463	5.0	13.39609	2.87578	85.92245	1033.0	214.16582	12.0	2.09064	1.53972	0.90157	1853.83849	186.37201	0.86871	0.51356
7	3663.51237	417.04157	98.31766	64.12037	0.2647	0.16255	0.70187	4.42504	10.0	16.36603	3.03207	128.21027	1199.0	110.84223	20.0	2.41719	2.06094	0.88395	5219.63063	275.03814	0.6595	0.60859
8	2033.03734	246.34197	60.35881	50.93282	0.421	0.02829	0.75366	4.3081	7.0	18.87251	2.90257	83.32371	950.0	219.77716	12.0	2.36772	1.78676	0.90494	2697.55826	202.12365	0.8205	0.62535
9	4420.46629	511.12264	137.57648	60.40244	0.21263	0.45803	0.64454	4.2528	11.0	12.45282	4.34777	165.4799	1054.0	213.97196	21.0	2.98079	2.51625	0.85792	6858.31325	331.28886	0.64816	0.50613
10	1426.94657	199.62973	60.17795	35.6469	0.44995	0.23089	0.8171	4.92477	6.0	12.20382	4.32409	70.48171	992.0	233.83969	10.0	2.54628	2.19776	0.86038	1746.35826	161.15155	0.80725	0.69048
11	2205.20112	304.19239	68.54372	60.09099	0.29948	0.01712	0.65978	4.7066	8.0	13.57253	3.16492	95.47929	1177.0	139.61375	16.0	2.04669	2.56468	0.90097	3342.34191	217.0722	0.7136	0.5881
12	4420.85713	515.04376	119.81352	75.00096	0.20942	0.19091	0.63028	4.38867	12.0	16.0552	3.85521	150.80524	1087.0	206.05096	18.0	3.37979	3.90144	0.89208	7014.15958	339.96331	0.66007	0.48068
13	759.10353	130.50562	43.02624	25.47807	0.56008	0.23114	0.88374	4.64837	3.0	17.55045	4.1678	48.98539	1030.0	218.84926	8.0	2.31546	1.31633	0.79315	858.96243	116.11132	0.8897	0.70756
14	1134.50264	194.03462	64.45918	28.03045	0.37867	0.46505	0.73136	5.24939	8.0	9.51956	3.00863	67.9274	1136.0	162.41305	10.0	2.50326	1.93412	0.85953	1551.2328	157.80648	0.81329	0.57249
15	3818.67474	446.65971	103.90687	71.01316	0.24053	0.13195	0.66359	4.58314	12.0	12.66159	4.32409	140.39727	1070.0	210.78899	17.0	2.85728	3.26602	0.90185	5754.58903	296.78952	0.66446	0.54479
16	2244.18713	305.45035	87.2194	43.9049	0.30226	0.35482	0.69321	4.96464	11.0	9.28713	3.26793	102.09563	1011.0	220.57425	16.0	2.09522	2.24052	0.92342	3237.40213	221.88632	0.72642	0.57281
17	2350.59255	272.37156	83.4107	45.52976	0.39817	0.29256	0.76041	4.31028	5.0	19.9452	4.50122	86.81197	961.0	216.91242	17.0	1.8101	1.49427	0.9115	3091.22902	216.50814	0.7949	0.63014
