Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	2708.59942	287.93798	93.11	42.7835	0.41054	0.42425	0.78833	4.31781	6.0	20.24905	3.95941	98.45345	1031.0	218.94291	13.0	2.96656	2.18557	0.86281	3435.84971	233.89831	0.81232	0.62216
2	1272.95672	190.29661	68.09949	27.40258	0.44173	0.52026	0.79381	4.91971	5.0	15.80835	4.87632	61.41293	953.0	212.47588	12.0	2.20512	1.36178	0.84963	1603.60498	160.98526	0.84597	0.61724
3	3927.03435	429.26761	100.49058	68.85852	0.2678	0.13031	0.67095	4.87713	12.0	17.02763	3.49053	145.62235	916.0	205.06097	21.0	2.37027	2.25817	0.90926	5852.98229	289.26897	0.67387	0.58975
4	293.90956	72.3442	26.13956	15.3694	0.70569	0.23639	0.9519	3.23953	0.0	NaN	1.40663	28.0606	1197.0	70.37755	5.0	2.03944	0.39977	0.75731	308.76138	68.81494	0.95122	0.77993
5	5440.45364	583.16346	108.15317	96.27366	0.20103	0.01342	0.58819	4.37867	12.0	16.06829	3.02165	159.46875	1090.0	205.58453	25.0	2.40278	2.71899	0.91081	9249.45516	360.78664	0.61867	0.52522
6	874.10737	151.80043	53.8696	24.51371	0.47668	0.43151	0.77214	4.9715	6.0	6.01342	2.96956	61.25204	997.0	211.36461	8.0	2.60284	1.30353	0.83758	1132.05991	130.62745	0.86052	0.64373
7	327.22843	77.66196	24.57151	18.37069	0.68178	0.08003	0.89188	4.51682	5.0	5.6184	2.06306	25.56913	984.0	200.75607	5.0	2.48662	0.97175	0.77874	366.89841	71.94759	0.92642	0.79438
8	3072.078	368.2155	111.99325	51.6318	0.28473	0.42175	0.66112	4.6515	10.0	14.67769	3.75102	135.47557	1114.0	192.24724	18.0	2.13032	2.30019	0.92488	4646.76103	281.81783	0.76536	0.48608
9	702.72526	121.35562	40.48033	23.50273	0.59962	0.2458	0.86724	4.26115	4.0	13.27891	1.87551	45.64501	781.0	115.12602	6.0	3.03468	1.38358	0.84497	810.3032	110.24967	0.90848	0.72651
10	1300.60845	175.40519	58.56494	31.91838	0.53122	0.29374	0.85	4.17956	5.0	14.77851	3.56347	64.0285	981.0	221.21709	10.0	2.10501	1.38474	0.87882	1530.12759	153.96101	0.87774	0.6895
11	366.31215	85.94086	32.12557	15.49966	0.62325	0.38732	0.92431	4.33689	3.0	10.88811	2.50068	30.40039	1069.0	182.73204	7.0	1.74332	0.92543	0.79648	396.30891	79.29107	0.92262	0.73217
12	864.33644	139.85175	51.91333	22.53922	0.55534	0.4662	0.84862	5.42388	3.0	19.04927	3.12585	52.36099	896.0	212.71577	11.0	1.58559	0.79847	0.91013	1018.52171	123.87651	0.88577	0.70781
13	5411.82482	556.45126	153.30042	60.07548	0.21963	0.53839	0.65627	4.04363	9.0	23.82436	4.68877	185.4133	976.0	212.98826	25.0	2.36192	2.40129	0.9089	8246.37152	366.98991	0.65952	0.50495
14	339.93064	77.49725	24.63396	18.80127	0.71126	0.0696	0.9584	4.32053	3.0	10.66925	2.50068	22.61718	899.0	198.63786	7.0	1.47932	0.64745	0.80569	354.68475	72.20127	0.93166	0.81943
15	767.50653	127.79581	42.21714	26.35159	0.59055	0.19294	0.85969	3.643	0.0	NaN	2.18809	49.12406	1012.0	217.8325	6.0	3.39325	0.99321	0.78536	892.76984	114.60275	0.89676	0.73435
16	2472.72917	321.88787	116.82814	39.01669	0.2999	0.63891	0.60304	4.63402	8.0	7.98968	2.85234	121.41845	1024.0	230.01739	19.0	1.64727	1.44346	0.92504	4100.46835	262.4658	0.8154	0.45107
17	2311.80196	258.32746	79.0074	42.80961	0.43533	0.2982	0.74125	4.24554	7.0	17.46468	2.23275	98.47567	970.0	229.27058	13.0	2.36235	1.74633	0.92143	3118.78304	212.88487	0.82409	0.64102
18	2487.48328	295.06841	90.69055	42.42199	0.35902	0.41082	0.7157	4.81554	9.0	12.86968	2.46595	104.2761	974.0	222.37581	15.0	2.02495	2.27602	0.93055	3475.61739	231.64211	0.78505	0.58255
19	5396.58217	536.8825	132.62365	71.76942	0.23527	0.29918	0.67859	4.57044	12.0	13.86322	5.67863	152.18124	955.0	214.98837	26.0	2.35415	2.27378	0.91619	7952.65737	335.48381	0.62487	0.60254
