Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	3809.97861	427.94904	91.70345	77.51844	0.26143	0.02772	0.68584	4.94599	12.0	11.41726	4.01151	129.10359	985.0	221.41816	19.0	2.44815	2.48988	0.91232	5555.16436	277.87897	0.64933	0.62004
2	3346.64112	386.45268	127.15342	43.48566	0.2816	0.62501	0.69333	4.39423	8.0	18.8948	5.00136	129.26988	1028.0	227.1079	21.0	1.7971	2.03887	0.91936	4826.93697	292.48096	0.75684	0.49161
3	2124.98179	235.7455	72.78232	40.97508	0.48048	0.26901	0.80803	5.53155	8.0	14.85064	2.96956	81.39996	965.0	220.25667	13.0	2.23163	1.69079	0.921	2629.84572	194.14988	0.82356	0.70842
4	2413.1265	256.55921	68.53599	54.84568	0.4607	0.04806	0.79424	4.51979	6.0	18.74563	4.42829	88.3695	1167.0	148.69768	16.0	1.65952	1.40311	0.93582	3038.27058	214.79294	0.83721	0.65728
5	847.23731	136.46695	51.11034	23.65077	0.57169	0.41896	0.89016	4.09581	3.0	15.71683	5.62653	45.19914	946.0	216.43706	12.0	1.27436	0.70095	0.90647	951.78626	125.40304	0.91893	0.67702
6	912.01858	152.73438	57.08347	22.12503	0.49129	0.54581	0.80646	4.5958	4.0	13.40973	3.75102	50.5353	1038.0	213.35417	10.0	1.91183	1.27071	0.89822	1130.8874	135.85527	0.88949	0.62096
7	399.92415	82.99811	30.14924	17.2151	0.72954	0.25832	0.95475	3.66524	3.0	12.37953	1.56292	30.63713	1029.0	225.55044	7.0	1.60452	0.56687	0.85048	418.87976	78.7993	0.94941	0.80936
8	3567.56184	346.80041	98.48936	55.20206	0.37275	0.27238	0.7574	4.76056	7.0	23.15359	2.36671	130.27427	1039.0	218.3117	18.0	2.23685	2.09024	0.92934	4710.27207	263.87304	0.76088	0.64386
9	4405.8099	501.11454	116.49779	69.06393	0.22048	0.23029	0.63545	4.64358	12.0	14.2837	4.1678	146.58232	1083.0	214.1308	24.0	2.05238	2.23656	0.91471	6933.35399	317.99164	0.63457	0.54753
10	2163.18612	253.98269	72.75637	44.0303	0.4214	0.21518	0.77897	4.89491	7.0	17.73578	2.85792	84.69052	916.0	212.80742	11.0	2.88918	2.27343	0.87438	2776.99592	202.7887	0.79844	0.66102
11	323.51548	79.44861	22.17341	20.94063	0.64407	0.00326	0.87385	4.50444	3.0	12.34377	2.0839	28.98916	924.0	224.35909	5.0	2.23732	0.92992	0.79976	370.22053	74.05376	0.9321	0.74133
12	2944.66508	324.93248	83.66318	56.36582	0.35048	0.14108	0.74359	4.80922	9.0	13.81237	2.67434	111.00509	1087.0	200.83077	16.0	2.39743	2.14741	0.90543	3960.06009	246.82661	0.75962	0.60738
13	3125.91582	295.13124	80.01844	59.16365	0.45098	0.08591	0.80534	4.04123	6.0	20.43649	4.42829	101.82905	970.0	211.15634	13.0	2.89174	1.96154	0.88263	3881.50181	232.06748	0.78632	0.72939
14	2927.85908	322.49464	84.65072	54.10186	0.35377	0.17638	0.72033	4.58258	9.0	19.2254	3.16058	115.5958	1160.0	162.96012	11.0	3.86528	3.51372	0.87379	4064.60904	242.79405	0.75286	0.62414
15	2105.63535	261.54217	74.39842	43.84256	0.38682	0.23473	0.75952	5.1267	6.0	19.23021	3.90731	92.24237	1062.0	211.94575	12.0	2.90457	2.18718	0.86111	2772.30588	203.92955	0.77972	0.63626
16	692.46579	128.91509	42.3455	24.1567	0.5236	0.25902	0.80361	5.58894	5.0	9.72567	2.68823	42.09551	1011.0	222.46798	7.0	2.54779	1.68864	0.839	861.69829	111.33927	0.86366	0.70196
17	771.4149	112.93042	35.52033	28.6918	0.76011	0.04423	0.94145	3.28674	4.0	9.88855	6.56428	28.65436	995.0	217.0576	8.0	1.78481	1.12104	0.86865	819.39016	106.33507	0.9416	0.85732
18	553.32775	97.48428	32.05982	22.95171	0.73168	0.10388	0.95049	3.65012	3.0	13.93198	2.91746	35.75876	844.0	176.76538	8.0	1.3844	0.4542	0.89935	582.15199	91.60608	0.9397	0.8286
