Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	5568.83169	496.50178	142.45534	76.43102	0.28388	0.30577	0.63381	4.01541	6.0	27.8289	4.01895	178.46218	24.04744	28.85693	995.0	216.43706	8786.25925	364.1925	0.73352	0.52761	13.0	3747.25123	8.43967	4.36965	4.07002	24.77448	32.19868
2	681.97101	111.55858	39.00076	23.48415	0.6886	0.21884	0.92358	4.77449	4.0	8.42041	3.68404	39.00851	16.94537	18.83996	970.0	226.99339	738.40311	103.59491	0.92861	0.79854	5.0	330.61636	6.15884	3.36955	2.78929	15.07317	22.26598
3	4035.19455	407.65921	100.20661	73.74559	0.30513	0.08842	0.6633	4.61077	8.0	22.0518	5.47024	130.54896	21.43439	26.92662	1077.0	210.13567	6083.50046	303.53213	0.74457	0.55038	14.0	2883.8201	6.00064	3.41589	2.60638	19.39858	27.00944
4	7487.92205	629.90187	156.0594	81.71262	0.23715	0.32452	0.68535	5.07556	11.0	19.81066	3.77538	192.26804	25.16577	33.22523	923.0	207.71134	10925.69404	415.84698	0.66018	0.54413	22.0	6016.10099	5.30227	2.99908	2.30319	18.26763	21.95081
5	3105.36098	340.98321	109.14254	51.43951	0.33563	0.40512	0.70234	5.20051	5.0	22.15848	5.09067	138.18519	14.72938	29.68801	993.0	226.44425	4421.44538	267.26397	0.7838	0.54631	15.0	2265.65924	4.48589	2.83336	1.65253	16.0964	22.92488
6	636.30687	117.70193	39.73467	24.79197	0.57718	0.19323	0.8404	4.25126	3.0	16.8069	3.42355	44.21388	9.61898	14.78343	969.0	238.57284	757.14735	108.59129	0.9226	0.67809	6.0	396.42058	5.30846	2.62543	2.68303	12.05608	18.74282
7	1386.87379	180.38302	61.09247	31.93207	0.53562	0.32587	0.84242	3.70096	3.0	29.04176	1.7862	74.12501	8.79601	21.43439	1211.0	51.65269	1646.30195	163.65898	0.90729	0.65068	6.0	876.19316	8.22222	3.86175	4.36047	20.24207	22.17398
8	625.73831	125.43336	38.80863	24.96556	0.49978	0.17189	0.76462	5.87062	3.0	19.17354	2.3816	47.07814	16.96889	16.96889	1088.0	204.38689	818.36521	108.67529	0.8664	0.6658	5.0	249.85663	8.01579	4.27501	3.74078	15.28536	20.0516
9	10168.54669	819.38	207.89276	95.66299	0.19033	0.42317	0.60607	4.45619	13.0	17.06654	6.183	285.50494	23.22059	30.48336	1177.0	147.92228	16777.88269	508.07596	0.62007	0.49501	25.0	7487.12442	6.81185	3.7869	3.02495	21.58089	29.24662
10	8500.70882	780.56961	135.0151	129.91456	0.17532	0.00148	0.58278	4.52108	13.0	18.54258	3.0915	280.78556	22.32749	27.68609	1103.0	205.53345	14586.40275	444.68166	0.56969	0.54021	23.0	6132.75392	7.65451	3.89056	3.76394	21.62907	24.35859
11	3808.66851	338.68154	95.43884	62.66828	0.41725	0.15798	0.77614	3.98978	6.0	23.97905	3.72125	120.49502	24.70191	30.36539	1044.0	219.48576	4907.20017	269.83978	0.79674	0.65731	11.0	2760.98556	7.15948	3.57966	3.58417	21.27896	25.52436
12	5472.11943	451.06205	116.18911	70.8375	0.33798	0.2098	0.75245	4.94584	10.0	20.32577	5.44791	139.21838	30.02197	40.49594	1211.0	79.94373	7272.36337	326.85813	0.72464	0.64365	13.0	3762.20674	9.03569	4.92527	4.11041	21.84328	28.86617
13	3721.32836	341.16273	85.6613	72.70673	0.40178	0.02641	0.74502	4.04086	5.0	27.05258	4.55481	133.96813	21.07791	40.11002	1151.0	162.92943	4994.93913	264.59826	0.77558	0.66793	12.0	2701.36295	5.64129	3.27672	2.36457	20.19773	26.58772
14	6595.77634	628.41443	155.77023	84.40509	0.20989	0.29818	0.63692	4.9337	10.0	16.59588	3.48309	201.70906	19.09229	25.57448	1149.0	172.27304	10355.78961	399.23867	0.63531	0.52001	21.0	5110.39563	5.88148	3.10897	2.77252	20.46395	23.79745
15	1354.5699	160.39119	52.10996	35.97276	0.66168	0.12568	0.93465	2.90014	3.0	25.62698	2.6793	57.29076	27.70049	27.70049	949.0	218.0	1449.2881	149.42049	0.9316	0.76241	8.0	1016.77491	3.68689	1.72739	1.95949	15.71304	19.54844
16	6424.68537	589.13664	150.89601	71.04963	0.23261	0.40585	0.6617	5.16269	10.0	28.09551	2.6793	192.79665	24.37688	33.98476	1131.0	192.80301	9709.313	396.18832	0.67249	0.51435	21.0	4869.11349	6.28314	2.95543	3.32771	17.02702	18.45741
17	2209.02773	219.43641	70.46399	42.91591	0.57649	0.21055	0.84902	4.08508	5.0	21.9096	3.92964	85.14867	26.79299	33.05675	785.0	126.40016	2601.85899	195.85751	0.89255	0.72365	9.0	1652.08474	5.7422	2.71853	3.02367	18.17724	20.78093
18	4220.4434	397.78254	102.95267	68.44768	0.33518	0.14972	0.72031	5.59158	7.0	17.23812	5.74135	122.15428	22.18413	31.15625	1224.0	45.44227	5859.16789	290.1007	0.72929	0.63019	15.0	3251.72551	5.84349	3.45991	2.38359	17.5947	23.56046
19	7595.20287	618.6538	150.21263	81.41001	0.24938	0.29803	0.65849	4.81603	10.0	26.2813	3.97429	192.26804	19.83003	37.89101	1081.0	220.79629	11534.28337	407.04894	0.65796	0.57604	21.0	6135.34621	5.71963	3.13757	2.59927	19.03024	23.77522
20	1475.41038	200.76338	65.41048	34.74126	0.46	0.31354	0.80189	4.63307	4.0	23.45917	3.68404	82.4059	22.76966	24.57241	1219.0	45.62894	1839.92588	177.6097	0.88467	0.58775	7.0	852.66317	8.42247	5.05261	3.36986	17.44312	22.55196
21	275.18128	65.25204	23.78258	15.05105	0.81216	0.18323	0.99567	3.71808	0.0	NaN	2.6793	19.51355	8.0379	13.39649	853.0	210.16422	276.37773	62.93655	0.96451	0.87302	4.0	120.24226	4.47895	3.4395	1.03944	11.31377	20.31028
22	9687.37826	789.99748	198.46208	90.63905	0.19506	0.42881	0.63927	4.94779	10.0	30.63001	4.37619	257.15015	28.92595	33.98476	980.0	229.17461	15153.71489	497.64677	0.62993	0.49156	26.0	7580.24736	6.30384	3.48092	2.83682	20.80841	25.02798
