Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	5738.12801	503.48565	117.89821	84.11973	0.28445	0.10583	0.68801	5.00986	8.0	27.12269	2.73512	174.26596	19.27937	33.04469	924.0	208.45383	8340.1864	349.1303	0.69343	0.59157	20.0	4675.88837	4.67787	2.32684	2.35103	16.99934	20.31563
2	6085.09571	499.87607	121.2573	86.30349	0.30602	0.10727	0.74661	5.11073	10.0	21.8483	3.5724	157.55095	23.64607	31.87753	892.0	189.04497	8150.3512	345.97672	0.69212	0.63883	18.0	4976.59371	5.60904	2.99825	2.61078	19.23051	22.12736
3	4889.65238	522.82737	116.03976	87.97951	0.22479	0.07288	0.57347	5.45964	11.0	15.04199	4.26252	166.80926	19.27937	24.04744	1070.0	212.60997	8526.43229	347.27605	0.66423	0.50949	18.0	3623.02084	6.39634	3.54814	2.84821	18.02845	21.81661
4	632.11933	100.47145	33.77776	24.70605	0.78691	0.09177	0.99373	2.80675	3.0	9.86203	6.5494	27.42995	22.48767	22.48767	851.0	177.70763	636.10746	95.55837	0.9511	0.8699	5.0	382.66151	5.00253	3.39137	1.61116	15.12385	25.25758
5	3484.03435	331.1931	104.47671	50.37313	0.39914	0.38783	0.7716	5.42862	8.0	13.00452	4.63295	126.35819	24.37688	27.91561	1036.0	214.85577	4515.36595	261.07027	0.78827	0.64236	13.0	2646.52609	5.77453	2.88864	2.88589	18.95948	24.06139
6	1273.21196	157.16243	55.62623	31.49315	0.64776	0.26475	0.89841	3.67864	3.0	21.79118	4.91205	54.40791	15.36547	23.22059	1058.0	201.32064	1417.18362	145.88062	0.92822	0.75182	6.0	796.82929	6.59654	3.87907	2.71747	19.64158	27.17133
7	1666.64143	203.3978	57.04815	44.34408	0.50624	0.06087	0.81414	4.73775	4.0	23.78479	2.00947	78.1834	24.52368	26.50866	932.0	217.49713	2047.10947	171.28056	0.8421	0.7139	10.0	1198.03562	4.91163	2.51562	2.39601	12.80652	18.61517
8	541.18986	95.13914	34.89717	20.37189	0.75135	0.24173	0.97978	3.03286	0.0	NaN	4.4655	26.58173	13.39649	17.79488	1106.0	194.71774	552.35664	90.64315	0.95274	0.82773	3.0	128.41793	8.72132	7.06279	1.65854	17.54272	35.82205
9	4818.06536	447.45247	113.44852	66.08511	0.3024	0.24334	0.72328	6.11024	10.0	21.31507	3.61705	141.09978	22.76966	30.84751	1194.0	97.3807	6661.38116	310.12107	0.69308	0.62954	20.0	3955.63126	4.74712	2.65559	2.09153	15.13732	18.31573
10	821.15691	115.91573	40.17202	27.22124	0.76798	0.13738	0.95678	2.75291	0.0	NaN	7.59135	27.6598	18.41172	22.59383	1121.0	177.35558	858.24656	109.79698	0.94721	0.85596	5.0	420.14998	5.27553	3.84555	1.42999	17.21655	30.79415
11	1822.97631	217.56045	68.18667	38.57906	0.48398	0.26525	0.78364	6.03303	5.0	22.7657	2.58999	76.44752	24.04744	25.57448	1172.0	107.18209	2326.27889	184.88702	0.84982	0.67016	12.0	1423.76404	3.98284	2.23535	1.7475	13.24626	15.88532
12	1195.84215	159.36344	49.7368	33.16384	0.59171	0.14781	0.85696	5.69394	5.0	14.69607	2.50068	57.89054	22.38101	24.37688	1124.0	175.4537	1395.44828	140.86953	0.88395	0.75727	8.0	817.16877	5.18315	3.26666	1.91649	14.23332	20.15647
13	487.74886	94.85127	32.91301	20.48843	0.68127	0.19486	0.89597	4.71997	3.0	10.20023	4.31665	24.24063	9.98516	14.28959	1190.0	62.88084	544.38037	87.60677	0.92362	0.7986	4.0	142.97462	6.96629	4.29168	2.67461	12.29878	23.04203
14	282.55933	65.90215	20.72395	17.90326	0.81756	0.0211	0.99022	4.15701	4.0	4.32349	4.80041	15.69271	15.97625	16.41944	1035.0	203.44041	285.35103	62.91046	0.9546	0.89717	3.0	44.4677	6.98944	5.31452	1.67492	11.55956	22.18804
15	621.75018	115.34768	36.88562	25.24896	0.58723	0.13095	0.85706	5.40319	4.0	11.09178	3.79567	36.08077	14.86414	15.80055	1081.0	204.72176	725.44168	103.41395	0.89654	0.73058	6.0	308.68162	5.38909	3.95849	1.50503	11.97961	19.82745
16	5871.13229	465.46	115.22706	77.57586	0.34054	0.14154	0.71796	5.53008	7.0	27.28799	5.42239	139.84989	30.02197	44.73529	1171.0	147.96621	8177.47051	338.89316	0.72808	0.6424	18.0	4795.73181	5.4369	2.92437	2.51252	17.01925	23.03858
17	7494.90128	576.75699	121.25315	99.06741	0.28313	0.03975	0.7344	5.69301	10.0	24.04166	4.28688	172.26851	24.37688	38.49663	1218.0	51.27377	10205.43694	380.74617	0.66015	0.64969	22.0	6026.66954	5.62106	3.11984	2.50122	17.49847	22.85267
