Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	7060.99224	615.41416	140.35173	95.93433	0.23428	0.13186	0.63281	4.87412	8.0	27.69346	4.85623	185.37168	22.34535	30.32596	1088.0	205.48236	11158.20228	421.44891	0.68482	0.49956	23.0	5640.0199	4.80653	2.56255	2.24398	18.16155	23.16201
2	360.12855	80.9579	30.5234	15.45071	0.69048	0.35054	0.94062	4.44387	3.0	10.09807	2.977	25.79698	9.10786	13.00373	735.0	109.38007	382.86092	75.40491	0.93141	0.79592	4.0	140.58174	5.47556	3.95719	1.51837	11.97259	21.88411
3	7254.01795	571.03935	143.7624	87.66233	0.27955	0.20969	0.70614	5.0201	11.0	18.22814	5.92693	180.82957	27.70049	33.93779	1076.0	209.22954	10272.83641	391.8793	0.68626	0.59359	19.0	5613.2994	6.24707	3.3036	2.95355	19.83266	25.33202
4	891.14867	124.40562	44.01607	26.30073	0.72357	0.22449	0.95268	3.42772	0.0	NaN	2.90257	44.85854	11.91543	22.32749	991.0	224.0491	935.41696	117.11192	0.94137	0.8165	5.0	455.64437	6.07083	3.61554	2.45529	16.95528	26.56532
5	5165.43188	541.63824	145.14488	74.84255	0.22126	0.33631	0.64265	5.11608	9.0	21.63588	4.41588	180.44105	19.66848	26.37292	1108.0	198.61772	8037.68639	376.77616	0.69562	0.45725	20.0	3835.38901	5.68682	3.13816	2.54866	16.93056	19.03879
6	6899.6722	651.93378	159.14807	77.20809	0.204	0.38312	0.60247	4.95174	11.0	19.67902	4.34371	190.18083	20.61881	30.36539	999.0	225.49501	11452.32721	420.82367	0.6455	0.4896	22.0	5374.41013	5.99707	3.27412	2.72295	17.89625	22.23606
7	5798.14943	658.92535	173.88352	72.96188	0.16781	0.49082	0.56728	5.48245	11.0	21.29538	4.34371	225.18579	16.29754	26.37292	1069.0	212.04716	10220.99066	435.68863	0.66121	0.38384	20.0	3762.40615	7.52258	4.00981	3.51677	21.03727	25.67163
8	1603.23009	181.92623	58.44515	39.07484	0.60872	0.14606	0.87898	4.25105	5.0	13.73424	5.3586	57.67384	21.73005	27.0301	1185.0	114.78676	1823.97334	162.67747	0.89419	0.76129	7.0	1011.59033	6.28023	4.02151	2.25872	18.41459	28.4082
9	1430.74327	181.86276	65.13774	32.25672	0.54361	0.36739	0.82528	3.87989	6.0	9.574	4.24222	68.60774	16.85097	23.28919	1209.0	53.75872	1733.64209	162.8444	0.89542	0.67799	7.0	898.72612	6.30366	3.21363	3.09003	16.80764	20.10511
10	3994.31617	397.39401	133.61193	48.88858	0.31784	0.58347	0.68312	5.66757	8.0	18.00973	6.58661	138.17205	18.75509	28.59314	1197.0	93.35416	5847.20349	306.03258	0.7701	0.53594	14.0	2812.43249	7.04327	3.80161	3.24166	17.73861	21.65566
11	1777.71098	224.46225	85.57137	28.99633	0.44339	0.63045	0.80286	5.28663	6.0	11.96618	3.72125	89.79914	18.83996	21.1723	1095.0	186.62261	2214.21231	196.3696	0.87484	0.57933	12.0	1294.94729	4.27567	2.43354	1.84213	12.95172	16.17848
12	4082.05513	389.64399	109.5428	60.92729	0.33787	0.27823	0.71758	5.80431	9.0	20.26072	5.45783	118.72197	16.96889	33.1892	1181.0	125.80143	5688.67514	287.08179	0.73678	0.62241	14.0	3031.38108	6.76224	3.44388	3.31836	18.53453	23.12806
13	1262.444	167.29299	59.50011	28.38239	0.56685	0.39598	0.8759	5.58048	6.0	12.66555	2.53045	62.3429	20.5607	23.57851	1080.0	182.68552	1441.31183	150.24707	0.89811	0.70276	9.0	895.53562	4.60652	2.33228	2.27424	12.50578	15.68614
14	2731.07455	306.61972	83.06949	58.48477	0.36504	0.11369	0.72658	5.2566	6.0	16.88661	3.79567	107.3864	18.92444	24.29494	1179.0	121.9057	3758.81682	241.76856	0.7885	0.58714	14.0	2175.72681	4.29504	2.37556	1.91948	15.25238	20.66144
15	6053.19064	511.29914	120.44358	84.15458	0.29097	0.11828	0.6753	4.37403	7.0	36.46664	3.5724	153.44995	25.77641	34.49724	1072.0	212.02594	8963.73124	357.58179	0.69936	0.5949	16.0	4702.21005	6.50133	3.68039	2.82094	20.83889	27.68297
