Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	8463.81857	731.40425	166.29615	107.24346	0.19882	0.17019	0.61161	5.54169	14.0	17.19903	5.13532	234.69572	21.58273	32.20116	979.0	220.49943	13838.62752	452.9424	0.61928	0.51843	25.0	6641.44048	5.87094	3.29463	2.57631	20.09006	25.28082
2	674.19415	119.20025	31.39644	30.26174	0.59627	0.00135	0.85921	5.98102	4.0	13.67995	3.5724	39.99682	20.61881	20.84962	925.0	237.52053	784.66547	106.71035	0.89522	0.74402	8.0	477.97793	3.86876	2.32092	1.54784	10.03177	12.96879
3	629.32763	109.79097	38.07555	22.82188	0.65607	0.22221	0.9103	4.46791	3.0	17.00682	2.3816	37.33066	18.77634	18.77634	1111.0	155.56028	691.34313	102.375	0.93245	0.75457	6.0	414.16777	4.49978	2.27164	2.22814	14.02868	15.2055
4	316.65788	76.33917	24.83591	17.14268	0.68282	0.12576	0.94076	5.35226	0.0	NaN	3.34912	22.34608	6.2517	12.50339	841.0	204.9317	336.59856	68.82684	0.90159	0.84001	4.0	95.11701	5.23065	3.64567	1.58498	12.31869	24.65317
5	1052.86752	180.68948	51.38458	35.1969	0.40525	0.13054	0.73877	5.13854	4.0	20.07831	2.79094	70.24071	16.85097	18.64847	901.0	217.8325	1425.15989	150.12387	0.83084	0.58706	7.0	647.67305	5.67083	3.12832	2.54251	17.43382	23.93487
6	766.91828	122.55595	44.27409	24.08241	0.64164	0.29525	0.90324	4.65306	0.0	NaN	3.12585	45.43203	10.7172	17.86199	962.0	213.54859	849.07385	114.18805	0.93172	0.73912	7.0	501.90673	4.54889	3.12821	1.42068	12.91511	19.70644
7	1517.68461	192.36325	62.50619	35.93838	0.5154	0.25312	0.79964	4.69443	5.0	10.5957	3.03654	71.05719	15.18269	22.89194	1095.0	191.79416	1897.95324	168.53058	0.87611	0.67148	9.0	1115.68064	4.83816	2.51192	2.32624	15.84993	18.05245
8	8910.88846	712.36579	165.84363	98.55544	0.22066	0.22851	0.63434	5.38873	13.0	23.1144	4.29375	212.18871	27.51269	34.36983	1148.0	167.19151	14047.40637	449.91216	0.63157	0.55319	23.0	6763.278	7.21742	4.27218	2.94524	19.52252	25.13644
9	2447.91699	257.39089	82.46451	44.35915	0.46432	0.30378	0.79231	4.50728	5.0	13.67558	6.16239	97.05228	23.4428	27.57061	1068.0	211.09477	3089.60784	211.09823	0.82015	0.6903	8.0	1596.84908	8.72403	3.45431	5.26972	22.32028	22.94427
10	298.31247	71.96343	25.58719	15.90842	0.72386	0.19574	0.99667	3.45874	3.0	8.72669	3.42355	24.91703	15.26129	15.26129	991.0	226.60318	299.3095	68.44709	0.95114	0.80015	4.0	128.21853	4.69529	2.88055	1.81474	11.86009	21.30589
