Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	6363.46751	504.98397	129.40725	77.79155	0.31358	0.22007	0.74884	5.00765	9.0	26.37536	3.62202	171.52864	26.86731	35.72398	1004.0	211.85608	8497.71772	353.00468	0.69904	0.64172	18.0	4962.83465	6.14352	3.44088	2.71568	18.57027	22.70825
2	3793.31419	349.58145	92.39824	67.79787	0.39006	0.09003	0.73315	5.22079	6.0	24.14724	4.39107	110.32728	21.6012	32.15159	962.0	224.25655	5174.00637	276.92613	0.79216	0.62159	18.0	3226.79967	3.65046	2.02652	1.62866	13.50229	15.21023
3	280.36586	71.85508	23.99814	15.86447	0.68237	0.15349	0.92867	4.54586	3.0	10.99117	1.33965	27.73641	5.43251	12.50339	723.0	125.08397	301.90179	67.71765	0.94242	0.7683	4.0	92.72413	5.20195	2.94174	2.26021	9.82139	15.7836
4	267.20502	71.13381	23.13248	16.06026	0.66359	0.12216	0.87183	5.4482	3.0	10.43627	1.63735	25.36358	5.3586	11.91543	881.0	260.75467	306.48814	65.8938	0.92634	0.77333	4.0	88.73599	5.50229	3.32755	2.17474	11.10601	17.07228
5	3384.5304	316.58935	76.37492	62.76761	0.42434	0.03753	0.78073	5.9841	8.0	23.51663	3.01421	92.84837	22.32749	39.29638	1028.0	208.38426	4335.10227	239.89398	0.75774	0.73904	11.0	2372.34184	7.84173	4.39168	3.45005	18.08404	24.34593
6	1799.64572	192.64342	56.74915	45.29456	0.60938	0.04916	0.87282	3.75421	3.0	25.67186	7.88905	71.62524	10.1829	28.7045	1075.0	203.89949	2061.86557	175.33828	0.91017	0.7356	7.0	1218.57452	6.86047	3.55836	3.30211	18.45091	22.34611
7	699.3194	131.74853	47.69562	22.70185	0.50628	0.39764	0.77537	5.09575	4.0	10.62607	3.12585	44.85854	11.64459	14.78343	1004.0	169.56415	901.91663	117.6513	0.893	0.63488	6.0	355.5422	5.96826	3.367	2.60126	14.93998	19.61811
8	1645.10551	179.61686	55.84757	40.6008	0.64078	0.09515	0.89286	3.78451	3.0	25.00422	5.3586	70.06888	32.20116	32.20116	944.0	230.20209	1842.51817	165.56052	0.92174	0.75421	8.0	1260.25052	4.99446	2.31457	2.67988	16.56997	18.82628
9	4129.71334	364.79043	117.47299	49.23654	0.38998	0.49162	0.78835	6.21017	11.0	17.59283	2.6793	141.91627	24.03085	33.15313	1053.0	206.90578	5238.41475	291.41228	0.79885	0.6111	17.0	3406.06632	4.84263	2.44218	2.40045	15.25167	17.80206
10	5473.91409	435.66266	99.67854	84.12963	0.36242	0.02822	0.78479	4.86252	10.0	17.01178	5.44791	124.31041	25.54327	35.73515	1178.0	131.83323	6975.04794	315.24183	0.72359	0.69218	14.0	3904.38374	7.62115	4.38973	3.23143	19.14517	24.92593
11	7901.09279	674.94856	158.61217	97.86677	0.21795	0.20118	0.61128	5.10071	10.0	25.8585	3.70636	203.85205	21.6012	33.04469	1205.0	95.93748	12925.54411	429.05272	0.63568	0.53936	28.0	6712.22987	4.19379	2.21567	1.98308	16.98364	18.34408
12	1639.1233	200.35627	54.18477	43.07605	0.51312	0.05085	0.83106	7.31563	7.0	18.40453	2.87068	69.76242	17.79488	29.07722	1102.0	163.36462	1972.33195	166.69147	0.83198	0.7413	11.0	1248.48552	4.72932	2.62899	2.10034	12.74717	15.62047
13	717.46541	124.79414	43.77676	25.2816	0.57893	0.24979	0.86678	4.55957	4.0	10.15244	3.46076	42.82935	14.12114	15.1564	1129.0	147.75994	827.73733	113.83391	0.91217	0.69577	6.0	389.84015	4.68281	3.1131	1.56971	14.66429	21.02718
14	9012.18707	765.32344	154.35111	110.25927	0.19335	0.10514	0.6335	5.10792	14.0	22.90043	3.15775	221.25209	24.29494	32.34944	1195.0	109.39378	14226.07479	444.75212	0.58113	0.57254	31.0	7490.51433	4.76131	2.4999	2.26141	16.51805	19.72727
15	694.93245	115.41115	34.51064	27.9034	0.65563	0.04384	0.87983	4.71483	3.0	16.01595	3.72125	40.05484	20.40493	20.40493	1102.0	175.42805	789.85005	104.26644	0.90343	0.80327	6.0	465.01649	4.648	2.52389	2.12411	14.26762	20.97077
16	2410.22912	236.27066	80.76445	40.06422	0.54256	0.36607	0.86832	4.94166	6.0	16.0869	3.42355	85.93342	21.96735	29.56686	959.0	221.35944	2775.74165	206.95821	0.87594	0.70714	10.0	1795.85699	6.02805	3.46318	2.56487	16.74436	20.61355
17	1146.38928	150.5408	49.81098	32.25241	0.63567	0.16744	0.86011	4.00538	4.0	14.52216	3.90731	56.88909	23.37465	24.13022	1051.0	212.72047	1332.83457	139.23177	0.92488	0.74313	7.0	755.55209	5.59843	2.82223	2.7762	15.80724	17.67785
18	3385.92624	367.05492	140.18409	45.22134	0.31581	0.65852	0.68776	3.84225	3.0	59.73658	2.6793	160.97782	29.07722	29.07722	1036.0	211.32913	4923.15271	317.36469	0.86462	0.42244	14.0	2474.6375	4.78065	2.72935	2.0513	19.39659	24.66555
19	479.77259	90.38577	33.17424	19.07105	0.73798	0.25323	0.96433	3.55174	3.0	6.75552	2.3816	32.35514	9.8241	14.53861	1110.0	162.81585	497.51979	86.34467	0.95529	0.80868	4.0	177.47199	5.98051	3.49084	2.48967	14.41053	23.04197
20	1706.92159	194.58285	61.55515	39.15767	0.56652	0.17962	0.81617	4.81467	5.0	14.61837	3.30447	73.90831	23.23776	28.59314	1113.0	167.7677	2091.37776	171.27425	0.88021	0.73121	10.0	1324.65889	4.50828	2.58246	1.92582	14.72534	17.54193
21	3200.8768	339.45859	106.56349	47.54425	0.34906	0.44619	0.73357	5.28238	8.0	17.18764	3.68404	126.14149	19.7696	24.76641	1154.0	157.18779	4363.41802	264.49278	0.77916	0.57498	14.0	2241.13222	5.55775	3.39396	2.16379	16.14541	21.64215
22	6538.54661	584.90643	201.51022	54.69093	0.24017	0.7444	0.67201	4.98149	8.0	32.76078	4.24222	231.53044	26.79299	30.22057	1145.0	172.36589	9729.85189	452.35808	0.77339	0.40154	22.0	4969.21566	5.67601	3.08772	2.58829	18.80816	22.62116
23	5220.86695	456.24113	114.64533	73.25904	0.31518	0.1765	0.70403	5.44556	8.0	29.67789	5.24696	150.68859	26.86731	34.87665	1191.0	109.68592	7415.73681	329.79827	0.72286	0.60319	21.0	4367.60556	4.03902	2.25034	1.78867	15.12516	19.65042
24	891.54748	163.702	61.92495	25.99786	0.41807	0.49043	0.71025	4.74041	3.0	21.43621	4.31665	60.70448	10.75434	13.6618	957.0	226.37579	1255.26535	143.84773	0.87872	0.54144	8.0	540.99045	4.47556	2.65785	1.81771	14.18225	17.62967
25	2307.53466	224.50713	64.29206	50.27567	0.5753	0.05812	0.85706	4.90347	5.0	21.35207	4.91205	69.2447	25.96141	33.93779	1050.0	209.95476	2692.38964	192.98617	0.8596	0.77858	10.0	1722.87413	5.11487	2.84588	2.26899	16.50877	21.73452
26	254.24358	63.18567	20.67703	16.08535	0.80024	0.0605	1.0	3.39863	3.0	8.00359	2.6793	18.14217	7.36469	13.00373	982.0	227.8991	251.45188	59.69554	0.94476	0.89655	3.0	53.441	6.69086	5.97856	0.71231	11.78588	24.27734
27	6377.22657	527.78205	159.93454	61.93495	0.2877	0.54639	0.7211	5.44131	11.0	21.39677	4.30312	183.08861	26.44842	32.75375	1164.0	156.56309	8843.68839	390.31345	0.73954	0.52604	20.0	5045.58844	5.78686	3.04407	2.74279	17.73352	21.89708
28	1925.07255	230.20938	79.04624	37.9534	0.45647	0.39101	0.78379	4.94466	5.0	14.37736	3.75102	88.72107	16.10058	24.52368	1020.0	219.03424	2456.09267	199.93989	0.86851	0.60514	9.0	1300.73009	5.88105	2.82004	3.06101	17.63006	23.24676
29	784.06725	147.01328	49.75889	26.28955	0.45588	0.31759	0.76558	5.8884	4.0	16.91279	3.34912	52.06681	20.61881	21.47157	1017.0	188.76175	1024.15296	130.23586	0.88588	0.5809	8.0	469.20403	4.15536	2.42606	1.7535	12.81017	16.60078
30	7325.80438	626.30318	140.46341	106.32755	0.23469	0.07368	0.62317	4.95048	12.0	18.04859	4.05616	199.40514	19.64819	31.65153	928.0	208.44184	11755.62484	415.43122	0.66331	0.53342	22.0	5683.49056	6.0821	3.23437	2.84773	19.76967	24.49589
31	3321.91668	337.00369	98.8725	51.46264	0.36756	0.3291	0.74761	5.1974	8.0	18.17815	4.1864	102.97893	24.17975	26.86731	1098.0	204.42113	4443.38012	263.70463	0.7825	0.60029	13.0	2504.3491	5.65478	3.15571	2.49907	18.06966	21.43049
32	9245.49295	721.2628	178.85474	89.92557	0.22333	0.35573	0.64302	4.59215	10.0	20.91077	4.01895	222.87417	23.22059	34.35823	979.0	221.80622	14378.22213	466.00598	0.6461	0.535	26.0	7688.52521	5.07266	2.61038	2.46654	18.29795	20.95645
33	3057.50336	321.99282	85.81215	57.02089	0.37058	0.15008	0.76481	6.14526	8.0	18.48734	5.13532	109.20433	20.06992	29.59382	984.0	232.65425	3997.70608	246.93263	0.76689	0.63012	11.0	1910.91468	8.63028	4.71763	3.91265	17.75429	23.24091
34	1646.50135	208.89104	53.6044	47.82733	0.47417	0.01289	0.78332	4.03602	3.0	37.33066	0.8931	79.42014	7.98813	22.09406	816.0	173.36378	2101.94632	179.46637	0.85914	0.6424	8.0	1160.54716	6.8064	2.65735	4.14905	15.93393	18.90508
35	895.1368	149.1957	40.01828	36.17457	0.50534	0.01013	0.79861	6.00784	4.0	18.52989	4.13059	53.37472	9.8241	18.32487	912.0	214.87438	1120.86522	129.80848	0.87006	0.66756	7.0	545.57681	5.83048	3.60272	2.22776	12.713	17.07887
