Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	13246.38954	919.7431	163.42009	140.22742	0.19678	0.02307	0.67667	4.85049	15.0	23.3109	5.47768	226.40169	25.96141	42.80361	1014.0	226.05751	19575.9579	523.09278	0.56874	0.60834	30.0	10761.18349	5.82983	3.40286	2.42697	19.99234	26.58348
2	10959.39377	845.29848	224.43532	99.7177	0.19274	0.44927	0.58704	4.44662	13.0	22.60909	4.49985	275.41381	25.96141	33.04469	1071.0	212.0283	18668.8567	553.55115	0.65486	0.44945	26.0	8418.55325	6.32735	3.59534	2.74598	21.71644	27.97736
3	2208.82833	222.72094	71.24772	44.52353	0.55956	0.19212	0.84602	5.20268	5.0	20.81883	4.19757	77.44897	24.52368	32.20116	918.0	211.62231	2610.83229	194.4967	0.87328	0.73375	9.0	1368.72778	6.61573	4.19549	2.42024	15.62705	24.08946
4	258.63053	67.45306	25.09352	13.64	0.71431	0.29577	0.96003	4.05061	0.0	NaN	3.34912	19.32858	9.8241	11.29692	891.0	155.54421	269.39849	63.61195	0.94306	0.80318	3.0	46.46177	7.10943	5.32016	1.78928	10.50101	21.3431
5	1220.16977	164.67716	59.01357	28.59755	0.56541	0.38397	0.85437	4.78592	4.0	14.21899	4.35386	51.80522	19.66848	21.6012	900.0	191.95833	1428.15099	147.5051	0.89572	0.70472	7.0	743.58769	6.31246	3.42836	2.88411	15.67576	21.48539
6	1266.83094	152.21095	52.79176	31.79955	0.68713	0.21858	0.91371	3.53237	0.0	NaN	2.90257	54.65634	11.61029	25.54327	861.0	203.64184	1386.47498	143.25069	0.94113	0.77577	5.0	714.67371	8.33493	3.85676	4.47817	21.95667	23.23938
7	9478.00119	687.41477	181.664	88.24206	0.25205	0.38216	0.67298	4.23131	9.0	27.28926	4.86243	236.15142	26.79299	39.79057	1177.0	150.25312	14083.69839	466.513	0.67865	0.54727	23.0	7810.36272	5.68465	2.84001	2.84463	20.33331	23.5493
8	572.29731	106.00187	37.97619	20.8899	0.64004	0.28666	0.88199	5.31086	3.0	15.60552	2.23275	38.22376	8.931	15.18269	830.0	171.84586	648.86949	98.06524	0.92513	0.74783	4.0	163.31411	7.01416	4.86342	2.15074	14.00726	23.98535
9	12113.36051	968.74753	252.48268	83.22785	0.1622	0.64638	0.59447	4.6607	13.0	28.10492	4.49985	304.79634	26.79299	32.34944	997.0	223.2577	20376.57591	594.39347	0.61357	0.43085	33.0	9911.51142	5.1139	2.82382	2.2972	18.66252	23.17801
10	8589.84362	641.30635	176.20019	95.80619	0.26246	0.29553	0.59568	4.02581	9.0	24.3519	5.85476	215.5521	24.37688	42.12742	1008.0	218.24757	14420.29695	470.41435	0.73353	0.48779	23.0	6961.08947	5.03678	2.56573	2.47633	19.91411	25.11629
11	11077.04374	853.33638	184.63334	115.19388	0.19116	0.19326	0.59348	4.31879	11.0	27.90457	4.95264	256.30193	25.96141	32.36177	1190.0	129.31357	18664.46975	510.95971	0.59878	0.53316	26.0	8780.67586	5.92843	3.23245	2.69598	22.42608	28.77653
12	2160.5719	227.90771	83.48054	36.8021	0.52271	0.45503	0.83746	3.89568	3.0	31.66197	6.5494	85.68498	27.91561	27.91561	1139.0	176.52195	2579.92425	205.25631	0.90061	0.64444	9.0	1550.1879	5.55154	3.11344	2.43809	16.94006	22.31224
13	10714.72172	750.81715	203.95526	98.04154	0.23885	0.39012	0.65352	4.65552	9.0	29.65796	6.20208	262.84695	29.58034	37.55269	1172.0	148.1587	16395.42059	500.57193	0.6667	0.53735	25.0	8623.74277	6.39649	3.28012	3.11637	20.48249	25.27778
14	9680.99724	714.66746	151.46383	112.51807	0.23819	0.08339	0.68737	4.79901	10.0	29.86321	5.62653	204.92467	28.7045	43.60668	1011.0	223.66716	14084.0972	449.48492	0.62894	0.60214	23.0	7672.97149	6.34218	3.71599	2.62618	20.04058	25.75284
15	5825.86697	522.68184	170.83834	54.71587	0.26798	0.66248	0.665	4.47663	9.0	22.51961	4.56473	191.51503	24.11369	29.47229	1064.0	218.21778	8760.73519	388.31174	0.74292	0.48552	22.0	4871.10755	4.05037	2.41675	1.63362	16.29933	22.02343
16	1739.22548	188.83573	59.11059	41.65795	0.61291	0.1131	0.86033	4.5104	4.0	15.13453	6.2517	61.98611	23.37465	27.68609	1015.0	226.59435	2021.58541	166.02093	0.87918	0.79294	7.0	1010.19448	7.06185	4.09093	2.97092	17.5887	29.32402
17	1358.55804	171.34367	59.99718	31.94523	0.5815	0.31163	0.86372	4.24851	4.0	10.02629	4.68877	64.83723	19.17566	25.71445	819.0	142.40084	1572.92027	152.96123	0.89272	0.72967	11.0	1123.2581	2.94892	1.81921	1.12971	12.26892	15.65263
