Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	3236.5706	274.27002	102.8712	42.8953	0.54068	0.49528	0.86455	4.0536	4.0	15.80764	8.0379	100.73303	29.09093	33.94953	1025.0	221.75888	3743.66191	246.45157	0.89857	0.66963	12.0	2667.06499	3.98476	2.21956	1.7652	18.08805	21.64414
2	5533.73611	477.41394	143.94536	66.32966	0.3051	0.42212	0.68448	4.32139	7.0	26.12346	4.52929	183.58004	26.64372	30.22057	929.0	203.32486	8084.54698	353.52598	0.7405	0.5564	17.0	4468.90418	5.21617	2.68966	2.52651	20.11196	23.3958
3	3863.30595	371.03443	112.94132	58.4422	0.35265	0.3336	0.69899	4.13014	6.0	18.55479	4.01895	142.88598	22.32749	28.59314	993.0	220.61958	5526.95628	291.31902	0.78515	0.57205	14.0	2913.5317	4.83491	2.39097	2.44394	19.3092	21.22792
4	1149.18097	136.62884	40.91507	37.27174	0.77359	0.00865	0.96468	3.12651	3.0	16.31547	5.0609	42.21642	11.61029	25.02273	998.0	228.77718	1191.25579	129.09314	0.94485	0.86655	6.0	739.79896	4.72587	3.18091	1.54496	17.93205	27.827
5	7756.72232	617.91394	163.40044	91.97896	0.25529	0.26911	0.6464	4.06798	10.0	19.42687	8.5291	201.10928	22.32749	30.69198	1012.0	217.60974	11999.89808	414.08457	0.67013	0.56847	19.0	5664.74633	6.40238	3.63889	2.76349	22.52465	29.80243
6	6101.04825	527.26658	145.73597	72.85269	0.27577	0.36016	0.67914	5.03114	10.0	24.55267	3.34912	167.84245	23.16901	30.36539	1160.0	164.17369	8983.47251	363.25855	0.68895	0.58101	19.0	4707.99285	5.68495	2.75312	2.93485	18.55012	23.93063
7	559.33587	93.56965	33.01246	21.81811	0.80281	0.15365	1.0	2.67507	0.0	NaN	4.4655	26.07171	13.51505	19.27937	996.0	220.65811	558.73765	89.00683	0.95124	0.88723	3.0	93.92057	8.99916	7.08987	1.90929	18.71619	37.91181
8	2025.57354	198.82395	70.1527	39.31894	0.6439	0.2724	0.91119	3.76193	4.0	27.11283	3.90731	67.79125	31.00226	32.59508	1012.0	233.52516	2222.9862	181.89935	0.91488	0.7693	8.0	1507.11605	5.39584	2.93483	2.46101	19.73402	26.62884
9	7645.45336	623.08982	207.2316	63.47472	0.24746	0.68634	0.63911	4.29829	8.0	27.10161	4.4655	218.91099	21.6012	33.36896	1135.0	180.67927	11962.60902	452.45108	0.72614	0.46932	21.0	5935.74007	5.88452	2.91994	2.96457	19.84046	23.9521
10	372.29236	91.17052	30.60156	18.72337	0.56284	0.20723	0.8221	5.12648	3.0	13.84486	2.0839	32.72508	13.60329	13.60329	932.0	225.48171	452.85268	83.03355	0.91075	0.67856	5.0	168.8975	4.65535	2.84348	1.81187	9.64871	14.39384
