Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	10676.43563	810.03419	166.53783	131.70241	0.20447	0.05311	0.63685	4.42486	11.0	21.02613	6.65765	243.98895	22.96152	32.75375	904.0	192.63177	16764.52244	498.53028	0.61544	0.53983	28.0	8722.84791	5.21358	2.65442	2.55915	20.4445	25.2947
2	9377.30079	804.45889	161.69357	122.81006	0.18209	0.072	0.59276	4.83358	14.0	19.7083	4.94394	242.45889	23.37465	29.95547	1136.0	180.82588	15819.73336	483.88192	0.6015	0.50328	23.0	6807.9451	7.56193	3.88805	3.67388	21.8989	25.03523
3	639.29797	114.90658	42.14674	21.67791	0.60845	0.33825	0.87381	4.20535	4.0	5.72525	3.5724	39.96508	14.12114	14.86414	936.0	219.53587	731.62329	105.75923	0.92039	0.71825	5.0	211.17173	5.86764	4.13611	1.73153	12.72962	20.29293
4	837.50826	140.2833	50.47688	24.3587	0.53479	0.38716	0.85262	4.92778	4.0	13.67995	4.01895	53.50166	16.07579	16.29754	1126.0	181.2319	982.27754	127.92193	0.91188	0.64315	6.0	501.10911	6.02598	3.21235	2.81362	15.61519	20.49181
5	12627.23165	1031.20422	219.50473	129.48922	0.14922	0.23395	0.52155	4.61355	14.0	25.3119	4.84826	305.81638	22.32749	31.56321	1022.0	223.97991	24210.96789	595.68012	0.57765	0.44719	33.0	9832.54635	5.91716	3.02871	2.88844	21.17634	25.95478
6	4057.72751	388.61625	95.64312	68.96388	0.33764	0.09977	0.69268	4.86689	8.0	19.69716	2.45602	128.57235	24.26208	29.29585	1136.0	168.58826	5857.97145	285.64281	0.73503	0.62495	13.0	2983.72287	6.31393	3.2804	3.03353	19.15444	23.61379
7	2130.66089	224.78731	74.50398	41.7225	0.52988	0.27304	0.84667	5.08476	5.0	12.86544	8.39514	61.73767	19.66848	23.49378	998.0	219.67704	2516.51291	191.37649	0.85137	0.73105	9.0	1356.16516	6.1982	3.6375	2.5607	17.45053	26.55923
8	613.77391	108.63629	32.69462	26.57802	0.65353	0.0417	0.85216	5.1864	3.0	17.83389	1.7862	40.64148	7.2004	16.07579	885.0	190.0421	720.2571	99.41326	0.9151	0.78042	4.0	189.6358	9.04831	4.54827	4.50004	14.29721	26.39571
9	4422.64182	416.16	127.07071	56.68903	0.3209	0.44625	0.69061	4.91214	7.0	29.76762	3.06206	160.50498	29.25498	35.01361	1049.0	209.11719	6403.94707	333.27932	0.80084	0.50035	18.0	3528.30265	4.57232	2.37568	2.19664	15.41031	19.69065
10	9574.51405	734.25218	158.2523	110.82485	0.22317	0.11689	0.65094	4.62063	11.0	25.72585	5.48038	218.24999	23.49378	36.82344	1013.0	220.09771	14708.63908	450.96908	0.61419	0.59161	22.0	6996.78327	7.61676	4.25099	3.36577	21.33691	28.68033
11	925.24722	136.16914	51.4311	25.06104	0.62706	0.37976	0.90255	3.87148	3.0	15.53329	6.8471	39.60829	16.07579	18.83996	1056.0	221.60776	1025.14999	125.1208	0.91886	0.74269	6.0	466.41234	5.6558	3.88737	1.76843	16.02937	22.7936
12	7482.93688	607.59297	144.31108	94.49146	0.25472	0.15987	0.67155	4.79774	11.0	20.1585	3.89716	190.14909	24.76641	33.55964	913.0	200.10497	11142.84796	420.71202	0.69242	0.53127	20.0	5605.92135	6.8165	3.66835	3.15502	20.28237	24.92816
13	444.07878	93.95817	29.8017	22.47286	0.63212	0.07562	0.86118	4.93777	0.0	NaN	3.79567	29.93743	8.08736	14.12114	1078.0	190.10786	515.6658	85.93266	0.91458	0.75571	5.0	209.97528	5.02109	3.65441	1.36668	13.47415	20.05898
14	630.32467	107.98618	35.49825	24.70393	0.67926	0.12071	0.91121	4.55224	3.0	12.9773	4.91205	29.04433	11.98219	17.06264	892.0	185.22959	691.74194	99.40325	0.92052	0.80163	6.0	407.78676	3.90237	2.65755	1.24482	13.9136	20.39474
15	1626.56068	192.38184	49.51645	44.70294	0.55227	0.01039	0.85782	7.22209	6.0	17.28208	2.6793	69.91565	23.22059	29.15939	784.0	172.94219	1896.15858	157.903	0.82078	0.81978	10.0	1231.53595	4.96828	2.66366	2.30462	13.31609	18.09264
