Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	8974.10039	767.84951	162.72171	113.64879	0.19127	0.11852	0.58893	5.31659	13.0	19.02651	4.3968	240.52716	24.17975	28.49534	935.0	212.657	15238.06394	462.98357	0.60296	0.5261	30.0	7243.05058	4.77155	2.72042	2.05852	18.21316	24.51046
2	8007.77539	712.85497	144.16561	106.0451	0.19802	0.08868	0.63176	5.56767	12.0	21.04848	4.01895	219.09277	22.89194	30.12805	1092.0	210.37585	12675.28867	433.1397	0.60761	0.53637	26.0	6328.77074	5.9889	3.07563	2.91327	18.50836	21.7165
3	11250.727	812.31727	190.81247	96.84165	0.21426	0.34852	0.70523	5.18504	13.0	31.63303	4.49985	240.99004	30.32596	35.73515	873.0	174.02011	15953.33587	487.86698	0.60059	0.594	28.0	9146.98602	5.96045	3.26887	2.69706	18.44205	22.65157
4	359.72974	77.34062	27.51162	17.27125	0.75574	0.18889	0.94599	4.53916	3.0	6.94049	4.91205	19.55843	14.53861	14.53861	977.0	237.87602	380.26863	73.31056	0.94789	0.84111	4.0	158.92716	5.30481	3.20974	2.09507	13.55914	23.5643
5	401.40574	87.11984	27.17307	20.145	0.6646	0.08447	0.9035	5.77922	5.0	8.11932	2.58999	31.57039	14.28959	14.78343	998.0	219.98182	444.27819	79.52808	0.91286	0.79754	5.0	185.64766	5.5285	3.41869	2.10981	11.13412	18.43852
6	1425.95751	185.08381	59.87406	35.20532	0.52309	0.23637	0.82195	4.3765	4.0	16.61619	3.34912	76.09073	16.68448	22.76966	1209.0	61.40033	1734.83853	165.48379	0.8941	0.65434	7.0	923.85137	6.0663	3.153	2.9133	18.48479	26.13033
7	1123.45751	152.93993	47.00812	33.04907	0.60357	0.11454	0.87566	4.81114	5.0	16.40565	3.03654	48.25141	24.04744	25.27645	1091.0	199.42919	1282.98289	137.6236	0.89985	0.74539	7.0	769.11175	5.41436	2.87842	2.53594	15.51774	18.73396
8	8240.88185	767.58023	177.58969	91.31477	0.17577	0.33848	0.60935	5.28829	13.0	22.13468	2.748	273.12529	20.61881	28.59314	1105.0	200.81086	13523.9637	467.40218	0.60893	0.47403	34.0	6905.85381	3.88609	1.98589	1.90552	15.58997	17.49314
9	7620.72693	624.35605	138.77555	95.25181	0.24566	0.12925	0.70016	5.3564	11.0	22.13206	5.07443	181.51367	21.47157	38.02759	1134.0	186.50737	10884.21744	402.42401	0.64454	0.59134	19.0	5576.20974	7.3301	4.18774	3.14236	20.79198	27.87051
10	5424.86004	494.96946	118.80051	79.78023	0.27825	0.14317	0.69427	5.4527	9.0	22.0918	5.20975	148.71197	21.50869	35.42128	1081.0	212.87085	7813.75264	348.78533	0.70466	0.56038	20.0	4434.00801	4.76084	2.44058	2.32026	16.5433	20.74581
