Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	3939.73655	331.79634	98.96395	58.91752	0.44971	0.22718	0.80279	4.2919	8.0	19.85017	3.86824	115.2518	920.0	202.54382	18.0	1.82092	1.56355	0.93978	4907.54714	268.51404	0.80927	0.68666
2	1346.72724	182.05452	53.5504	37.13057	0.51061	0.12295	0.83256	4.55411	5.0	16.94071	3.18837	67.64623	1063.0	203.82591	12.0	1.47281	0.99138	0.93565	1617.57741	157.03784	0.86259	0.68625
3	365.33506	93.30421	32.59526	18.04845	0.52735	0.28163	0.80253	4.36099	0.0	NaN	1.40663	38.51839	935.0	169.78221	7.0	1.50052	0.78835	0.83659	455.22761	83.47303	0.89463	0.65888
4	4653.7961	430.01305	154.49276	48.99699	0.31627	0.66785	0.76266	4.65866	10.0	13.16785	4.34493	165.43008	1088.0	198.84919	25.0	1.63899	1.32552	0.93015	6102.04329	357.191	0.83065	0.45837
5	3736.89205	326.36593	102.52254	52.81498	0.44087	0.33704	0.81103	4.44076	7.0	19.35288	5.44791	120.07925	1017.0	230.61223	17.0	1.87481	1.81007	0.94331	4607.5796	267.8707	0.82077	0.65444
6	448.68109	97.09966	30.13676	22.02183	0.59802	0.0923	0.86316	4.60515	4.0	7.82898	2.57883	32.53485	1066.0	181.78834	6.0	2.47318	1.24842	0.79051	519.81346	87.95377	0.90581	0.72885
7	1758.66963	180.86162	55.36479	41.68065	0.67562	0.07646	0.91482	4.49508	5.0	11.86534	5.93911	54.9061	1075.0	204.86825	12.0	1.55396	0.9564	0.94166	1922.43041	161.77311	0.89446	0.84446
8	2594.47496	234.8928	65.02542	53.55725	0.59091	0.03672	0.87045	5.48678	6.0	21.01851	3.69892	82.21205	1202.0	96.10411	16.0	1.67669	1.32784	0.95063	2980.6221	201.35366	0.85722	0.80416
9	2651.53719	230.71273	65.7714	54.93619	0.62599	0.03172	0.89611	4.56245	5.0	18.02495	5.43898	73.05823	1112.0	195.85198	14.0	1.84272	1.19621	0.927	2958.93063	202.7302	0.87871	0.81072
10	1356.69359	160.44555	48.93728	38.45141	0.66227	0.05597	0.91553	4.16233	5.0	9.61397	4.93884	48.87812	1161.0	139.67462	10.0	1.67886	0.9807	0.9215	1481.85919	144.63903	0.90148	0.81493
11	255.80294	64.02088	21.74277	15.32104	0.78428	0.11318	0.98495	3.31413	3.0	6.74866	3.23004	20.1165	981.0	220.74873	5.0	1.90438	1.1069	0.71849	259.71131	61.02279	0.95317	0.86324
12	4284.25953	351.95346	96.86229	66.84289	0.43463	0.1259	0.79182	4.2841	6.0	24.76339	5.10555	120.82469	1111.0	190.65676	16.0	2.48672	2.21418	0.92916	5410.65231	283.00363	0.80409	0.6722
13	2818.52237	225.54667	70.42945	51.88952	0.69624	0.08781	0.92911	3.82396	6.0	20.8428	3.95941	83.48461	965.0	218.58637	15.0	1.35272	0.86308	0.95757	3033.58054	203.69626	0.90312	0.85362
14	3230.66019	245.382	78.39402	56.51189	0.67424	0.09991	0.89592	3.31604	4.0	23.34732	12.26896	63.49377	1192.0	119.54915	15.0	1.53371	0.89738	0.94402	3605.9616	224.79049	0.91608	0.80342
15	474.37864	97.86351	30.38594	21.8981	0.62243	0.10007	0.87195	5.28095	4.0	11.18792	1.95366	33.09719	767.0	131.65105	8.0	1.69664	0.73008	0.86694	544.04536	88.96402	0.90906	0.75319
16	5339.1291	381.86197	111.20262	70.87844	0.46012	0.17827	0.77906	3.25111	7.0	20.1083	6.56428	135.44034	1018.0	222.14185	17.0	2.25502	1.88601	0.9298	6853.33007	316.05416	0.82767	0.67167
17	1136.26141	134.06052	40.08512	37.12383	0.79449	0.00587	0.98036	2.48961	3.0	13.97514	7.91882	34.6379	1178.0	132.5481	9.0	1.48997	0.49197	0.91659	1159.02768	126.66311	0.94482	0.89
18	528.41188	107.43718	38.87745	18.28412	0.57527	0.40673	0.87395	5.10398	4.0	10.22795	2.10995	41.77372	1119.0	167.29017	7.0	2.15759	0.82897	0.83358	604.62513	97.68748	0.90925	0.69583
19	4426.62198	330.1928	84.51567	72.43861	0.51021	0.0234	0.78832	3.41592	5.0	36.66694	3.75102	118.78829	1123.0	187.13899	14.0	2.29028	1.98352	0.94727	5615.25558	280.16606	0.84849	0.70868
20	4081.0242	307.09832	97.99956	56.46899	0.54378	0.25147	0.85896	4.25089	8.0	20.58471	6.36892	99.1989	1076.0	208.71751	15.0	2.07811	1.68491	0.94445	4751.11455	260.97842	0.84982	0.75296
21	2830.3452	247.11883	78.40811	48.42269	0.58242	0.20053	0.88306	4.58613	5.0	27.22903	3.18837	79.19886	995.0	223.74092	14.0	1.78027	1.47431	0.94155	3205.15806	215.05438	0.87025	0.76905
