Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	2342.97123	219.1747	67.58718	46.65064	0.61291	0.12576	0.89002	4.26608	4.0	22.69763	4.84507	74.14768	1036.0	204.30125	14.0	1.4971	1.21452	0.95542	2632.48387	192.69819	0.8792	0.79291
2	386.04943	84.41855	25.67483	20.36416	0.68073	0.05184	0.90062	4.2463	5.0	6.9927	3.25088	26.48848	828.0	187.78445	6.0	2.19658	0.6886	0.84865	428.65068	78.32002	0.92776	0.79087
3	649.37599	122.10645	47.16603	20.09943	0.5473	0.47973	0.81506	3.38072	3.0	19.8785	1.35453	46.72145	1045.0	209.38481	6.0	2.66065	1.07158	0.81312	796.72161	111.93382	0.91669	0.6513
4	4780.32963	363.10688	128.58182	52.94237	0.45562	0.50423	0.81425	4.59134	8.0	21.98971	5.50931	131.59126	1073.0	210.52553	21.0	1.61328	1.39442	0.95395	5870.8631	307.36978	0.8465	0.63584
5	426.30566	85.40993	26.03149	22.24644	0.73437	0.02429	0.92948	3.47567	4.0	9.41182	3.67287	24.42986	968.0	198.42379	6.0	2.02699	0.52052	0.83566	458.64744	79.95895	0.93618	0.83791
6	4965.00021	334.20816	114.73048	57.42658	0.55859	0.35918	0.88668	4.29619	9.0	23.00093	5.93911	113.27823	1152.0	161.03726	18.0	1.71748	1.71905	0.95604	5599.52438	286.8885	0.85841	0.75806
7	1858.82166	178.36095	62.58285	38.38433	0.73426	0.20548	0.9416	2.93451	3.0	23.57409	5.73072	55.7588	1228.0	42.0	11.0	1.7073	0.70283	0.91873	1974.11863	165.54719	0.92816	0.85232
8	6262.48196	580.4873	134.69113	102.23009	0.23355	0.07235	0.57487	4.24085	12.0	12.65514	3.46448	184.06332	1167.0	146.95237	31.0	1.72751	1.71817	0.93712	10893.80491	411.6572	0.70916	0.46439
9	444.47959	99.46166	31.7569	19.40808	0.56461	0.20806	0.85171	5.63399	5.0	7.14731	1.37537	36.94246	884.0	222.68588	8.0	1.72964	0.77861	0.88481	521.86535	88.80373	0.89284	0.70827
10	557.92008	108.18801	34.60762	23.37905	0.599	0.13934	0.8562	3.93814	5.0	5.64062	2.87578	41.0727	1066.0	161.80853	6.0	2.49289	1.45124	0.8373	651.6233	97.2997	0.89936	0.74056
11	447.21545	91.01806	31.57976	18.98163	0.67838	0.22015	0.91449	4.22236	4.0	10.96689	1.95366	33.18224	1002.0	204.3037	5.0	2.73075	0.98683	0.77147	489.03503	84.76937	0.93135	0.78208
