Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	3492.03256	286.01265	86.97011	56.62134	0.53644	0.16373	0.8255	4.46977	8.0	15.14311	4.18082	99.56511	979.0	218.64126	15.0	2.476	1.69207	0.90428	4230.22629	242.91388	0.84931	0.74368
2	1340.86468	165.17494	57.13387	31.24497	0.6176	0.29113	0.90881	4.24999	6.0	14.37774	2.55278	61.21142	1024.0	217.8807	10.0	1.82932	0.9913	0.91809	1475.41038	149.6473	0.90599	0.75241
3	2142.9603	208.47096	68.50681	41.76278	0.61963	0.20987	0.89475	4.35507	5.0	22.4071	5.06387	71.3122	899.0	179.63018	16.0	1.24409	0.91706	0.95381	2395.05028	186.14685	0.89291	0.77716
4	460.99246	100.11825	33.34734	18.85139	0.57793	0.26589	0.89407	4.68064	4.0	11.41585	1.32849	39.61704	1028.0	216.16892	6.0	1.68001	0.88906	0.90038	515.61196	91.11937	0.91012	0.69772
5	5183.47819	355.19958	115.00325	60.933	0.51628	0.31541	0.85936	4.39323	8.0	22.74416	6.60336	117.72487	1162.0	149.41218	20.0	1.9824	1.38583	0.94383	6031.79031	295.82786	0.83285	0.74431
6	5446.90246	392.18108	111.37561	69.75995	0.44503	0.1905	0.79263	4.39382	7.0	31.93321	3.08119	135.79354	1047.0	217.86005	20.0	2.1275	1.71865	0.93827	6871.89484	311.10883	0.79328	0.70719
7	3721.45399	336.40006	114.13345	50.49848	0.41325	0.45235	0.77926	4.43582	6.0	22.01576	2.24019	131.10319	1037.0	215.98843	18.0	1.80512	1.6694	0.93804	4775.63959	287.05028	0.8533	0.56755
8	2879.88381	240.79129	69.39823	55.08545	0.62417	0.05151	0.8829	4.27341	6.0	23.47603	4.1157	78.73839	1201.0	110.63001	13.0	1.77369	1.50027	0.94446	3261.82945	209.32121	0.86931	0.82596
9	3421.09561	247.76241	76.69575	58.95045	0.70033	0.06617	0.92942	3.87544	5.0	23.76915	6.50177	92.04086	1139.0	173.15889	14.0	1.57711	0.96355	0.95687	3680.90463	224.63626	0.90666	0.85195
10	5692.44592	421.24227	106.1025	79.15528	0.40313	0.08116	0.81538	4.87619	9.0	23.06171	4.09833	143.17911	1039.0	214.82784	18.0	2.75767	2.6258	0.9323	6981.32925	319.28085	0.75795	0.70172
11	5407.81874	495.84121	162.08596	59.00037	0.27641	0.58676	0.64847	5.26237	14.0	16.30075	2.9249	190.76247	1141.0	179.03631	24.0	2.30506	2.22037	0.92892	8339.39077	368.4051	0.74299	0.5007
12	4299.50218	368.05079	123.55788	53.56089	0.39885	0.46734	0.75642	3.7649	6.0	23.12028	3.64682	129.6307	1032.0	220.9208	22.0	1.47991	1.31929	0.95364	5684.04292	304.03967	0.82608	0.58448
13	827.50003	125.75021	43.11306	25.83558	0.6576	0.22237	0.91557	3.86152	3.0	18.48821	3.64682	46.53834	1038.0	205.90046	9.0	1.72527	0.64357	0.89408	903.81099	116.12789	0.92348	0.77109
14	1013.73395	164.97882	50.17152	29.41297	0.46803	0.23858	0.77316	5.37994	7.0	10.0432	1.69689	58.76438	1127.0	157.09551	10.0	2.29635	1.4548	0.89407	1311.16105	137.48156	0.83333	0.67398
15	3308.43679	239.46511	73.53303	58.49929	0.72502	0.05054	0.93394	3.28062	3.0	28.6661	10.21111	61.25585	1039.0	212.337	14.0	1.67064	1.04098	0.94755	3542.45055	217.43537	0.908	0.87937
16	519.12949	95.47009	33.32398	20.58128	0.71573	0.20049	0.91746	4.07756	3.0	11.40908	4.0636	26.68079	963.0	218.08026	5.0	2.67662	1.177	0.7636	565.83454	88.74458	0.92955	0.82833
17	477.60304	100.81926	39.50752	16.03807	0.59046	0.51415	0.89573	4.1241	3.0	14.04358	2.70907	36.82599	991.0	224.91776	6.0	2.46143	1.22164	0.83613	533.19963	93.86333	0.93101	0.68122
18	274.36771	70.62039	25.50882	14.51957	0.69133	0.2607	0.93196	4.09009	3.0	10.19884	1.56292	27.50208	1119.0	182.13731	5.0	2.05499	0.83849	0.78098	294.39811	66.87894	0.94702	0.77084
