Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	776.20265	117.51574	38.67451	26.73025	0.70631	0.12493	0.91785	4.34387	4.0	9.74011	6.56428	32.66433	784.0	103.67738	8.0	1.88868	0.77492	0.88646	845.67396	107.93342	0.91846	0.83728
2	4383.04363	326.1568	85.71954	69.0303	0.51777	0.04546	0.86024	4.91442	9.0	22.82684	4.79297	101.77923	948.0	214.38517	15.0	2.64666	2.22232	0.93337	5095.14899	261.92144	0.80305	0.80287
3	1411.60621	179.23206	51.0999	37.7446	0.55219	0.08644	0.84298	5.64241	7.0	13.88276	3.25981	63.31447	960.0	227.72352	11.0	1.86961	1.49075	0.92912	1674.54193	153.11438	0.85428	0.75664
4	3577.33277	279.47597	79.17764	61.09904	0.57555	0.06429	0.86608	4.20675	6.0	30.92263	3.02165	93.65742	962.0	215.84485	20.0	1.45692	1.03898	0.94089	4130.4651	238.7786	0.85438	0.78846
5	4246.15291	337.9852	117.49433	53.02164	0.4671	0.43774	0.81397	4.05939	9.0	16.817	5.07082	126.41981	1080.0	203.48956	19.0	1.71069	1.44195	0.94908	5216.60164	288.66798	0.85408	0.64034
6	1068.842	150.89028	40.03236	36.95219	0.58993	0.00638	0.86426	5.58132	4.0	21.92728	1.48478	51.74502	920.0	216.52944	11.0	1.8078	0.91373	0.90712	1236.70657	132.85237	0.88046	0.761
7	562.02387	105.66893	31.79331	24.49386	0.63251	0.06506	0.86967	5.23364	4.0	14.50473	1.95366	36.08055	1142.0	122.02869	8.0	1.64644	0.87377	0.89638	646.24929	94.47016	0.89402	0.79136
8	308.46825	73.77765	26.6318	15.28479	0.71215	0.25446	0.95899	3.54952	4.0	5.94562	2.57883	27.84608	1093.0	164.22241	4.0	3.07132	0.71854	0.69686	321.659	69.78726	0.94591	0.79592
9	5849.75789	474.12498	129.04337	76.02152	0.32701	0.23495	0.69206	4.50133	10.0	16.82364	3.43843	165.29521	1166.0	160.82599	24.0	1.94492	1.99217	0.93466	8452.63584	357.59222	0.75422	0.57487
10	1188.24276	141.19634	43.90933	34.93121	0.74898	0.05055	0.94572	3.69118	5.0	12.41543	3.93857	48.54714	1011.0	224.7443	9.0	2.19471	0.77758	0.86276	1256.44385	130.11481	0.92152	0.88199
11	4440.20357	358.73608	86.03101	71.45472	0.43357	0.03369	0.82079	5.40987	11.0	17.73994	4.46144	105.82982	1037.0	225.75429	22.0	1.88349	1.6903	0.94307	5409.67521	270.21191	0.75323	0.76419
12	334.06809	74.95214	24.18695	18.09507	0.74727	0.07969	0.96418	3.40601	3.0	11.27347	1.45873	27.94414	1042.0	193.34425	7.0	1.48732	0.59572	0.83621	346.47717	70.71778	0.94351	0.83944
13	4298.13425	339.02641	86.10905	75.2708	0.46992	0.01788	0.78144	4.29081	7.0	22.39554	3.39378	108.14739	993.0	210.39249	22.0	1.45066	1.07375	0.95638	5500.25173	278.8828	0.8226	0.69446
14	2196.50499	190.95859	57.93525	49.45717	0.75694	0.02462	0.96126	3.03307	3.0	22.83859	6.98106	46.618	1040.0	212.80038	13.0	1.40501	0.57154	0.94537	2285.02961	177.17431	0.92782	0.87931
15	3568.34352	248.35616	77.81779	59.63006	0.72699	0.06765	0.94338	3.27051	5.0	24.85155	7.06442	76.78704	1022.0	210.46852	13.0	1.95544	1.19536	0.94157	3782.5223	225.46309	0.90782	0.88212
16	627.00056	103.4272	34.61268	23.74873	0.73656	0.12948	0.95137	3.43975	4.0	6.36547	3.90731	39.06772	1120.0	169.46386	5.0	3.28309	1.10968	0.68319	659.04921	96.10365	0.92919	0.8531
17	2283.8571	224.90849	73.44754	41.33959	0.56737	0.26919	0.87275	4.46271	7.0	12.79572	5.04601	79.64473	1019.0	210.33782	11.0	2.46447	1.67585	0.92864	2616.85039	194.94986	0.8668	0.75515
18	791.05447	112.68448	34.35531	29.85093	0.78287	0.01949	0.95607	3.07428	5.0	8.63775	7.0019	31.71737	1041.0	202.84477	7.0	1.95024	0.65741	0.88278	827.40232	105.47129	0.93599	0.89361
19	1086.62509	140.84314	52.79128	27.25822	0.68836	0.33527	0.95345	2.59517	4.0	8.22527	6.64243	48.44526	918.0	207.47771	11.0	1.22064	0.42486	0.92411	1139.68124	132.38724	0.93996	0.77911
20	1013.83166	137.73569	42.49847	32.659	0.67156	0.06627	0.90328	3.13092	5.0	15.47952	1.68796	46.58277	983.0	229.80862	8.0	1.94598	0.89263	0.91673	1122.38669	127.67012	0.92692	0.78162
21	2258.6481	248.30634	82.94613	44.00279	0.46034	0.31445	0.74664	4.53444	4.0	31.84494	1.56292	98.75683	982.0	217.09215	14.0	1.69587	1.40901	0.93818	3025.07983	214.30317	0.86306	0.61802
22	331.23452	76.10823	24.18995	18.44897	0.71859	0.06995	0.92572	4.27432	3.0	11.2081	1.56292	26.29236	1135.0	159.96562	5.0	2.43193	0.8523	0.8059	357.81144	71.63541	0.94123	0.81113
23	1033.56894	143.93218	47.67723	29.08918	0.62695	0.20926	0.89865	3.33732	5.0	9.9025	2.62571	52.44603	994.0	229.50817	8.0	2.51196	0.85834	0.76744	1150.13613	132.41227	0.91996	0.74079
