Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	5906.13615	475.15317	140.08792	60.41521	0.32874	0.47108	0.77294	5.1113	12.0	24.15578	3.07375	155.40134	967.0	219.62468	23.0	2.27257	2.47452	0.94105	7641.16013	340.51143	0.71664	0.6401
2	374.1289	75.8807	23.86661	20.14049	0.81652	0.02827	0.98533	3.26655	3.0	7.14756	4.79297	18.11152	906.0	208.63125	9.0	1.00621	0.20785	0.89736	379.69833	71.52842	0.94264	0.91891
3	1045.00093	162.80755	54.06392	29.40799	0.49542	0.29523	0.76366	4.91959	7.0	7.4125	2.32206	62.78736	991.0	234.70833	13.0	1.18843	0.93107	0.95288	1368.4187	142.69334	0.87645	0.64494
4	288.43784	72.91955	25.53961	15.26741	0.68167	0.22416	0.94283	4.43901	3.0	10.9923	1.9797	25.71162	886.0	215.50406	6.0	2.39098	0.85366	0.68835	305.92781	68.64148	0.94133	0.76929
5	3140.96305	269.59353	78.14112	56.74309	0.54307	0.09578	0.84209	4.46813	8.0	19.06478	3.75102	93.38006	978.0	219.28976	14.0	2.13997	1.64697	0.93243	3729.95469	227.18922	0.84271	0.76471
6	3313.32225	255.90263	71.4441	61.61007	0.63581	0.02161	0.88009	3.96791	6.0	20.92018	6.61638	85.11036	1171.0	142.05985	15.0	1.72065	1.12722	0.94597	3764.7392	223.92105	0.87502	0.83039
7	4521.00916	344.02777	96.09766	66.16477	0.48002	0.12731	0.83188	4.19119	8.0	17.38531	4.2199	116.45232	1162.0	152.07893	16.0	2.29153	2.1036	0.94625	5434.68879	275.55501	0.80097	0.74822
8	3008.46925	257.39352	77.70187	52.38116	0.57064	0.14069	0.86099	4.1585	6.0	24.92555	4.1678	90.30784	1133.0	178.26385	12.0	2.29502	1.66131	0.9315	3494.18216	221.00122	0.85861	0.77404
9	5787.61477	439.66256	143.52625	60.69434	0.37624	0.48525	0.75238	4.35746	9.0	18.91571	4.86243	171.90011	1168.0	140.53469	22.0	1.828	1.91203	0.94773	7692.45751	352.27374	0.80124	0.58607
10	1065.32446	160.14216	51.53609	30.40405	0.52201	0.23389	0.77607	4.14274	6.0	11.93376	2.55278	57.19764	1129.0	172.98266	9.0	1.83007	1.24177	0.91314	1372.71791	140.86001	0.87959	0.67471
11	4877.55038	357.70026	116.53093	60.64713	0.47904	0.32918	0.80502	3.83147	6.0	23.5451	4.63668	130.35393	1008.0	217.782	21.0	1.44171	1.46591	0.95551	6058.95349	302.24269	0.84496	0.67097
12	551.08043	92.54037	31.74436	22.42623	0.80865	0.11165	0.98653	3.0367	3.0	12.84687	2.70907	28.95774	1074.0	206.45096	9.0	1.25137	0.2051	0.90213	558.60405	88.62052	0.95764	0.88177
13	1289.27417	165.81851	61.86629	28.25873	0.58924	0.4287	0.87657	3.58985	5.0	9.22446	4.62626	62.0105	1131.0	186.6628	9.0	2.20217	1.42032	0.88458	1470.81804	151.49351	0.91361	0.70594
14	801.99791	120.06624	40.28503	26.48233	0.6991	0.15722	0.9236	3.29546	5.0	11.00343	2.62571	40.93403	887.0	199.07536	8.0	1.934	0.62495	0.83285	868.34252	111.61569	0.92962	0.80897
15	3907.10165	314.23414	85.9968	66.12705	0.49723	0.06597	0.81022	4.43106	7.0	25.35809	2.63464	110.24505	932.0	209.90236	16.0	1.95465	1.9097	0.95348	4822.24692	261.63939	0.83263	0.71723
16	1520.55208	169.58254	57.29436	36.13785	0.66443	0.18558	0.91423	3.34111	3.0	22.29106	4.1678	60.18862	1041.0	214.08176	9.0	2.13737	1.0409	0.85625	1663.20765	154.82154	0.91296	0.79717
17	424.15606	88.58021	31.69526	17.51987	0.6793	0.28295	0.93135	3.64424	4.0	7.86691	3.12585	34.6471	890.0	217.77282	4.0	2.92397	0.5766	0.71896	455.42303	83.11284	0.93828	0.77161
18	1415.12374	185.30827	70.39318	28.10654	0.51786	0.52562	0.84086	4.17697	6.0	12.13845	4.1157	68.15112	799.0	100.23971	9.0	2.39714	1.58485	0.8541	1682.94493	164.90074	0.88987	0.65397
