Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	4796.45167	402.59444	121.39276	56.87743	0.37187	0.40957	0.77313	5.17878	12.0	18.54017	2.91746	150.32795	936.0	214.41082	21.0	2.03425	2.14675	0.94689	6203.95409	311.21356	0.77302	0.62232
2	5157.68294	381.9248	102.82621	70.98013	0.44433	0.12571	0.82016	4.80591	10.0	26.70138	4.25115	118.69023	956.0	217.66488	20.0	2.22815	2.05655	0.94607	6288.66805	297.52482	0.77901	0.73218
3	1640.73451	202.16182	69.17548	32.55118	0.50449	0.40632	0.84301	4.79907	6.0	16.92528	1.87551	74.33999	1067.0	220.5017	12.0	1.92482	1.53257	0.92723	1946.27148	173.39437	0.8577	0.68577
4	548.93083	125.2139	38.69774	21.65623	0.43997	0.27355	0.82351	5.74408	6.0	7.97742	1.45873	48.54332	969.0	197.35248	7.0	2.16203	1.40418	0.81755	666.57282	103.25035	0.82459	0.64706
5	4100.46835	358.0979	92.97697	65.07989	0.40183	0.11719	0.75718	4.83566	10.0	18.16185	3.28214	135.05572	1178.0	136.7845	19.0	2.111	1.81696	0.93409	5415.44006	280.14358	0.78231	0.65657
6	328.88949	69.71786	21.73844	19.53492	0.8503	0.01134	0.98942	2.90792	3.0	9.54711	2.29229	21.81811	1085.0	168.27062	5.0	2.30005	0.27392	0.71658	332.40703	66.88328	0.95934	0.9239
7	2476.05129	219.42064	59.26351	56.20919	0.64627	0.00279	0.89699	3.94733	5.0	27.02523	3.62598	69.42749	946.0	207.67041	11.0	2.48593	1.39111	0.91808	2760.38534	195.34747	0.89029	0.81537
8	2428.17373	251.89266	78.86731	47.03371	0.4809	0.22592	0.79628	5.13657	6.0	14.57719	2.60487	92.35345	1103.0	185.52089	15.0	1.9387	1.43056	0.92045	3049.40944	212.99055	0.84556	0.67262
9	3905.92914	312.25137	88.9748	62.23239	0.50341	0.11764	0.82591	4.59367	8.0	23.4877	2.50068	113.71109	1132.0	184.72683	16.0	1.97914	1.86679	0.95074	4729.22767	256.13806	0.82029	0.74815
10	762.62106	120.82469	36.68068	28.32361	0.65646	0.06398	0.88734	4.499	4.0	15.42678	2.57883	41.30944	1151.0	144.7446	8.0	2.00119	0.95698	0.90019	859.45097	110.38992	0.91364	0.78643
11	364.16255	79.68916	24.96279	19.97137	0.72062	0.04816	0.92943	4.13605	0.0	NaN	1.56292	29.60131	1119.0	164.36849	6.0	1.79998	0.58534	0.80628	391.81428	74.22745	0.93146	0.83057
12	4748.08557	397.90186	126.87268	56.85919	0.37686	0.44288	0.78142	4.91004	9.0	17.0963	3.12585	146.78606	1206.0	87.1493	18.0	2.40574	2.37499	0.93758	6076.24804	311.41832	0.78265	0.61523
13	5939.45502	410.87873	141.97463	57.48382	0.44211	0.51597	0.84069	4.62668	9.0	19.62617	5.17502	134.26584	1112.0	193.3727	21.0	2.10144	1.74821	0.94051	7064.96841	335.66352	0.81694	0.66244
14	459.72224	87.46855	31.24157	19.30629	0.75509	0.20008	0.96711	3.53214	0.0	NaN	6.2517	15.43693	1046.0	214.11679	6.0	1.95325	0.81155	0.82806	475.35573	82.92145	0.94801	0.84018
15	1009.43474	140.84314	42.72341	31.91636	0.63946	0.08045	0.88792	4.84923	6.0	9.6905	4.79297	43.34966	1153.0	150.36622	10.0	1.54891	1.04047	0.92731	1136.84767	126.50929	0.89823	0.79258
16	663.44612	112.899	33.79321	27.20895	0.65409	0.04553	0.90377	4.5911	5.0	9.4209	1.93803	38.16519	916.0	215.64091	9.0	1.41308	0.51644	0.92135	734.08995	104.02442	0.92139	0.77045
17	1054.67415	154.19924	44.91662	32.57453	0.5574	0.09651	0.8522	5.09498	6.0	16.69965	3.69892	49.89172	1168.0	125.29166	8.0	3.05574	1.60535	0.84779	1237.58595	133.35639	0.86483	0.74525
18	3370.09135	288.04524	95.56734	46.67517	0.51042	0.37799	0.87017	4.69447	6.0	16.84177	3.59473	107.39275	963.0	218.98173	16.0	2.17005	1.55156	0.93158	3872.9034	246.83999	0.85695	0.69506
19	524.21038	106.90626	34.77292	22.07632	0.57638	0.18101	0.85881	5.07158	6.0	4.58738	2.70907	39.48756	1024.0	194.62528	7.0	1.83974	0.85896	0.86952	610.38998	95.88875	0.89694	0.71644
20	1918.52204	197.63394	64.30298	40.11063	0.61724	0.19341	0.87089	4.44595	4.0	19.526	2.50068	76.08602	1116.0	193.24078	14.0	1.35677	1.12501	0.94744	2202.9538	175.93356	0.8902	0.7789
21	2827.60934	269.70079	76.79079	54.33794	0.4885	0.11069	0.80375	4.53712	7.0	9.33715	5.22463	99.16367	1049.0	221.65739	13.0	2.14109	1.70848	0.93027	3518.02323	229.19622	0.84982	0.67642
22	630.81122	104.31133	35.8473	23.61718	0.72853	0.15575	0.93987	3.20761	0.0	NaN	2.18809	37.14778	1150.0	163.79255	7.0	1.78418	0.59686	0.85161	671.16516	98.27199	0.9421	0.82082
23	2745.43582	236.70547	78.79528	47.63428	0.61575	0.21595	0.89138	3.81687	4.0	27.30461	3.51658	91.10692	1046.0	209.38243	14.0	1.55891	1.14213	0.94939	3079.99245	212.55217	0.89796	0.76364
