Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	2965.47716	281.1944	89.42243	47.81508	0.47129	0.30837	0.82464	4.49477	6.0	27.01009	4.1678	114.17537	1030.0	221.06108	20.0	1.3005	1.08203	0.95667	3596.09296	237.36006	0.84411	0.66144
2	2446.93392	244.11865	77.27921	46.63442	0.51598	0.21726	0.83452	5.16674	5.0	16.32994	4.68877	95.98419	1016.0	222.07656	14.0	2.0431	1.52898	0.92605	2932.15829	209.14226	0.85672	0.70299
3	1243.15538	163.86716	55.69642	30.83032	0.58177	0.28187	0.85897	4.53392	5.0	11.29012	3.37592	62.84099	933.0	219.77261	11.0	1.81476	1.0626	0.91284	1447.2701	146.28358	0.8927	0.73004
4	440.76664	91.38427	26.88101	23.12271	0.66325	0.02234	0.86285	3.74479	3.0	12.35424	3.64682	35.55344	917.0	219.52904	4.0	3.92634	2.0455	0.6329	510.8242	83.36725	0.91227	0.79694
5	1029.36744	141.24077	50.04765	27.29903	0.64843	0.29311	0.91362	3.39347	0.0	NaN	1.71922	52.54409	792.0	94.34511	7.0	2.77351	0.91268	0.83056	1126.6859	129.59485	0.91755	0.7702
6	2470.28644	252.53623	71.70255	49.42969	0.48675	0.12654	0.82379	5.50721	8.0	16.54467	2.53975	85.49879	1168.0	129.63796	15.0	1.8427	1.52869	0.9398	2998.69832	206.47133	0.81759	0.72818
7	3645.72928	285.98123	93.1461	52.65286	0.56017	0.26593	0.87453	4.35727	5.0	18.12669	5.50149	97.80068	1039.0	204.02696	16.0	1.83164	1.49958	0.9554	4168.76715	245.57496	0.85871	0.75967
8	2683.09729	297.26031	79.21141	53.08738	0.38157	0.14448	0.70597	4.90379	7.0	19.02203	3.84033	103.08859	1097.0	197.93181	18.0	1.74527	1.43264	0.93358	3800.59852	235.92692	0.79367	0.60575
9	593.29085	98.50169	32.73106	24.13424	0.7684	0.08738	0.95397	3.2892	4.0	8.88606	3.90731	30.70377	1020.0	205.69638	6.0	2.47284	0.74139	0.78541	621.91967	92.87076	0.94283	0.86441
10	2342.18955	192.53834	56.94558	53.02283	0.79396	0.00508	0.95719	2.9767	4.0	20.94604	7.65833	52.00397	1038.0	220.6649	11.0	1.63783	0.76087	0.93709	2446.93392	178.9056	0.92919	0.91957
11	2913.88665	324.32572	100.59125	50.50363	0.34811	0.35683	0.68208	5.13953	11.0	13.76507	3.69418	123.96895	1174.0	148.88922	16.0	2.42537	2.0978	0.91674	4272.04587	250.8677	0.77351	0.58183
12	3654.81625	305.41893	94.49672	54.13497	0.49236	0.25584	0.85149	5.35414	8.0	16.08594	7.18945	102.02136	1166.0	150.86418	18.0	1.95337	1.61202	0.94022	4292.2717	244.63053	0.80097	0.76746
13	2407.55707	207.87721	62.64795	49.82991	0.70012	0.05062	0.9224	3.63047	4.0	21.8769	7.2676	54.47323	1114.0	194.79733	12.0	1.80122	1.16629	0.94562	2610.10844	187.29072	0.90097	0.86249
14	2908.70806	303.39712	84.71018	54.27399	0.39709	0.17467	0.77226	4.89602	7.0	21.10263	4.91205	93.85354	992.0	225.76536	16.0	2.19939	1.85448	0.9226	3766.49797	237.35631	0.78233	0.6488
15	3218.64194	314.06405	86.04364	57.35673	0.41006	0.14799	0.77295	4.80984	8.0	17.03366	4.25897	100.84687	951.0	208.63365	19.0	1.62276	1.60527	0.94196	4164.0771	249.65609	0.79492	0.64893
16	1236.31573	175.20907	58.57348	28.92265	0.50609	0.3696	0.85068	4.99479	6.0	14.65611	3.23004	63.3865	1007.0	232.10989	11.0	2.13476	1.35018	0.88999	1453.32808	147.55902	0.84219	0.71352
17	1093.75787	153.17644	50.59191	30.41641	0.5858	0.21998	0.83693	4.09071	3.0	23.73064	2.81326	54.87087	1006.0	204.54584	10.0	1.79155	0.88713	0.91156	1306.86184	137.13118	0.89525	0.7309
18	1112.32263	176.86467	69.63578	24.712	0.44685	0.60264	0.79325	4.30826	4.0	20.6099	3.59473	73.49109	1082.0	202.53148	13.0	1.31999	1.12409	0.91857	1402.22612	158.30827	0.89508	0.55774
19	1545.76107	163.69706	48.62216	41.68486	0.72489	0.02333	0.93328	3.30603	3.0	25.11173	3.02165	52.29815	895.0	183.49387	10.0	1.70063	0.89179	0.93502	1656.27029	149.00477	0.91025	0.87489
20	455.91158	98.36301	36.46928	17.0125	0.59214	0.41288	0.86136	4.22459	3.0	15.32227	1.45873	38.12996	1060.0	234.19223	6.0	1.60739	1.18681	0.89777	529.29126	92.08387	0.93616	0.67565
21	1658.32218	180.1476	62.90861	35.824	0.64213	0.26035	0.90701	3.1473	0.0	NaN	6.56428	58.87164	883.0	180.46052	9.0	2.52825	1.1612	0.86979	1828.33636	164.92904	0.91552	0.7661
