Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	600.91218	127.76439	46.23607	19.50918	0.4626	0.48684	0.80256	4.94059	4.0	14.56717	1.79736	50.09705	883.0	201.23121	7.0	2.46286	1.45866	0.81724	748.74634	110.73053	0.86668	0.61587
2	4764.79386	424.09615	137.28542	66.31256	0.33291	0.38644	0.66306	4.64806	7.0	17.29689	6.87687	152.86385	1127.0	186.76723	22.0	1.98821	1.75068	0.93811	7186.03023	329.02503	0.77583	0.55309
3	6511.73837	539.53487	120.35974	96.21032	0.2811	0.04852	0.64167	4.89288	14.0	12.56145	2.74628	179.96449	1071.0	218.72357	32.0	1.49784	1.84926	0.95931	10148.18527	384.29478	0.71227	0.55409
4	4194.17156	367.89371	98.52006	63.9054	0.38941	0.16622	0.77614	4.43748	8.0	19.3452	3.55565	114.98364	1021.0	218.69614	16.0	2.36601	2.47589	0.92755	5403.91037	275.61119	0.74916	0.69384
5	1668.38624	185.21941	53.93685	41.18198	0.61113	0.06941	0.88747	5.14385	6.0	16.58218	2.86536	63.14056	1111.0	187.12563	11.0	2.15576	1.22495	0.90348	1879.92687	159.29685	0.86004	0.82621
6	835.31678	122.89632	44.66484	24.85017	0.695	0.27799	0.92934	3.35604	3.0	20.19235	1.25034	48.3288	1033.0	220.14541	7.0	2.28176	1.0964	0.82396	898.82782	114.1028	0.92845	0.80625
7	1292.98712	161.07611	53.94784	32.02375	0.62624	0.22933	0.9055	3.96744	5.0	14.22766	5.68904	55.17044	1216.0	57.63679	9.0	2.40402	0.92768	0.85491	1427.92366	146.22009	0.90777	0.75996
8	3480.01431	302.59647	99.72006	48.98089	0.4776	0.37364	0.82613	4.48717	6.0	18.61768	5.31394	112.46995	1098.0	197.29927	15.0	2.44115	1.79638	0.91737	4212.4432	253.49561	0.83773	0.68053
9	259.51589	70.02663	21.39842	17.09977	0.66504	0.04865	0.91586	4.33381	3.0	10.53237	1.66712	23.60857	1183.0	84.10113	5.0	1.76799	0.76604	0.8381	283.35696	65.47975	0.93507	0.76061
10	2422.40889	244.56071	82.82421	40.89224	0.50896	0.36969	0.83785	3.96568	6.0	19.76357	2.91746	95.07246	1224.0	44.31704	13.0	2.16267	1.90169	0.9159	2891.21809	213.97797	0.87495	0.66484
11	2693.7476	261.59961	88.30373	42.04274	0.49464	0.39742	0.79936	4.76326	5.0	18.29018	3.18837	103.97653	1202.0	108.34667	17.0	1.67403	1.1311	0.95034	3369.89594	226.72733	0.8667	0.6585
12	3290.06744	297.80964	88.29688	52.16676	0.46616	0.23282	0.80476	4.88937	9.0	15.63817	4.09833	106.07576	1224.0	53.19774	14.0	2.38482	2.39589	0.93487	4088.25469	242.94402	0.81577	0.70049
13	1755.83606	191.27499	64.53531	36.43427	0.60308	0.26688	0.8915	4.74526	4.0	22.32911	3.82916	62.96666	974.0	220.02727	13.0	1.70838	1.01062	0.93706	1969.52629	169.52449	0.88629	0.76777
14	3884.23767	373.36092	98.96349	69.6743	0.35015	0.1137	0.71716	4.60874	7.0	20.31997	4.33153	131.45258	1214.0	75.93418	20.0	1.89966	1.85666	0.93676	5416.12403	295.2318	0.79074	0.56
15	373.54264	89.32566	31.06898	16.71223	0.5883	0.3038	0.8821	4.91607	3.0	13.30681	2.18809	35.13359	800.0	122.27019	6.0	1.82449	1.33221	0.83809	423.47209	81.05656	0.90743	0.71445
16	660.71026	109.33109	38.48368	22.81048	0.6946	0.23042	0.93269	3.83982	3.0	15.67801	2.91746	38.05412	1090.0	175.20559	9.0	1.31217	0.4096	0.89559	708.3924	101.8574	0.93164	0.80027
17	3879.2545	337.68182	79.70685	71.62756	0.42751	0.01134	0.79461	4.94132	10.0	17.88106	3.93857	109.72333	990.0	226.10617	18.0	1.98038	1.98417	0.94313	4881.9473	259.7766	0.76929	0.72237
18	3849.844	318.51608	93.24299	57.02167	0.47686	0.2076	0.82591	4.79728	7.0	22.08241	3.66171	103.9229	993.0	219.22591	18.0	2.13189	1.71974	0.93028	4661.31971	259.35323	0.81425	0.71923
19	261.07924	73.19691	28.02253	12.35811	0.61235	0.45476	0.90118	4.1919	3.0	12.16066	0.83356	30.68156	945.0	221.36395	6.0	1.79846	0.85153	0.84319	289.70806	68.47781	0.93553	0.69965
20	3568.63665	290.23175	82.90184	59.7556	0.53238	0.09997	0.85912	4.45819	8.0	15.56114	5.62653	87.79796	1098.0	201.40755	15.0	2.16786	1.48054	0.92958	4153.81762	242.44347	0.83534	0.76294
21	2132.99395	212.2718	57.39392	50.2293	0.59486	0.01757	0.85941	4.62149	7.0	15.49932	3.97429	72.31279	1192.0	103.97596	13.0	2.01753	1.2807	0.93037	2481.91385	182.4396	0.85946	0.80531
22	2089.61102	199.35237	71.98435	38.04374	0.66074	0.31735	0.92717	3.57546	4.0	14.31052	4.2199	75.7106	993.0	221.03846	14.0	1.20159	0.83667	0.95712	2253.76264	182.03962	0.91316	0.7924
23	1149.54988	156.62407	45.72974	34.0843	0.58887	0.08164	0.86948	5.3192	6.0	14.49521	3.02165	50.17289	1026.0	209.63778	8.0	2.69804	1.54555	0.88942	1322.10449	136.84394	0.87371	0.77141
24	598.76257	110.63887	37.9623	21.5836	0.61468	0.26156	0.89525	4.91417	5.0	8.84415	2.5632	37.14778	1033.0	219.8272	8.0	1.58262	0.90581	0.89164	668.82014	101.16377	0.91436	0.73522
