Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	324.10174	82.61889	33.37835	13.28625	0.59667	0.52774	0.87635	4.45423	4.0	3.0454	3.43843	28.86888	8.68514	10.00272	851.0	178.22458	369.82969	76.25645	0.92299	0.70039	5.0	112.75653	4.83454	3.64067	1.19387	8.56656	20.39723
2	1328.84644	255.12577	69.32718	35.53023	0.25655	0.34101	0.65193	5.39882	7.0	11.59475	3.66171	81.2927	6.15721	13.83872	938.0	199.85745	2038.31364	172.87708	0.67762	0.55874	17.0	1016.3721	2.60575	1.66815	0.94044	9.96634	18.82673
3	587.42829	111.69309	40.58455	19.93085	0.59171	0.37378	0.87435	4.69637	0.0	NaN	3.12585	39.44314	11.13083	14.43316	843.0	172.44129	671.84912	101.23117	0.90633	0.72034	8.0	392.88908	3.02839	1.79372	1.23466	10.22432	21.09415
4	1408.47951	219.92014	55.25164	44.50528	0.36596	0.04536	0.74565	5.08781	8.0	10.3965	3.24307	77.70258	13.46657	18.12992	1033.0	208.62646	1888.91612	165.31047	0.75168	0.64768	9.0	878.50429	6.03273	3.0231	3.00963	16.05358	29.58006
5	259.41818	67.03407	24.26827	14.42934	0.72547	0.22813	0.94216	3.90009	0.0	NaN	2.50068	20.97841	8.12721	11.94385	819.0	138.58571	275.3448	63.06862	0.94084	0.81957	4.0	96.43908	4.68002	3.17601	1.50401	11.08717	28.08908
6	254.92356	81.81061	34.24368	10.42595	0.47863	0.68945	0.85485	4.50263	3.0	11.14273	2.29229	28.71719	5.89784	8.12721	971.0	212.81917	298.20877	74.89681	0.91549	0.57108	4.0	81.9781	5.88255	3.67784	2.20472	9.64198	23.57992
7	1171.43676	218.90273	61.80699	38.12444	0.3072	0.2014	0.63253	5.50176	9.0	6.16665	2.36175	84.22624	9.37755	16.61117	906.0	198.99246	1851.98201	168.47566	0.76964	0.51863	13.0	790.56592	3.79917	2.19916	1.60001	10.90411	20.68609
8	1017.05607	166.6398	46.6394	32.95683	0.46025	0.11151	0.80853	5.72946	6.0	11.17451	4.27199	53.16006	13.76794	18.75509	965.0	220.11815	1257.90949	132.93073	0.79771	0.72328	9.0	665.88886	4.68317	2.73378	1.94939	11.94507	23.94923
9	1139.58353	172.44405	49.73386	34.67549	0.48157	0.11957	0.81123	5.38425	5.0	15.71106	3.06333	60.18481	14.63485	19.73993	1158.0	156.97452	1404.76656	142.56136	0.82671	0.70462	10.0	803.95209	4.01877	2.17837	1.84039	11.96581	21.38896
10	2169.53723	302.52601	82.62916	43.50275	0.29789	0.32029	0.70549	5.69027	8.0	15.03279	3.75102	94.77447	17.07526	20.19985	1067.0	185.91127	3075.2047	211.29845	0.69845	0.61064	18.0	1657.24738	3.70211	2.2496	1.4525	11.05796	19.34769
11	487.86252	100.30136	36.6362	17.97416	0.60939	0.37454	0.87275	5.08142	3.0	11.607	3.64682	30.73519	10.47975	13.14344	1075.0	206.73413	558.99489	91.02092	0.90747	0.73999	5.0	225.41535	5.90712	3.21909	2.68803	12.50451	26.08137
12	1069.72138	167.15771	51.09721	30.30247	0.48109	0.23004	0.80217	5.76876	6.0	12.12274	2.44858	59.91665	14.26976	18.80712	1145.0	160.71092	1333.53648	137.24095	0.82103	0.7137	10.0	768.2882	3.71664	2.10489	1.61175	11.72226	22.73957
13	251.2106	61.50179	20.29789	15.90035	0.83459	0.05733	0.98506	3.33593	0.0	NaN	4.2199	12.88262	10.91812	14.58134	1082.0	162.81278	255.02126	58.51002	0.95135	0.92212	7.0	183.40035	1.74796	1.25387	0.49408	7.32259	17.53191
14	1149.35446	176.40959	56.04261	31.30782	0.46411	0.27489	0.79431	5.09596	6.0	12.57004	3.12585	58.62189	16.87958	18.20522	940.0	216.04861	1446.97698	147.72295	0.83739	0.66186	12.0	894.23548	3.03	1.68943	1.34057	10.92211	18.97689
15	1323.37472	250.20025	72.82809	36.29125	0.26565	0.36259	0.58379	5.45051	8.0	6.5005	2.42253	86.61584	6.87687	14.71475	990.0	229.50817	2266.85568	190.28031	0.76051	0.45931	13.0	902.63848	4.58069	2.78705	1.79364	11.3798	20.49983
16	522.84245	116.20796	37.94274	22.18473	0.48653	0.24056	0.79486	5.36999	6.0	5.78192	3.07375	45.16772	11.25306	12.65872	1076.0	182.32663	657.77899	101.11683	0.87014	0.64259	9.0	359.27708	3.06081	1.77045	1.29036	9.29916	16.07545
17	292.34622	70.34303	24.72077	15.87549	0.74245	0.17307	0.95591	3.30813	3.0	8.4546	3.02165	22.23795	14.91262	14.91262	1044.0	214.99767	305.8301	66.89492	0.95098	0.82096	5.0	144.41434	4.10728	2.5244	1.58288	9.34251	20.31725
