Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	790.27279	140.36966	45.70853	25.16228	0.50401	0.28608	0.81352	5.14938	5.0	9.10755	3.75102	45.90397	10.91812	16.25441	955.0	211.58922	971.42583	120.33273	0.85726	0.68583	7.0	454.0551	5.34507	3.01833	2.32675	13.57574	26.49936
2	1120.23709	185.80015	66.31762	24.9234	0.40778	0.56623	0.78711	5.4029	6.0	12.37365	3.12585	70.9958	13.75373	16.25441	849.0	184.24712	1423.23362	155.5715	0.83731	0.58165	11.0	791.4453	4.15445	2.04827	2.10618	11.59048	18.05853
3	857.30137	146.40683	37.95128	34.52595	0.5026	0.00889	0.79887	5.77461	5.0	15.86091	2.43816	49.26655	18.20522	19.38026	1063.0	216.77869	1073.14121	122.60184	0.83741	0.71672	8.0	537.88968	4.96519	2.84943	2.11576	12.46864	23.75515
4	970.15561	164.13912	47.93285	30.32307	0.45251	0.1835	0.78933	5.53553	6.0	10.15874	2.29229	55.54967	12.45642	17.54935	1118.0	181.67829	1229.08524	130.65536	0.796	0.71416	9.0	586.35349	5.227	3.05102	2.17598	11.40135	22.99319
5	640.19131	115.12232	38.09375	23.44989	0.60702	0.20285	0.88397	4.63726	6.0	7.57852	3.23004	37.88021	13.75373	16.30243	1029.0	215.25334	724.22131	101.61133	0.88264	0.77918	9.0	466.46418	2.89678	1.7631	1.13368	10.01042	20.19864
6	479.36181	107.39275	33.77506	21.24096	0.5223	0.18764	0.79193	5.67183	5.0	8.10728	1.68796	34.76738	9.70524	14.59473	1044.0	201.70027	605.30909	94.53686	0.88029	0.67402	7.0	311.59495	4.11386	1.94716	2.1667	9.90673	16.36125
7	966.44265	162.12494	40.98064	35.3341	0.46205	0.02166	0.78196	5.648	6.0	9.82828	2.24019	50.15068	10.6829	17.20069	1031.0	214.95814	1235.92489	130.86985	0.80722	0.7091	10.0	709.85804	3.86181	2.1921	1.6697	11.85347	19.57739
8	887.88438	165.2822	52.71738	27.236	0.40843	0.33482	0.73508	5.95641	7.0	8.17295	2.94723	57.94308	13.3646	15.00407	1040.0	214.14715	1207.88233	133.52981	0.80789	0.62576	9.0	557.92008	4.73657	2.47488	2.26169	12.22373	20.91705
9	337.29249	77.69337	27.75034	16.58943	0.70218	0.22414	0.93728	4.17694	3.0	9.04835	3.02165	26.57352	8.12721	11.87822	1158.0	109.91815	359.86334	73.64941	0.94795	0.78141	6.0	218.38028	3.21275	1.94775	1.265	9.83492	16.79227
10	1097.17769	183.57683	51.37611	34.38699	0.40912	0.14533	0.7499	4.51157	6.0	11.11808	3.17795	59.59106	11.87822	16.87958	1175.0	139.71399	1463.09901	144.43161	0.78676	0.66094	11.0	800.62998	3.35933	2.15102	1.20831	11.99668	20.6129
