Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
29	1245.4027	220.74682	57.84066	38.35844	0.32117	0.15138	0.68314	5.3644	7.0	14.28411	2.41137	75.22411	12.50339	14.75454	1125.0	183.09014	1823.06006	160.1827	0.72564	0.60994	10.0	773.85763	5.64781	3.11157	2.53624	12.99289	22.67822
30	1501.59647	249.08859	82.40652	28.83787	0.30413	0.61121	0.68223	4.93878	7.0	12.75315	3.66171	88.14735	12.02538	16.83321	1129.0	186.82345	2200.99962	189.7278	0.76169	0.52421	14.0	986.47306	3.9895	2.27349	1.71768	11.42766	21.56116
31	1590.70735	259.2246	61.20407	44.09281	0.29747	0.10027	0.72682	6.12017	9.0	9.21214	3.85521	78.08719	13.76794	16.44565	1118.0	190.11838	2188.59054	176.80824	0.68207	0.63943	16.0	1226.34938	3.24747	2.02555	1.22192	10.75817	19.73635
32	338.75813	94.37145	38.62285	12.88681	0.47799	0.63944	0.79756	4.61501	3.0	13.4036	2.29229	33.54845	6.52696	9.70524	1037.0	198.13632	424.74231	86.9835	0.92171	0.56263	7.0	204.40785	3.16532	1.82409	1.34123	9.50654	16.46557
33	737.21664	142.70024	37.42484	31.20282	0.45494	0.03235	0.78997	6.06542	4.0	16.71274	2.57883	44.50194	17.50475	18.12992	1153.0	132.78931	933.22149	119.49405	0.83738	0.6488	8.0	472.913	4.81632	2.59282	2.22351	10.80118	19.0661
34	658.26753	138.53858	45.4945	23.50766	0.43099	0.33471	0.75064	5.45002	6.0	6.5418	2.96956	46.49391	11.07804	13.75373	1100.0	191.95051	876.94094	115.63233	0.83466	0.61866	8.0	376.76705	4.18849	2.31186	1.87662	11.14889	18.61069
35	1420.69317	228.56525	54.39681	43.57811	0.34174	0.04761	0.73025	6.21495	9.0	12.0992	2.15336	70.76827	13.65391	20.0152	1126.0	168.31221	1945.48981	169.16023	0.7401	0.6239	13.0	1007.08972	4.60504	2.34605	2.25899	10.70849	18.1992
36	1099.42501	198.83446	55.27503	34.92245	0.34946	0.18441	0.69914	5.36213	6.0	9.11986	3.02165	63.64546	10.3484	13.12856	1188.0	116.78185	1572.53342	153.33227	0.77116	0.58764	12.0	790.56592	3.76735	2.22015	1.5472	10.51354	17.65269
37	1439.25794	222.11744	72.80493	31.48164	0.36659	0.46916	0.73521	5.27039	5.0	16.08432	3.3134	79.21187	13.49556	17.50475	1080.0	208.92104	1957.60576	174.55669	0.78588	0.59357	11.0	906.35144	5.377	2.84856	2.52844	13.30923	23.93747
38	1052.42684	194.14188	54.33819	35.59746	0.35088	0.15953	0.69116	6.00922	8.0	8.3626	2.26624	61.31487	12.1386	13.65391	993.0	228.16441	1522.70168	148.99431	0.76745	0.59575	11.0	749.3326	3.97452	1.85691	2.11761	11.45593	16.60312
