Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	2206.47134	295.44763	72.52749	51.91339	0.31765	0.10398	0.71351	4.9739	8.0	11.116	3.24307	101.95853	14.82061	21.48438	937.0	222.51292	3092.40153	206.79338	0.69993	0.64839	13.0	1575.4647	5.21231	2.91917	2.29314	14.32044	25.42064
2	1062.19776	207.16318	72.1066	29.96293	0.31102	0.49774	0.66616	4.24922	5.0	10.15961	3.25088	82.08797	11.07804	11.87822	1034.0	223.32264	1594.51801	169.51915	0.81829	0.46449	11.0	700.28253	4.15691	2.12256	2.03435	11.88452	18.53138
3	1800.97776	261.22038	76.53996	42.31122	0.33167	0.28289	0.71078	4.4426	6.0	13.96927	3.54263	79.70756	15.00407	17.90214	1049.0	203.47236	2533.79748	197.56971	0.75633	0.5798	13.0	1355.42336	3.79765	2.22027	1.57738	13.86699	26.81395
4	1205.04876	182.76855	64.01283	28.02808	0.45333	0.46003	0.83472	4.83729	5.0	9.69166	3.00081	69.67343	14.58134	16.83321	1089.0	204.33551	1443.65486	152.31756	0.83339	0.6527	12.0	815.97034	3.3063	1.94678	1.35952	11.3078	22.45223
5	1526.0238	230.80698	86.4319	27.68231	0.35998	0.66248	0.72862	4.88975	8.0	11.00319	2.85234	80.42159	13.71104	17.50475	928.0	201.25109	2094.39878	187.99349	0.81451	0.54261	13.0	1161.76354	3.62573	2.05097	1.57476	12.95643	23.13393
6	777.27746	143.78588	50.06562	22.89671	0.47245	0.42778	0.78809	4.70753	4.0	15.46796	1.32849	56.38397	10.6829	14.71475	1060.0	178.90221	986.27764	126.83108	0.88208	0.6072	10.0	524.5035	3.18443	2.01684	1.16759	9.51435	18.92444
7	2320.10725	322.19125	74.89041	59.36546	0.28086	0.05209	0.68588	5.00893	9.0	12.0065	3.54263	107.22804	15.05608	18.04349	1091.0	209.8285	3382.69585	219.42251	0.68103	0.60556	16.0	1794.62665	3.87206	2.00189	1.87017	12.68064	21.16285
8	367.19154	94.92077	27.09755	21.1381	0.51213	0.05923	0.80094	5.9938	4.0	12.88588	0.93775	32.9455	12.75101	13.46657	867.0	185.69868	458.45202	82.76812	0.87197	0.67356	5.0	163.07682	5.24459	2.75908	2.48717	10.27712	22.11251
9	402.46459	88.76332	32.63906	16.98222	0.6419	0.32938	0.92791	3.34258	0.0	NaN	2.18809	32.68654	9.5428	11.87822	981.0	206.28863	433.73157	82.9182	0.93415	0.73559	5.0	172.45691	4.56973	2.77	1.79973	10.05641	24.39408
10	1004.06073	168.43408	68.80011	20.8872	0.44474	0.69093	0.84709	3.97511	3.0	25.49582	1.66712	70.99961	12.64328	12.64328	1149.0	144.11107	1185.31148	151.29614	0.89825	0.55121	11.0	738.29145	2.6797	1.68717	0.99253	11.89074	21.91168
11	1812.21433	283.9096	79.31371	38.57959	0.28253	0.3811	0.66757	5.54992	7.0	13.16719	2.99188	100.23471	13.18797	16.25441	1169.0	152.83651	2714.65739	207.38866	0.73047	0.52948	14.0	1211.59528	5.15066	3.04794	2.10272	13.14197	21.4134
12	1624.41706	210.561	74.85519	32.73429	0.46042	0.46095	0.81435	4.19928	6.0	9.88625	4.84507	75.54971	16.87958	21.66554	1162.0	141.89433	1994.73529	180.11598	0.85541	0.62922	13.0	1234.16613	2.9578	1.72253	1.23527	11.79419	20.6337
13	1939.23641	280.77074	90.87321	36.26786	0.30913	0.52592	0.66784	5.00709	7.0	17.07307	2.18809	96.65379	15.0301	19.62077	1189.0	109.38007	2903.72488	215.0974	0.7661	0.52671	19.0	1649.62606	2.47146	1.60366	0.8678	9.97305	16.98973
14	1117.98977	172.47546	68.56257	22.96145	0.47227	0.6373	0.85946	4.37794	5.0	9.9595	3.06333	59.71133	13.75373	16.68161	1079.0	212.08253	1300.80387	152.84485	0.88618	0.60138	10.0	811.47571	3.75649	2.0323	1.72419	13.51269	24.6111
