Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	320.48649	76.65756	25.41084	17.36393	0.68535	0.13205	0.90259	4.4272	4.0	8.47311	2.50068	23.34962	14.3789	15.52889	909.0	211.35279	355.07558	71.65019	0.93468	0.78449	5.0	172.75004	4.38819	2.29225	2.09594	10.0774	20.79379
2	699.40315	137.53418	50.55588	21.21969	0.46464	0.49061	0.7794	5.52024	5.0	8.22527	2.87578	47.6684	10.47975	12.5813	1022.0	232.31659	897.36218	119.00794	0.8653	0.62056	10.0	500.66244	3.19716	1.88547	1.31169	10.12284	18.09765
3	735.26246	120.3198	38.94416	25.21909	0.63823	0.16736	0.8854	5.12735	5.0	11.48948	2.50068	42.87237	15.00407	20.47848	1001.0	228.13592	830.43131	107.89399	0.89673	0.7937	7.0	465.19396	4.83898	2.38783	2.45115	12.08776	23.70901
4	685.43072	126.08501	39.36616	24.28004	0.54181	0.20146	0.81655	6.2782	7.0	7.57131	2.32206	43.5864	13.26185	15.91422	840.0	199.68976	839.42057	107.32828	0.85124	0.74773	8.0	451.12382	4.35594	2.24858	2.10736	10.35573	19.03836
5	632.6677	104.81622	30.75037	27.24044	0.72365	0.01455	0.91636	4.94474	4.0	10.77728	4.76692	26.81026	22.98721	23.00421	1008.0	226.50607	690.41389	95.87013	0.91465	0.86501	8.0	455.42303	2.99349	1.82999	1.1635	9.94876	21.08621
6	493.52966	108.6745	35.49543	20.53852	0.52513	0.24835	0.81665	5.52288	4.0	11.73725	2.73512	37.84879	13.75373	13.97922	926.0	201.7201	604.332	95.66043	0.88025	0.67773	7.0	294.69124	4.18671	2.38328	1.80343	10.14127	17.46752
7	565.63912	104.12822	36.5618	21.47524	0.65556	0.23716	0.89488	3.84862	4.0	4.09367	5.70467	28.91331	11.49361	15.44055	1000.0	225.78751	632.08144	95.97305	0.92168	0.7717	7.0	393.37763	3.39538	1.89755	1.49783	11.38499	21.87525
8	957.94195	210.36488	46.13667	39.92933	0.27202	0.02059	0.61279	6.07188	7.0	8.24748	2.09878	64.30586	8.84124	13.75373	951.0	222.80709	1563.25104	152.7267	0.72601	0.51608	12.0	639.50735	3.71506	2.11904	1.59602	11.59935	20.1792
9	715.7206	135.72151	37.18822	30.50347	0.48827	0.03826	0.77341	5.12681	4.0	15.02819	4.0636	42.45252	19.38026	19.39034	1175.0	107.90737	925.40475	115.7785	0.85306	0.67096	8.0	454.34823	4.29874	2.50563	1.79311	11.56645	21.41205
10	763.89128	147.15767	52.31721	22.0	0.44328	0.48927	0.79816	5.43795	6.0	8.24161	2.44858	52.60693	12.02538	13.26185	1125.0	173.21085	957.06256	123.7242	0.84076	0.62709	8.0	454.0551	4.65466	2.6329	2.02176	12.51429	25.53025
11	1056.43292	190.01163	61.77059	29.74296	0.3677	0.38885	0.72896	5.50448	7.0	8.17295	3.66171	62.06952	8.95107	15.44055	1179.0	127.44803	1449.22429	146.79692	0.77257	0.61605	14.0	825.54585	2.76442	1.53288	1.23153	9.258	16.56604
12	786.75526	126.20528	38.59509	28.31736	0.62072	0.09007	0.87837	4.72749	5.0	8.70839	4.00109	42.90378	16.25441	18.84863	1159.0	138.5388	895.70112	111.97157	0.88722	0.78856	7.0	496.16781	4.82971	3.00507	1.82465	12.2201	26.67738
13	772.29428	134.6987	42.12948	25.77782	0.53489	0.2072	0.84816	6.30451	5.0	10.65086	3.87605	50.49468	14.04894	15.62924	1151.0	151.05959	910.55294	114.93578	0.85328	0.73465	10.0	557.92008	3.43649	1.81914	1.61735	9.62335	17.27268
