Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	3894.20402	370.41279	141.89089	45.37	0.35666	0.66338	0.69778	3.13148	7.0	18.59003	3.34912	147.91232	954.0	209.26299	22.0	1.28293	1.20901	0.94578	5580.8619	317.07222	0.856	0.48676
2	3806.16795	360.6668	147.27424	37.71876	0.36769	0.76893	0.78008	3.0604	5.0	16.90853	5.93911	152.21647	1046.0	211.48759	19.0	1.57431	1.26118	0.94293	4879.21144	315.9397	0.87599	0.47917
3	2261.38396	210.49817	66.28111	45.30336	0.64134	0.13189	0.90576	3.41671	5.0	26.12778	2.43816	74.26414	1080.0	206.66398	12.0	1.98849	1.19721	0.92184	2496.66795	189.38295	0.89969	0.79232
4	360.25418	72.60316	23.35061	20.02502	0.85883	0.02324	1.0	2.20952	0.0	NaN	6.2517	12.12798	1066.0	205.95388	4.0	4.23048	0.14324	0.48007	357.3229	69.64526	0.95926	0.93333
5	3538.63989	354.0619	157.67814	30.85134	0.35472	0.85795	0.84372	3.07365	4.0	22.61163	2.50068	158.28125	1023.0	217.03686	22.0	1.15615	1.06002	0.95347	4194.07385	321.80369	0.90889	0.4294
6	3189.8177	362.39601	161.72843	32.18619	0.30522	0.85342	0.70956	2.61987	4.0	13.1818	2.10995	164.49772	975.0	219.89316	24.0	0.82128	0.73682	0.96395	4495.50703	327.90809	0.90483	0.3728
7	2181.26234	235.44751	103.09575	28.43867	0.49446	0.73716	0.87634	1.82125	0.0	NaN	5.62653	86.71009	971.0	204.87557	9.0	2.8188	1.4765	0.77786	2489.04663	218.74042	0.92904	0.57287
8	2211.16139	220.66559	77.81192	39.34831	0.57064	0.35131	0.86003	2.59609	4.0	23.40975	5.54838	83.78418	1213.0	103.6388	12.0	1.94479	0.94796	0.92638	2571.02473	202.28095	0.91669	0.67908
9	1324.15639	182.2116	71.29994	28.53411	0.50118	0.52403	0.80294	2.81527	3.0	21.36991	8.02301	61.22063	973.0	209.94523	11.0	1.6143	0.74012	0.88511	1649.13751	163.06406	0.89492	0.6258
10	449.95131	90.37988	33.46934	18.00531	0.6922	0.30371	0.92045	3.05183	3.0	8.87572	4.89716	23.60857	946.0	174.47349	3.0	5.49212	4.89463	0.53855	488.83961	84.29705	0.9327	0.7957
11	1912.46407	211.69645	78.32545	34.83049	0.53626	0.44863	0.81718	2.94825	4.0	18.98453	4.14175	80.23467	1146.0	181.93131	11.0	1.79487	1.3183	0.92306	2340.33308	193.25543	0.91289	0.64349
12	3004.56088	289.88933	117.39576	36.20224	0.44929	0.68281	0.82748	2.89493	4.0	27.13721	4.37619	123.86168	992.0	202.26221	14.0	1.76804	1.30431	0.93616	3630.97518	263.00896	0.90727	0.54582
13	1587.58065	184.15757	71.37882	30.43003	0.58826	0.47943	0.90644	2.63652	3.0	22.17078	6.56428	62.42654	1046.0	213.813	12.0	1.59002	0.76308	0.89919	1751.43914	169.4935	0.92037	0.69445
14	406.95922	85.56163	29.99315	19.02469	0.69856	0.18164	0.90622	3.43955	3.0	9.73456	3.64682	27.43543	953.0	204.72909	5.0	2.73778	0.94426	0.68379	449.07193	80.35566	0.93916	0.792
15	2410.19522	240.38604	88.37783	42.44519	0.52414	0.39081	0.83219	2.62132	4.0	21.13241	5.62653	94.55455	1127.0	175.78965	13.0	1.6186	1.09885	0.92695	2896.20127	218.11299	0.90734	0.63665
16	491.57547	103.03496	41.41087	15.45967	0.58188	0.57056	0.96955	2.42059	3.0	14.2507	1.66712	40.09972	1150.0	182.08789	8.0	1.36928	0.66952	0.76188	507.01354	97.29679	0.94431	0.65253
17	1746.84681	222.21708	95.89555	25.33843	0.44454	0.75599	0.87061	2.85653	3.0	32.09152	4.27199	88.65225	970.0	207.38129	13.0	1.57506	1.17934	0.90547	2006.46041	206.10098	0.92748	0.51678
18	959.40758	148.81865	49.06872	28.23924	0.54438	0.2524	0.86825	3.03869	3.0	23.79602	2.81326	48.80228	1017.0	208.86599	7.0	1.82716	1.87021	0.86037	1104.99444	134.34216	0.90272	0.66802
19	2674.59658	258.42171	97.23531	39.25872	0.50328	0.51793	0.82265	2.65569	5.0	19.70554	2.00054	111.92063	1078.0	207.19797	12.0	1.7332	1.60897	0.92737	3251.17914	231.70927	0.89663	0.62601
20	3128.35855	325.88483	132.3793	35.175	0.37017	0.75361	0.78331	3.20408	5.0	12.445	5.12639	138.47194	956.0	217.79118	18.0	1.3395	1.16452	0.94965	3993.7698	287.99255	0.88372	0.47398
21	256.4869	64.02088	22.67691	14.70789	0.78638	0.1663	0.99169	2.75873	3.0	6.94965	3.33424	15.0485	828.0	172.62677	4.0	3.57539	1.31009	0.49105	258.63651	61.08764	0.95418	0.86371
22	294.49582	85.89643	29.47011	16.50465	0.50158	0.27298	0.77841	4.15195	3.0	12.87829	1.87551	30.33374	1033.0	209.67833	4.0	3.66347	1.50307	0.71732	378.3304	77.1328	0.89797	0.62203
23	2393.58464	255.77473	75.35212	44.88802	0.45977	0.22672	0.85251	3.5951	5.0	26.03201	4.0636	83.72134	878.0	175.35678	13.0	2.60867	1.37601	0.88954	2807.67664	214.42442	0.83833	0.6542
24	501.54182	93.30421	30.7654	22.34057	0.72396	0.09579	0.93226	3.43138	0.0	NaN	3.75102	28.53408	775.0	92.03804	5.0	3.09601	1.63722	0.72998	537.98739	86.59467	0.92809	0.84049
