Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	2126.74055	244.68099	70.45167	45.87793	0.4464	0.16357	0.77037	4.06879	6.0	13.04045	2.136	85.3471	940.0	221.94594	14.0	1.49453	1.58938	0.94919	2760.67847	206.54423	0.84414	0.62647
2	4484.27047	444.34752	166.36892	51.94014	0.2854	0.6763	0.63221	4.14637	5.0	23.22243	2.5632	178.69575	1093.0	204.2988	27.0	1.60301	1.22855	0.9408	7093.01098	365.48675	0.82252	0.42185
3	3100.60911	317.53009	121.42658	40.46163	0.38644	0.6402	0.7667	3.32663	6.0	13.14528	5.15765	130.41676	1068.0	214.98837	18.0	1.7405	1.25945	0.93269	4044.09008	271.28033	0.85435	0.52944
4	1628.61856	193.30758	67.02244	33.51598	0.54769	0.35989	0.86939	4.28185	6.0	15.17312	2.0839	70.99961	911.0	214.18683	14.0	1.25265	0.91175	0.95314	1873.28264	173.32235	0.89661	0.68127
5	865.11811	126.62132	48.43757	23.25796	0.67807	0.39098	0.97748	2.94102	0.0	NaN	2.18809	48.60616	1063.0	220.35426	9.0	1.41962	0.52044	0.90852	885.05081	119.11014	0.94068	0.76628
6	4334.67753	395.17903	175.18071	38.57673	0.3488	0.82356	0.74244	2.85688	5.0	21.66242	5.00136	164.38125	1014.0	212.50882	22.0	1.44679	1.07114	0.9409	5838.42361	352.23828	0.89134	0.43903
7	3842.12497	369.53406	158.35412	38.46698	0.35357	0.78954	0.75657	3.48801	5.0	14.53764	6.81435	140.39345	1025.0	215.4971	20.0	1.72151	1.12229	0.91089	5078.34299	325.74082	0.88149	0.45503
8	1397.92691	185.33206	72.23738	28.54788	0.51144	0.53266	0.84807	3.30351	4.0	15.76713	1.95366	69.78069	1099.0	191.38704	12.0	1.65095	1.18143	0.91137	1648.35584	166.35586	0.89761	0.63477
9	3256.35773	308.41688	126.42484	35.72338	0.4302	0.72611	0.84011	3.64443	6.0	17.75424	3.49053	123.01818	1048.0	210.81271	20.0	1.36335	0.92979	0.95331	3876.1278	274.20521	0.88907	0.54424
10	1860.2873	201.76958	79.91473	31.60108	0.57422	0.53225	0.93797	2.2055	3.0	32.67914	2.70907	82.25267	1089.0	197.72203	11.0	1.63797	0.66391	0.91386	1983.30331	188.71739	0.93531	0.6564
11	3212.77939	313.67181	121.62815	43.34111	0.41034	0.60009	0.7277	3.31315	5.0	15.16357	4.31367	125.96473	982.0	212.17446	17.0	1.53638	1.34979	0.93896	4414.99457	271.62247	0.86594	0.54722
12	319.60711	84.50741	31.12464	15.15854	0.56239	0.38015	0.90861	4.35895	3.0	12.31108	2.0839	31.33814	1040.0	176.78235	4.0	4.12666	0.90251	0.45919	351.75347	74.94694	0.88687	0.71502
13	767.60424	115.44411	37.49823	26.84058	0.72378	0.10397	0.9527	3.25868	4.0	7.98067	3.28214	38.61645	1001.0	215.76608	8.0	1.77212	0.53558	0.86622	805.71086	105.502	0.91388	0.86661
14	984.51887	144.92896	60.17517	22.24208	0.58901	0.577	0.89796	2.34103	0.0	NaN	5.62653	47.21714	1121.0	179.399	8.0	1.94953	1.08257	0.85193	1096.39602	136.01491	0.93849	0.66875
15	1214.81969	182.63526	79.56872	21.03269	0.45767	0.75583	0.86077	2.54029	0.0	NaN	6.72057	61.37771	952.0	199.0	9.0	2.63155	0.82267	0.78798	1411.31308	168.28562	0.92143	0.53905
16	296.54772	71.83931	23.08672	17.38561	0.72207	0.07631	0.96687	3.67033	4.0	7.19596	2.89141	25.76525	1109.0	159.48041	4.0	2.60582	0.43418	0.67183	306.70948	67.5585	0.94041	0.81648
17	2173.93414	258.9266	98.97368	36.33725	0.40748	0.58131	0.76763	3.06766	4.0	24.55973	3.12585	108.66149	1120.0	179.92776	14.0	1.40163	1.58928	0.93555	2832.00626	230.65659	0.89082	0.51348
18	2065.67224	228.52082	75.9951	40.21619	0.49707	0.31634	0.85494	2.31767	0.0	NaN	4.68877	87.29846	948.0	200.54177	10.0	1.72199	1.27954	0.92101	2416.15549	207.92572	0.90988	0.60042
19	2279.94873	235.80834	94.0055	32.95333	0.51525	0.61016	0.9034	3.09837	3.0	34.94794	2.91746	97.55631	993.0	213.53454	13.0	1.78071	0.94169	0.9313	2523.73343	216.10511	0.91644	0.61349
20	677.71168	113.75171	42.17978	21.73951	0.65817	0.33667	0.92112	3.07245	3.0	14.53927	4.1678	32.14642	1101.0	194.75883	7.0	2.0234	0.75075	0.82742	735.751	106.50725	0.93631	0.75075
21	1289.66501	152.02035	53.64248	31.88186	0.70127	0.22842	0.96378	2.97139	0.0	NaN	6.0954	47.55194	986.0	211.37881	11.0	1.34615	0.63424	0.91287	1338.12882	142.95159	0.94035	0.79307
22	309.93389	69.21835	22.1827	18.32389	0.8129	0.03565	0.9754	2.86121	3.0	8.96944	2.91746	24.14869	1000.0	218.49943	4.0	3.20705	0.44518	0.5826	317.75063	65.88567	0.95185	0.89722
23	464.31458	103.29392	41.76509	15.5591	0.54686	0.57193	0.92451	2.81743	0.0	NaN	1.40663	41.2244	928.0	227.0022	6.0	2.20535	1.42178	0.78683	502.22579	95.80674	0.92752	0.63567
24	810.88945	116.52974	40.85752	26.00593	0.75041	0.17923	0.96691	2.91014	0.0	NaN	8.12721	23.6622	975.0	205.73284	8.0	1.52852	0.67987	0.91613	838.63889	110.11993	0.94499	0.84031
25	539.35532	89.0667	27.2269	25.78923	0.85439	0.00294	1.0	1.90912	3.0	6.44655	7.08526	17.51777	836.0	154.56714	5.0	2.9378	0.3579	0.68859	537.49884	85.0243	0.95461	0.93756
26	318.63002	71.73205	25.10136	16.66302	0.77816	0.15073	0.96394	3.3918	3.0	5.95086	5.20975	16.96844	870.0	197.64868	6.0	1.84769	0.50843	0.7464	330.55055	67.9969	0.94793	0.866
27	252.48082	64.47595	21.56809	15.48987	0.76321	0.10204	0.95175	4.09329	0.0	NaN	4.0636	14.96346	901.0	193.12949	5.0	2.57625	0.7903	0.42337	265.28074	60.72345	0.9418	0.86045
28	333.67725	71.68762	23.14112	18.74716	0.81592	0.04306	0.97655	3.5562	0.0	NaN	3.75102	18.66084	832.0	164.09448	5.0	2.51488	0.58742	0.58682	341.68941	67.97541	0.94822	0.90747
