Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	1928.97694	194.01621	69.12165	37.37868	0.64396	0.29973	0.91887	2.39491	3.0	29.91644	3.64682	74.76365	938.0	206.26682	10.0	1.67839	0.82217	0.9262	2099.28424	181.06991	0.93327	0.73934
2	1358.55006	158.96767	52.30809	34.65081	0.67557	0.15212	0.9038	3.78074	5.0	13.44267	5.18891	43.46612	902.0	202.70422	8.0	2.53368	1.25097	0.864	1503.15982	144.15324	0.90681	0.82156
3	3440.73518	301.6365	100.1243	53.71155	0.47522	0.30588	0.7813	3.30426	5.0	22.63864	5.62653	100.7304	1017.0	221.20127	15.0	1.94695	1.40988	0.92935	4403.85571	258.76531	0.85787	0.64573
4	1376.33315	175.5883	67.68118	27.19626	0.56097	0.52123	0.86988	3.18859	3.0	28.74195	1.04195	77.22371	945.0	213.4877	15.0	0.98123	0.49335	0.95499	1582.20664	161.65424	0.92064	0.66185
5	485.41979	85.73934	28.15669	22.25406	0.82979	0.05337	0.99619	2.5043	0.0	NaN	2.81326	25.81888	897.0	204.24985	6.0	1.71241	0.3941	0.82105	487.27626	81.68823	0.95275	0.91413
6	664.71635	106.66032	32.27035	27.7075	0.73424	0.02288	0.94042	3.42522	4.0	14.56947	2.96956	38.05412	1053.0	212.47117	7.0	1.99817	0.62039	0.85595	706.82905	100.18911	0.93933	0.83216
7	2970.65575	242.26917	87.53882	44.44008	0.63601	0.34831	0.90259	2.40856	4.0	23.75796	4.84507	84.61467	898.0	183.50477	10.0	2.54908	1.26979	0.92392	3291.23995	222.05505	0.91656	0.75708
8	5286.85463	462.88493	214.35561	38.95125	0.31007	0.87623	0.6853	2.44807	6.0	12.43009	7.24155	195.30559	861.0	148.26665	23.0	1.22956	1.18551	0.95927	7714.63753	413.97892	0.89435	0.38766
9	3806.26565	293.39441	105.48647	49.32884	0.55566	0.41104	0.86901	3.11459	5.0	19.04299	7.12693	105.68194	834.0	125.2238	18.0	1.41834	1.3262	0.9454	4380.01465	260.31489	0.88725	0.70585
10	531.44087	92.72886	30.95261	22.93035	0.77667	0.08486	0.98568	2.53505	3.0	6.02236	7.71043	15.85678	777.0	78.21765	7.0	1.84748	0.4828	0.76282	539.1599	88.0384	0.94942	0.86163
11	257.75712	64.47595	19.36769	17.45015	0.77916	0.01079	0.95997	4.1618	4.0	7.66484	2.57883	19.23238	868.0	215.34159	4.0	2.57242	1.19851	0.56672	268.50515	60.79042	0.94284	0.8765
