Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	2465.10785	276.69793	95.40043	43.61067	0.40461	0.42811	0.68701	3.0957	5.0	22.88947	1.81299	114.79133	951.0	216.33308	13.0	1.95082	1.86982	0.90868	3588.1785	233.03015	0.84218	0.57046
2	1019.59651	131.83181	45.34288	30.12241	0.73722	0.15024	0.95236	3.2359	4.0	7.83224	4.14175	43.96181	836.0	132.36314	10.0	1.62262	0.55476	0.90771	1070.60076	124.28655	0.94277	0.82945
3	2441.85304	229.59345	73.49381	45.59881	0.58212	0.19722	0.84523	3.51455	5.0	17.36576	3.12585	88.80775	1041.0	212.71342	14.0	1.52772	1.21014	0.95126	2888.97078	203.41437	0.88598	0.74159
4	699.69627	111.21961	38.64418	23.86638	0.71082	0.20051	0.94236	3.73981	3.0	11.94487	5.20975	27.3818	1080.0	205.25107	7.0	2.15959	0.67505	0.83801	742.49295	103.42511	0.92992	0.82199
5	3043.7423	319.50747	122.35632	43.45948	0.37468	0.6021	0.69354	3.5918	6.0	12.86845	7.44994	124.7274	1049.0	211.95754	18.0	1.43932	1.35369	0.94459	4388.71077	270.76796	0.84745	0.5217
6	1942.2654	218.29057	85.36557	31.85508	0.51221	0.57084	0.84786	2.85835	3.0	30.36897	4.27199	84.10978	1152.0	162.08023	12.0	1.45928	1.04009	0.93234	2290.79446	197.79948	0.90613	0.62383
7	3160.30949	327.71052	130.04873	46.96688	0.36979	0.59173	0.68933	3.00058	4.0	17.21073	3.28214	131.67631	1003.0	210.34733	21.0	1.26919	0.90446	0.94237	4584.61791	278.78798	0.85071	0.51097
8	898.53469	148.98336	61.4523	21.62851	0.50871	0.60771	0.80448	3.14036	0.0	NaN	3.43843	59.13059	1102.0	177.27098	7.0	3.02029	1.14541	0.69269	1116.91497	136.64965	0.91721	0.60468
9	403.5394	82.35993	29.87161	17.74257	0.74759	0.22889	0.95868	3.38702	3.0	8.62417	4.48038	18.34826	1063.0	211.88204	5.0	2.64457	0.60025	0.68281	420.93165	77.63911	0.94268	0.84127
10	1391.96664	163.98743	53.40941	35.40551	0.65046	0.15165	0.90526	3.39525	4.0	17.28428	3.43843	57.32173	1182.0	130.39172	9.0	2.2509	1.15065	0.90671	1537.6512	150.24736	0.91621	0.77486
11	2584.70403	268.63356	92.47097	46.14714	0.45009	0.36147	0.77073	3.54831	3.0	42.18182	3.85521	100.61013	1069.0	197.8838	20.0	1.29272	0.87745	0.93834	3353.57848	233.85894	0.87055	0.5939
12	322.24526	73.65199	26.54504	16.02055	0.7465	0.21717	0.96631	3.23584	3.0	8.57361	3.75102	22.15291	1075.0	169.5435	4.0	3.65108	1.45199	0.54912	333.48183	69.23056	0.93997	0.84489
13	806.78566	125.69276	47.27678	22.94812	0.64172	0.3827	0.91561	3.02517	4.0	14.25459	1.56292	52.85668	1174.0	122.22111	9.0	1.4576	0.55523	0.89657	881.14244	118.2392	0.9407	0.72518
14	306.80719	69.81211	22.36663	18.0159	0.79107	0.04537	0.99241	2.94164	3.0	11.67544	0.83356	25.10866	987.0	230.06738	6.0	1.71136	0.3372	0.81115	309.15221	66.1816	0.948	0.88024
15	714.35267	130.51864	48.40891	21.74041	0.52696	0.44132	0.82582	4.36549	3.0	21.64674	1.66712	52.79004	1024.0	195.93111	8.0	1.78765	1.14664	0.85665	865.0204	118.07796	0.90468	0.64385
16	3339.21522	346.4526	107.57081	53.74728	0.3496	0.36054	0.67964	3.80782	7.0	15.62245	4.64412	120.673	1113.0	187.58198	16.0	2.44668	2.23798	0.8996	4913.21428	272.29634	0.78596	0.56594
17	1104.70131	151.98893	57.81949	26.60899	0.60094	0.42308	0.90811	3.18541	0.0	NaN	6.72057	46.52914	987.0	201.32064	8.0	2.54648	1.01913	0.71953	1216.48074	140.29462	0.92306	0.7053
18	1581.22955	190.52954	65.5551	33.40545	0.54737	0.34541	0.84405	3.39466	5.0	16.03697	4.43871	63.5382	1113.0	194.44794	9.0	2.65402	1.36152	0.84811	1873.38035	167.436	0.87879	0.70877
19	626.90285	103.32533	31.36853	27.02622	0.7379	0.02188	0.94339	2.76541	3.0	11.22291	5.52233	26.80106	979.0	213.93691	6.0	2.18352	0.65906	0.8658	664.52093	96.8782	0.9376	0.83938
20	474.57405	98.30557	28.92876	23.80087	0.6171	0.03712	0.86347	4.14657	3.0	13.42581	3.23004	32.28891	1038.0	185.6906	5.0	3.10289	1.8997	0.72329	549.61479	87.83448	0.89348	0.77301
21	4593.70488	438.8489	149.68615	66.47486	0.29974	0.44962	0.61246	3.46562	6.0	8.26996	9.79433	158.46659	1061.0	210.67748	24.0	1.55413	1.23642	0.93764	7500.36104	340.23584	0.77529	0.49867
22	2946.91239	315.54732	118.5355	40.09021	0.37192	0.63156	0.71842	3.86059	7.0	12.35366	2.94723	130.76458	1071.0	209.45883	13.0	2.6051	2.47646	0.9128	4101.93399	262.41744	0.83163	0.53776
23	945.72828	135.88621	46.98682	28.5809	0.64361	0.21147	0.90593	3.20416	3.0	17.14721	5.62653	44.74788	913.0	199.54448	10.0	1.80101	0.72535	0.86331	1043.92613	123.04055	0.90547	0.78502
24	703.50694	106.9821	34.27159	26.88753	0.77242	0.05664	0.9735	2.96651	4.0	10.37639	4.76692	31.30673	1050.0	196.42301	8.0	1.83118	0.80149	0.84556	722.65796	100.7175	0.94144	0.8715
25	245.64117	70.84792	25.29621	12.84786	0.61497	0.34796	0.90758	4.27394	4.0	4.84602	2.26624	24.22454	801.0	139.15459	5.0	2.19922	0.69727	0.75577	270.65475	65.24772	0.92095	0.72507
26	1288.78562	176.32073	65.11462	29.28187	0.52094	0.44034	0.8153	3.90658	4.0	13.13277	4.53248	67.33364	1062.0	207.70412	9.0	2.54582	1.44308	0.80849	1580.741	154.77827	0.87782	0.67604
27	3134.41653	307.31285	102.04535	48.12424	0.41707	0.40465	0.75894	3.41586	6.0	19.434	3.54263	122.34319	962.0	218.97945	12.0	3.0263	2.83847	0.90629	4129.97656	247.99724	0.80699	0.64043
28	2458.46362	270.4072	108.75243	32.65497	0.42251	0.69654	0.76919	3.40505	5.0	14.4008	4.25115	101.70497	1129.0	185.9032	12.0	2.18071	1.44174	0.90485	3196.16881	238.94071	0.88363	0.54112
29	2481.62072	224.99734	67.42396	51.96246	0.61601	0.06489	0.89197	2.80041	5.0	16.20047	8.12721	65.47654	995.0	218.81499	14.0	1.55065	0.83594	0.93539	2782.17452	200.78697	0.8924	0.77352
30	280.81652	70.70924	27.98402	13.10308	0.7058	0.41006	0.96475	3.42345	4.0	2.65467	3.43843	21.64801	998.0	185.34562	5.0	2.66835	0.52172	0.63535	291.076	67.25556	0.95116	0.78015
31	1989.65441	209.13517	82.99073	32.00443	0.57165	0.54919	0.89693	3.67802	4.0	9.43998	7.2676	75.49608	1020.0	217.67866	10.0	2.55398	1.42711	0.85537	2218.29416	192.34178	0.9197	0.67583
32	564.75974	105.30271	30.90304	26.56676	0.64002	0.02252	0.89101	3.6445	4.0	13.26455	2.65697	38.32227	1082.0	191.24069	7.0	1.6995	0.59231	0.89567	633.84021	97.79313	0.92869	0.74209
33	277.20127	67.92359	23.00383	16.06439	0.75503	0.1186	0.95942	3.16042	3.0	6.91389	3.43843	20.6122	849.0	175.83515	2.0	8.52074	1.36635	0.13923	288.92639	63.92824	0.94118	0.85235
