Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	1617.08886	188.83175	68.73782	31.9869	0.56989	0.41473	0.88342	3.30389	4.0	19.56758	1.95366	76.21169	799.0	91.48224	11.0	1.77735	0.76781	0.88	1830.48597	173.01326	0.91623	0.67887
2	655.14083	104.12822	36.84787	23.31984	0.75929	0.18322	0.96781	2.49833	0.0	NaN	5.00136	31.36036	935.0	210.8388	5.0	2.08043	0.57155	0.85817	676.93001	99.2968	0.9536	0.83498
3	4814.43018	415.11847	189.04807	36.7783	0.35108	0.85945	0.8005	2.639	4.0	12.23064	7.42389	172.4961	1008.0	217.33845	25.0	1.14145	0.77601	0.95726	6014.30034	375.6689	0.90497	0.42869
4	290.78287	73.83509	27.84646	13.89437	0.67028	0.36159	0.95293	3.46691	3.0	9.55886	2.39648	27.92192	926.0	194.0773	6.0	1.75623	0.47541	0.83266	305.14613	69.93759	0.94721	0.74706
5	4288.0702	365.38002	144.86111	42.06383	0.40363	0.71315	0.76986	2.79148	5.0	22.94386	4.56374	149.32578	1181.0	142.51316	19.0	1.88358	1.11308	0.93328	5569.91846	324.61029	0.88842	0.51138
6	573.65128	100.46606	37.01827	19.91982	0.7142	0.30351	0.98112	3.17165	0.0	NaN	2.34439	36.41535	929.0	209.79037	7.0	1.68368	0.40048	0.8324	584.69243	93.81376	0.93379	0.81908
7	3378.39664	290.73126	114.47691	41.75292	0.50227	0.58551	0.8487	2.74111	6.0	13.43999	4.79297	114.7285	1099.0	196.30334	17.0	1.24488	0.92674	0.96084	3980.67675	262.52596	0.90298	0.61599
8	6391.84907	506.73567	129.55498	84.71283	0.3128	0.1608	0.72047	3.05824	7.0	28.79467	3.92964	157.21625	1161.0	161.16761	30.0	1.09494	1.52228	0.96299	8871.80873	363.06511	0.71648	0.60935
9	4017.70857	316.63518	122.20397	43.35823	0.50358	0.60277	0.87536	3.52816	5.0	27.72885	3.81354	127.11543	1050.0	213.56966	21.0	1.34496	0.83546	0.96194	4589.79651	285.4693	0.90157	0.61954
10	296.25459	74.67479	29.20057	13.05944	0.66762	0.44441	0.97492	2.93296	0.0	NaN	0.78146	30.9275	826.0	157.21323	5.0	2.05159	0.93939	0.68239	303.87591	70.44837	0.9434	0.75012
11	382.62961	80.08679	27.5243	18.47426	0.74966	0.14351	0.97123	2.60079	3.0	11.40908	2.91746	27.12285	821.0	168.40131	5.0	3.05445	0.34635	0.66394	393.96388	76.49854	0.9552	0.82164
12	4385.48637	349.48643	141.49458	42.34363	0.4512	0.69824	0.8771	2.45178	3.0	55.85559	2.60487	153.16566	1091.0	205.41178	22.0	0.92622	0.80806	0.96925	4999.98013	320.31213	0.91652	0.53713
13	2820.28114	249.31836	89.99151	43.48369	0.57016	0.38617	0.85503	2.64252	4.0	27.14316	4.61063	90.90699	1160.0	166.48724	10.0	2.49869	1.69234	0.90088	3298.47044	224.80733	0.90169	0.70126
14	1550.74425	166.01463	57.64182	35.06825	0.70706	0.21134	0.9375	2.9365	5.0	12.38065	7.25197	53.34317	980.0	215.48782	10.0	1.51796	0.74055	0.94235	1654.12068	153.90096	0.92703	0.82275
15	1396.94982	177.18106	62.49568	31.11421	0.55919	0.36329	0.83238	3.17191	3.0	27.69566	3.54263	61.53702	1063.0	193.8066	13.0	1.34626	0.82251	0.91684	1678.25488	156.78178	0.88487	0.71417
16	301.04234	70.66482	26.1579	14.9137	0.75758	0.25945	0.99806	2.35288	3.0	7.43487	3.95941	22.3046	922.0	226.83695	5.0	2.04556	0.27232	0.71308	301.6286	67.24682	0.95163	0.83655
17	325.07883	85.852	31.4963	15.03788	0.55424	0.39529	0.8646	3.85637	5.0	3.13289	2.43816	32.43679	1101.0	202.77081	5.0	2.59741	0.7305	0.70724	375.98537	78.89224	0.91893	0.65634
18	3859.90806	298.9213	105.72325	53.36418	0.54284	0.35273	0.80555	2.73807	6.0	22.70414	5.41814	111.78195	887.0	165.59287	18.0	1.12365	0.99229	0.96565	4791.66391	267.37686	0.89447	0.67848
19	1317.70758	168.93897	65.88785	27.86855	0.58019	0.4851	0.88167	3.06748	3.0	19.41549	7.60623	55.35736	1017.0	221.79044	12.0	1.18444	0.71017	0.94179	1494.5614	154.51807	0.91464	0.69354
20	1799.90296	214.39548	72.61216	40.21299	0.49207	0.28151	0.76255	3.37064	3.0	36.39134	1.14614	94.80431	1000.0	231.77575	12.0	1.84544	1.19737	0.87275	2360.36348	185.0901	0.86331	0.66023
21	489.62129	94.7951	34.59603	18.70221	0.6847	0.29998	0.91743	3.83371	4.0	11.01267	1.32849	34.21805	1110.0	213.28854	7.0	1.73984	0.58463	0.81141	533.68818	88.89277	0.93774	0.77864
22	596.61297	96.55034	32.2577	24.01551	0.80426	0.08224	0.98819	2.31234	3.0	11.21857	5.10555	30.27091	932.0	205.11704	7.0	1.96502	0.33627	0.80445	603.74574	91.44242	0.9471	0.89662
23	402.46459	100.07382	36.40862	16.89589	0.50501	0.41681	0.78412	4.38077	4.0	9.06361	0.78146	42.63563	835.0	142.21463	7.0	1.89835	0.94981	0.7951	513.26694	88.62967	0.88564	0.64384
