Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	4128.02237	405.35946	147.40511	49.11283	0.3157	0.64026	0.68481	4.17562	9.0	16.98819	3.75102	147.46105	1073.0	213.63754	21.0	1.76109	1.94653	0.94021	6027.97964	327.40305	0.80769	0.48393
2	4529.50987	411.91993	183.80743	39.72171	0.33546	0.82949	0.74164	2.8016	5.0	38.81321	6.2517	168.06024	1015.0	211.2605	24.0	1.20955	0.97149	0.95418	6107.4173	364.49049	0.88486	0.42844
3	2808.36061	290.92515	120.71804	36.52742	0.41697	0.69263	0.7929	2.51694	5.0	20.27556	6.68932	112.84537	918.0	189.91314	18.0	1.43826	1.01556	0.91688	3541.8643	261.46736	0.89874	0.51621
4	2515.42814	254.82238	101.50879	34.70164	0.4868	0.62524	0.83322	3.11108	5.0	19.87196	4.93884	95.3368	1075.0	211.32676	14.0	1.73743	1.08292	0.91784	3018.92414	228.08942	0.89509	0.60759
5	3443.17791	305.34309	103.24543	49.84994	0.46408	0.38676	0.77455	3.27156	6.0	21.67329	4.68877	116.70746	1045.0	219.04566	14.0	2.29792	1.69892	0.91458	4445.38217	259.83972	0.85098	0.64085
6	2525.78532	252.12558	95.04123	37.54063	0.49931	0.53301	0.84699	3.16799	3.0	34.77658	6.1475	93.17093	1152.0	165.42672	13.0	2.21268	1.11836	0.90263	2982.08774	224.4134	0.89009	0.63024
7	1894.87639	211.64663	89.57087	29.31432	0.53158	0.65045	0.86095	2.59953	0.0	NaN	7.50204	70.92916	1205.0	98.77247	9.0	2.84422	1.33227	0.8369	2200.90191	196.31187	0.92755	0.61787
8	307.49116	72.679	25.50563	16.09808	0.73152	0.18511	0.95047	3.31438	3.0	9.2358	2.81326	21.51854	1119.0	155.76264	3.0	4.73863	1.90113	0.47569	323.51548	68.18651	0.93819	0.83109
9	470.56797	85.75775	27.32659	22.65472	0.80405	0.03435	0.96571	3.28068	3.0	10.58293	3.33424	25.81888	1066.0	212.27812	6.0	1.99469	0.7316	0.80876	487.27626	81.19805	0.94683	0.89689
10	892.96526	126.63433	40.58638	30.07428	0.69975	0.08474	0.93839	2.91533	3.0	13.57623	6.98106	39.97406	1165.0	132.54056	11.0	1.08075	0.60897	0.93227	951.59084	118.41833	0.93512	0.80021
11	3942.76554	406.63583	168.17763	41.32505	0.29964	0.7852	0.63446	2.8148	6.0	21.33939	4.79297	166.24756	1074.0	209.38004	20.0	1.47758	1.48609	0.94563	6214.40898	351.97354	0.86557	0.39994
12	1542.34125	187.43511	72.19558	29.58154	0.55168	0.50765	0.8709	2.73965	4.0	10.12069	7.18945	65.44893	1143.0	170.59894	13.0	1.16773	0.7975	0.94064	1770.981	169.47931	0.9042	0.67477
13	3333.05953	298.39577	113.30367	40.47604	0.4704	0.59854	0.83016	3.0809	6.0	18.6994	1.92761	122.89251	1200.0	114.1096	15.0	2.06845	1.30897	0.91185	4014.97271	265.00335	0.88809	0.59642
14	1346.62953	192.17751	70.55021	27.8108	0.4582	0.53438	0.84833	3.3868	3.0	30.8159	3.12585	75.8899	1139.0	175.27978	12.0	1.62172	0.87814	0.92316	1587.38524	176.84286	0.92021	0.54111
15	3073.44593	278.59185	110.24113	38.10389	0.49762	0.61868	0.87675	3.12732	3.0	39.3729	5.93911	103.20887	1143.0	172.11624	19.0	1.17977	0.93841	0.9525	3505.51644	252.06212	0.90477	0.60788
16	931.85356	130.93467	45.31502	27.86737	0.68304	0.20356	0.90863	3.13821	4.0	11.27852	4.2199	47.37803	1140.0	172.99711	9.0	1.41543	0.73329	0.91402	1025.55678	123.11545	0.94028	0.77256
17	247.88849	68.59318	25.42994	13.55913	0.66207	0.31055	0.90317	4.23559	0.0	NaN	4.0636	18.05789	997.0	173.46181	4.0	3.04552	1.34159	0.57785	274.46541	63.94245	0.9322	0.76188
18	639.60506	101.09662	29.51541	28.72582	0.78641	7.3E-4	0.97165	2.96869	3.0	13.37832	4.0636	30.7666	1085.0	186.17733	7.0	1.85341	1.23319	0.84372	658.26753	95.36598	0.94332	0.88376
19	741.02731	120.91894	43.50107	24.39106	0.63688	0.27209	0.90946	3.3182	4.0	8.60259	4.2199	43.85455	1050.0	204.44315	12.0	1.05968	0.42268	0.91996	814.79783	113.96099	0.94246	0.71702
20	1798.33961	189.49373	72.48062	32.74388	0.62935	0.43693	0.92842	2.04305	3.0	27.00078	3.85521	72.70122	1004.0	217.89906	10.0	1.80068	0.56871	0.90801	1936.9891	175.77643	0.92761	0.73141
21	254.23959	71.04404	25.7516	13.19269	0.63299	0.3413	0.93969	3.39864	3.0	9.20618	3.12585	24.85891	1101.0	202.6154	2.0	10.00064	1.56553	0.05304	270.55704	66.05785	0.92982	0.73216
22	289.21952	69.32562	22.72648	16.94627	0.75622	0.08142	0.98339	2.84688	0.0	NaN	1.25034	25.50629	939.0	232.02155	5.0	2.06348	0.47512	0.64358	294.10498	66.05318	0.9528	0.83301
23	284.33405	69.67343	24.83807	14.92092	0.73604	0.22057	0.9713	3.66861	0.0	NaN	1.87551	24.6758	901.0	163.14411	4.0	2.75217	0.70457	0.66289	292.73705	64.87644	0.93115	0.84892
24	1279.40553	150.96613	55.74186	29.70309	0.70544	0.31102	0.96835	2.61604	0.0	NaN	2.96956	56.52265	966.0	204.13231	11.0	1.39175	0.45329	0.89942	1321.22511	141.76932	0.93908	0.79993
25	1688.41665	203.50641	84.0662	26.8443	0.51231	0.66412	0.87158	3.1626	5.0	9.85147	4.50122	77.29193	1033.0	218.74643	9.0	2.41213	1.44727	0.86065	1937.18452	185.93844	0.91367	0.61369
26	807.56734	121.26676	42.586	25.79651	0.69009	0.21449	0.9298	2.79484	3.0	11.12919	7.39784	29.35537	1028.0	208.63365	7.0	2.42613	0.98836	0.82045	868.53794	114.29072	0.94247	0.7769
27	1242.276	161.29063	63.97717	27.98214	0.60008	0.46082	0.86602	2.49821	3.0	19.22804	6.1475	57.24207	1015.0	210.65849	9.0	2.39222	0.74807	0.81847	1434.47019	150.16645	0.93103	0.69228
28	356.83435	81.30571	26.7455	19.01631	0.67832	0.10787	0.90128	3.19372	3.0	11.69332	2.91746	33.82962	817.0	148.41833	5.0	2.59582	0.4674	0.72453	395.91807	76.47279	0.94056	0.76677
29	431.87509	82.17682	27.23201	20.8754	0.80365	0.06746	0.99259	2.7724	3.0	6.2024	6.56428	15.64226	879.0	190.27349	7.0	1.83261	0.38633	0.72262	435.0995	78.76283	0.95846	0.87483
30	249.25642	73.63897	27.76625	11.79767	0.57762	0.48184	0.91532	4.73251	3.0	11.31536	1.14614	27.57411	947.0	247.78216	4.0	2.88383	1.27346	0.52803	272.31581	67.46109	0.91611	0.68826
