Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	2128.10848	198.8973	64.86674	43.99603	0.676	0.13678	0.91332	2.46629	3.0	31.16678	3.75102	69.71786	840.0	107.78219	10.0	2.25419	0.88315	0.8708	2330.0736	182.44192	0.91727	0.80344
2	2260.01603	233.63484	94.48231	31.89941	0.52029	0.63258	0.92535	2.22149	3.0	36.0596	2.18809	101.2353	924.0	202.08414	14.0	1.34609	0.74225	0.93567	2442.34158	217.04141	0.92898	0.60289
3	885.24623	124.0394	42.66685	27.73036	0.72303	0.16489	0.93634	2.93079	0.0	NaN	5.31394	36.64288	952.0	220.72154	5.0	4.28563	2.43397	0.66755	945.43516	114.19532	0.92064	0.85306
4	3515.28737	322.68314	119.91603	41.9862	0.42425	0.61089	0.8149	2.96827	4.0	24.09085	4.45433	122.49107	1054.0	208.18501	18.0	1.65744	1.04843	0.92795	4313.76774	285.8359	0.88581	0.54068
5	4410.0114	368.55569	137.01381	47.75456	0.40798	0.61365	0.7696	3.17238	5.0	27.5479	3.87605	138.84735	1138.0	188.29764	16.0	2.5522	2.2116	0.9098	5730.25942	310.38843	0.84218	0.57523
6	2544.4478	225.56507	64.33442	56.41066	0.62843	0.01708	0.87612	3.06816	4.0	22.91866	6.01726	73.08965	1054.0	200.56919	12.0	1.83455	1.30308	0.93222	2904.21343	204.25399	0.90552	0.76641
7	4592.9232	409.9762	169.53233	44.44049	0.34339	0.75935	0.72267	3.36759	6.0	12.38693	6.61638	175.01676	981.0	211.25814	22.0	1.33784	1.2801	0.95645	6355.50121	351.16534	0.85655	0.46803
8	858.86472	134.68569	47.67034	25.53932	0.59497	0.30688	0.88511	3.84864	4.0	14.74012	2.42253	45.77449	818.0	128.18346	10.0	1.6254	0.71351	0.86143	970.35103	122.20384	0.90733	0.72271
9	2580.50253	220.63417	77.45779	43.90476	0.66614	0.26386	0.88761	2.82306	6.0	19.19663	2.65697	82.45799	1112.0	190.13416	13.0	1.50696	0.84946	0.9518	2907.24242	204.91095	0.92874	0.7723
10	2692.47738	238.47911	94.29736	40.1956	0.59492	0.47952	0.88468	1.96319	4.0	19.86541	9.2994	76.72959	1142.0	175.46795	9.0	3.13703	1.07014	0.79805	3043.44918	220.64357	0.92521	0.69499
11	1336.17463	162.41531	60.54664	31.19265	0.63653	0.33699	0.90318	1.72694	0.0	NaN	2.96956	62.61345	1207.0	92.33093	8.0	2.12569	0.68779	0.85748	1479.41646	152.34158	0.93798	0.7235
12	481.60912	119.76285	51.74355	12.7337	0.42195	0.78463	0.88891	2.14789	3.0	18.22492	1.66712	50.84788	1196.0	110.86929	4.0	3.24954	1.53589	0.53784	541.79805	112.06289	0.93571	0.48193
13	2456.70485	222.81845	85.48702	38.4615	0.62181	0.43998	0.91403	2.24008	4.0	17.89739	3.59473	88.31745	1155.0	160.88505	11.0	2.02565	0.83352	0.91859	2687.78734	207.05988	0.92928	0.72006
14	3102.85643	265.74826	95.02095	44.3951	0.55212	0.41171	0.85813	3.49646	6.0	13.89469	6.56428	95.80489	1137.0	170.75128	13.0	1.96727	1.56119	0.93063	3615.83024	234.64507	0.88296	0.70819
15	4439.91044	408.10069	147.45793	45.51427	0.335	0.68233	0.7168	2.64656	7.0	15.41001	4.37619	169.52891	1026.0	208.02644	20.0	1.41589	1.51628	0.94745	6194.08545	351.04756	0.8602	0.45274
16	604.13658	97.57314	32.62661	24.30923	0.79742	0.08183	0.97972	2.80902	0.0	NaN	6.56428	23.08146	1128.0	159.57443	7.0	2.3497	0.42182	0.74721	616.64337	92.5871	0.9489	0.88561
17	4723.26741	319.61473	113.49325	56.16676	0.58103	0.36788	0.88165	2.392	5.0	25.483	7.62707	110.11715	992.0	210.57303	17.0	1.36366	1.0739	0.95923	5357.30303	289.91042	0.90706	0.7062
18	2062.44784	195.11486	69.82869	39.39724	0.68079	0.26737	0.92106	2.85713	3.0	21.46057	10.21111	61.10416	949.0	215.91665	11.0	1.63006	0.75627	0.93931	2239.20395	181.7208	0.93135	0.78484
19	601.2053	101.58311	31.1996	25.93742	0.73213	0.03336	0.92014	3.44252	3.0	12.51947	4.58458	31.72657	961.0	212.10846	6.0	2.1547	0.95575	0.81472	653.38207	94.42714	0.92956	0.8473
20	831.40841	129.23688	45.01096	24.62488	0.62553	0.29083	0.91161	3.25454	3.0	20.77309	2.29229	46.44028	1081.0	213.28619	5.0	3.66825	1.54891	0.71418	912.01858	117.03477	0.90558	0.76277
21	3329.05345	267.76245	91.41039	49.02837	0.58349	0.30601	0.88764	3.4814	6.0	17.8615	5.41814	90.14314	1049.0	218.23153	14.0	1.86633	1.49775	0.94867	3750.47365	236.90876	0.88477	0.74536
