Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	3741.97294	289.76366	100.21152	53.56821	0.56004	0.3086	0.82615	2.80183	4.0	32.29351	5.31394	107.32071	929.0	190.73804	15.0	1.76427	1.02839	0.93159	4529.41216	254.27325	0.87752	0.72729
2	4676.75778	406.37688	146.35896	53.52216	0.35587	0.58383	0.7157	2.7377	7.0	17.52225	5.67118	153.73115	1093.0	208.55934	17.0	2.19323	1.87606	0.89608	6534.50464	334.81487	0.8239	0.52426
3	503.00746	89.47735	31.53766	20.62939	0.78951	0.16055	0.96117	3.14604	3.0	10.45345	4.1678	21.75527	887.0	186.17733	7.0	1.58859	0.43583	0.82925	523.33099	84.6396	0.94593	0.88234
4	2147.55263	213.33903	85.82701	34.10036	0.59294	0.529	0.8919	1.82815	4.0	10.18218	6.0954	88.28984	989.0	211.3102	12.0	1.60329	0.65102	0.92666	2407.8502	197.58843	0.92617	0.69124
5	1787.39617	177.06079	52.72736	45.07446	0.71645	0.02419	0.93695	3.12824	4.0	14.99027	9.14311	52.20009	1050.0	216.36312	11.0	1.74872	0.65426	0.91817	1907.67631	160.73215	0.90778	0.86941
6	5865.6845	468.85165	201.45299	49.03049	0.33532	0.78882	0.70931	2.99627	6.0	23.87773	4.68877	186.76012	1093.0	192.66032	24.0	1.61073	1.52088	0.94203	8269.52862	406.16849	0.8663	0.4468
7	1621.6812	219.8627	89.31007	29.75214	0.42157	0.64035	0.75157	2.77878	4.0	17.62043	1.56292	88.75031	1125.0	180.55193	11.0	1.88386	0.88593	0.87793	2157.7144	193.35461	0.87943	0.54509
8	515.51425	90.45033	33.31774	19.88048	0.79183	0.22551	1.0	1.94706	0.0	NaN	7.65833	17.58441	1142.0	174.15797	4.0	3.61496	0.4246	0.58283	514.63487	85.81625	0.94877	0.87965
9	539.35532	102.41742	39.38625	18.79624	0.64616	0.39564	0.92416	3.09464	0.0	NaN	2.65697	36.78156	858.0	175.02857	4.0	5.46051	1.10374	0.47446	583.61763	95.90129	0.93638	0.73695
10	472.32674	85.28427	28.28706	21.66109	0.81605	0.06798	0.9742	3.05228	0.0	NaN	1.71922	30.14144	916.0	222.58257	6.0	2.20618	0.45584	0.66198	484.83353	80.66929	0.94589	0.91209
